Strompreis_2050_CO2frei;Erdgaspreis_2050;Oelpreis_2050;Biomassepreis_2050;Wasserstoffpreis_2050;Synthetische_Kraftstoffe_2050
132,2791976;20,34;28,49;25;74;120,22
124,8080336;20,34;28,49;25;74;120,22
115,0910173;20,34;28,49;25;74;120,22
116,1891754;20,34;28,49;25;74;120,22
112,0872258;20,34;28,49;25;74;120,22
127,7974136;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
127,9970847;20,34;28,49;25;74;120,22
124,7096511;20,34;28,49;25;74;120,22
121,2637278;20,34;28,49;25;74;120,22
121,8713347;20,34;28,49;25;74;120,22
114,8618387;20,34;28,49;25;74;120,22
103,839332;20,34;28,49;25;74;120,22
95,0657576;20,34;28,49;25;74;120,22
88,14043084;20,34;28,49;25;74;120,22
79,94635124;20,34;28,49;25;74;120,22
70,76963658;20,34;28,49;25;74;120,22
69,21529271;20,34;28,49;25;74;120,22
67,31747253;20,34;28,49;25;74;120,22
66,81205942;20,34;28,49;25;74;120,22
70,01080139;20,34;28,49;25;74;120,22
78,9850595;20,34;28,49;25;74;120,22
89,87624543;20,34;28,49;25;74;120,22
100,2507149;20,34;28,49;25;74;120,22
114,5956967;20,34;28,49;25;74;120,22
117,5928906;20,34;28,49;25;74;120,22
112,8541297;20,34;28,49;25;74;120,22
110,8969632;20,34;28,49;25;74;120,22
107,8161601;20,34;28,49;25;74;120,22
102,0621752;20,34;28,49;25;74;120,22
97,03376363;20,34;28,49;25;74;120,22
104,8868714;20,34;28,49;25;74;120,22
110,1845985;20,34;28,49;25;74;120,22
115,0078338;20,34;28,49;25;74;120,22
117,1064625;20,34;28,49;25;74;120,22
111,2384017;20,34;28,49;25;74;120,22
100,6164503;20,34;28,49;25;74;120,22
92,4590785;20,34;28,49;25;74;120,22
85,5408827;20,34;28,49;25;74;120,22
77,84558086;20,34;28,49;25;74;120,22
70,09488687;20,34;28,49;25;74;120,22
69,5560576;20,34;28,49;25;74;120,22
65,57763916;20,34;28,49;25;74;120,22
64,2281743;20,34;28,49;25;74;120,22
64,83582034;20,34;28,49;25;74;120,22
70,38036449;20,34;28,49;25;74;120,22
75,03109641;20,34;28,49;25;74;120,22
83,89358823;20,34;28,49;25;74;120,22
100,147191;20,34;28,49;25;74;120,22
107,3079906;20,34;28,49;25;74;120,22
107,7966832;20,34;28,49;25;74;120,22
108,5522162;20,34;28,49;25;74;120,22
109,5030808;20,34;28,49;25;74;120,22
109,8946716;20,34;28,49;25;74;120,22
96,15778144;20,34;28,49;25;74;120,22
85,70661756;20,34;28,49;25;74;120,22
87,59059225;20,34;28,49;25;74;120,22
98,05929857;20,34;28,49;25;74;120,22
101,7492916;20,34;28,49;25;74;120,22
100,8459062;20,34;28,49;25;74;120,22
94,0194456;20,34;28,49;25;74;120,22
92,1637874;20,34;28,49;25;74;120,22
92,79881498;20,34;28,49;25;74;120,22
93,09464886;20,34;28,49;25;74;120,22
83,96934098;20,34;28,49;25;74;120,22
85,45718695;20,34;28,49;25;74;120,22
84,97340955;20,34;28,49;25;74;120,22
78,0585629;20,34;28,49;25;74;120,22
77,00383135;20,34;28,49;25;74;120,22
80,71034089;20,34;28,49;25;74;120,22
84,97652633;20,34;28,49;25;74;120,22
85,29501646;20,34;28,49;25;74;120,22
83,84595495;20,34;28,49;25;74;120,22
93,31548672;20,34;28,49;25;74;120,22
100,1681054;20,34;28,49;25;74;120,22
106,6337482;20,34;28,49;25;74;120,22
100,5588933;20,34;28,49;25;74;120,22
72,3301622;20,34;28,49;25;74;120,22
69,7956385;20,34;28,49;25;74;120,22
74,73997326;20,34;28,49;25;74;120,22
