H0;G0;G3
0,021958256;0,017398027;0,023772337
0,021151903;0,018143625;0,023822286
0,020438543;0,018864295;0,023996856
0,01963219;0,019286825;0,024296299
0,018453617;0,019162683;0,024670415
0,017057978;0,01864069;0,025019556
0,015662339;0,017920021;0,025194377
0,014452686;0,017174174;0,025044531
0,013615253;0,016602574;0,024495844
0,013119207;0,016180043;0,023722638
0,01283998;0,015931511;0,022924208
0,012653994;0,015782441;0,022325573
0,01249884;0,015757513;0,022101053
0,012374767;0,015807369;0,022101053
0,012250694;0,015906832;0,022126028
0,012126621;0,016030974;0,02202638
0,012033627;0,016155365;0,021652015
0,011940634;0,016304434;0,02122795
0,011878474;0,016478432;0,021003431
0,011878474;0,016726965;0,021277899
0,011940634;0,017025104;0,022200951
0,012126621;0,017373099;0,023473144
0,01249884;0,017746023;0,024770312
0,01315004;0,018118697;0,025643166
0,014142626;0,018491621;0,025867685
0,015476106;0,019088149;0,025593467
0,017150971;0,020131886;0,025119454
0,019104817;0,021822007;0,024745338
0,021368969;0,024357189;0,024720363
0,023912101;0,027513577;0,025144428
0,02670338;0,03101821;0,026042506
0,029680892;0,034597129;0,027464296
0,03281331;0,038026978;0,029360099
0,035914649;0,041108832;0,031455447
0,038737007;0,043718548;0,033401199
0,041031993;0,045756665;0,034847963
0,042675779;0,047098791;0,035521521
0,043761358;0,047918923;0,035646143
0,044443638;0,048490773;0,035521521
0,044908851;0,048987838;0,035446598
0,045281071;0,0496589;0,035646143
0,045653291;0,05037957;0,036045233
0,04602551;0,051050633;0,036494272
0,046459644;0,051547698;0,036818689
0,04698677;0,051796231;0,036893362
0,047607136;0,051771552;0,036793715
0,048382409;0,051547698;0,036618894
0,049312835;0,051100489;0,036519247
0,050367335;0,050454105;0,036494272
0,051421834;0,049633972;0,036544221
0,052228434;0,048614914;0,036469298
0,052662567;0,047372251;0,03619508
0,052538494;0,045881056;0,035621169
0,051980287;0,0441164;0,034748066
0,051111775;0,04197882;0,033575769
0,050088355;0,039468567;0,032129005
0,049033856;0,03658539;0,03050742
0,048041269;0,033503536;0,028811162
0,04708001;0,030496217;0,027289725
0,046211497;0,027861572;0,026092205
0,045436224;0,025798777;0,025393922
0,044784778;0,024208119;0,025069505
0,044257651;0,023015063;0,024994832
0,043885431;0,022070539;0,025044531
0,043699445;0,021275335;0,025094479
0,043947345;0,020703486;0,025194377
0,044939931;0,020479881;0,025418896
0,04698677;0,020678807;0,025793012
0,050212428;0,021324942;0,026391647
0,0541512;0,022244537;0,027115154
0,058121051;0,023213989;0,027813437
0,061439703;0,02390973;0,028362373
0,063641695;0,024208119;0,02868654
0,064851101;0,024208119;0,028861111
0,065471467;0,024059049;0,029010957
0,065812607;0,02390973;0,029260201
0,066122667;0,023934658;0,029684266
0,066060754;0,024059049;0,030083356
0,065254401;0,024158263;0,030283151
0,063238395;0,024158263;0,030033657
0,05982675;0,023934658;0,029185528
0,055515759;0,023561735;0,027963283
0,050987701;0,02306467;0,026641141
0,04698677;0,022517998;0,025493569
0,044009505;0,021996005;0,024745338
0,041962419;0,021474011;0,024296299
0,04062894;0,020952267;0,024046805
0,039760427;0,020430274;0,02384726
0,039109227;0,019908281;0,023572792
0,038488861;0,019386288;0,023273599
0,037713588;0,018864295;0,022949182
0,036659088;0,018342551;0,022625015
0,035170456;0,017820558;0,022350547
0,033309603;0,017323493;0,022101053
0,031262518;0,016801499;0,021951457
0,029184599;0,016254578;0,021876534
