Strompreis_2040;Erdgaspreis_2040;Oelpreis_2040;Biomassepreis_2040;Wasserstoffpreis_2040;Synthetische_Kraftstoffe_2040
148,087439;20,34;29,03;25;95;157,22
149,2645499;20,34;29,03;25;95;157,22
137,5640796;20,34;29,03;25;95;157,22
125,4916984;20,34;29,03;25;95;157,22
117,2618458;20,34;29,03;25;95;157,22
107,1023977;20,34;29,03;25;95;157,22
96,5237008;20,34;29,03;25;95;157,22
87,92743787;20,34;29,03;25;95;157,22
87,35420861;20,34;29,03;25;95;157,22
85,36491601;20,34;29,03;25;95;157,22
84,49854369;20,34;29,03;25;95;157,22
84,64917442;20,34;29,03;25;95;157,22
95,77243102;20,34;29,03;25;95;157,22
109,1081836;20,34;29,03;25;95;157,22
121,3871299;20,34;29,03;25;95;157,22
136,0191849;20,34;29,03;25;95;157,22
131,4155475;20,34;29,03;25;95;157,22
122,0376159;20,34;29,03;25;95;157,22
122,6215405;20,34;29,03;25;95;157,22
115,1364269;20,34;29,03;25;95;157,22
126,8716923;20,34;29,03;25;95;157,22
123,5925588;20,34;29,03;25;95;157,22
130,4588222;20,34;29,03;25;95;157,22
135,4081801;20,34;29,03;25;95;157,22
136,7031258;20,34;29,03;25;95;157,22
137,4332588;20,34;29,03;25;95;157,22
128,6888914;20,34;29,03;25;95;157,22
114,6327133;20,34;29,03;25;95;157,22
104,4343757;20,34;29,03;25;95;157,22
95,77753215;20,34;29,03;25;95;157,22
85,87097454;20,34;29,03;25;95;157,22
75,27108009;20,34;29,03;25;95;157,22
72,97624743;20,34;29,03;25;95;157,22
70,74290893;20,34;29,03;25;95;157,22
70,16172678;20,34;29,03;25;95;157,22
73,4833373;20,34;29,03;25;95;157,22
83,54806051;20,34;29,03;25;95;157,22
96,5039796;20,34;29,03;25;95;157,22
108,4871294;20,34;29,03;25;95;157,22
124,3313483;20,34;29,03;25;95;157,22
127,4315488;20,34;29,03;25;95;157,22
122,8331975;20,34;29,03;25;95;157,22
122,2868045;20,34;29,03;25;95;157,22
119,8806816;20,34;29,03;25;95;157,22
114,1192671;20,34;29,03;25;95;157,22
108,7945579;20,34;29,03;25;95;157,22
118,4684151;20,34;29,03;25;95;157,22
125,3807965;20,34;29,03;25;95;157,22
131,2774506;20,34;29,03;25;95;157,22
132,8806371;20,34;29,03;25;95;157,22
125,1008438;20,34;29,03;25;95;157,22
111,4692787;20,34;29,03;25;95;157,22
101,7043432;20,34;29,03;25;95;157,22
93,06276916;20,34;29,03;25;95;157,22
85,1066833;20,34;29,03;25;95;157,22
75,57026397;20,34;29,03;25;95;157,22
74,15466014;20,34;29,03;25;95;157,22
69,48331646;20,34;29,03;25;95;157,22
67,9880474;20,34;29,03;25;95;157,22
68,58949634;20,34;29,03;25;95;157,22
74,36001136;20,34;29,03;25;95;157,22
79,34632969;20,34;29,03;25;95;157,22
89,123944;20,34;29,03;25;95;157,22
107,353413;20,34;29,03;25;95;157,22
116,4018351;20,34;29,03;25;95;157,22
118,5256642;20,34;29,03;25;95;157,22
119,9322547;20,34;29,03;25;95;157,22
120,1731937;20,34;29,03;25;95;157,22
118,0244154;20,34;29,03;25;95;157,22
105,0103492;20,34;29,03;25;95;157,22
95,77386821;20,34;29,03;25;95;157,22
96,70627507;20,34;29,03;25;95;157,22
105,9783717;20,34;29,03;25;95;157,22
110,5918536;20,34;29,03;25;95;157,22
110,3175997;20,34;29,03;25;95;157,22
101,8212622;20,34;29,03;25;95;157,22
95,71264995;20,34;29,03;25;95;157,22
93,01887796;20,34;29,03;25;95;157,22
90,0053034;20,34;29,03;25;95;157,22
82,09084196;20,34;29,03;25;95;157,22
81,41555469;20,34;29,03;25;95;157,22
78,92114528;20,34;29,03;25;95;157,22
74,39923966;20,34;29,03;25;95;157,22
74,27365514;20,34;29,03;25;95;157,22
79,65424029;20,34;29,03;25;95;157,22
82,42884629;20,34;29,03;25;95;157,22
83,47997435;20,34;29,03;25;95;157,22
85,43529909;20,34;29,03;25;95;157,22
95,43066802;20,34;29,03;25;95;157,22
103,0829185;20,34;29,03;25;95;157,22
109,2135943;20,34;29,03;25;95;157,22
106,962152;20,34;29,03;25;95;157,22
80,24517862;20,34;29,03;25;95;157,22
77,11015292;20,34;29,03;25;95;157,22
82,90853982;20,34;29,03;25;95;157,22
88,08860776;20,34;29,03;25;95;157,22
98,06067177;20,34;29,03;25;95;157,22
109,4910389;20,34;29,03;25;95;157,22
114,7076252;20,34;29,03;25;95;157,22
107,8353319;20,34;29,03;25;95;157,22
98,39058591;20,34;29,03;25;95;157,22
89,27476144;20,34;29,03;25;95;157,22
80,98520812;20,34;29,03;25;95;157,22
84,54870998;20,34;29,03;25;95;157,22
85,66479295;20,34;29,03;25;95;157,22
80,60971145;20,34;29,03;25;95;157,22
78,0526189;20,34;29,03;25;95;157,22
82,0536493;20,34;29,03;25;95;157,22
95,15636438;20,34;29,03;25;95;157,22
108,6934858;20,34;29,03;25;95;157,22
119,7511892;20,34;29,03;25;95;157,22
