Strompreis_2030;Erdgaspreis_2030;Oelpreis_2030;Biomassepreis_2030;Wasserstoffpreis_2030;Synthetische_Kraftstoffe_2030;Steinkohlepreis_2030;Braunkohlepreis_2030;Strompreis_2030_brain
116,3974157;20,12;30,09;25;121;206,22;5,392819567;8,798929188;75,43
108,6709203;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,18
96,35244397;20,12;30,09;25;121;206,22;5,392819567;8,798929188;71,85
87,74571745;20,12;30,09;25;121;206,22;5,392819567;8,798929188;69,36
80,55655704;20,12;30,09;25;121;206,22;5,392819567;8,798929188;67,44
72,50897231;20,12;30,09;25;121;206,22;5,392819567;8,798929188;67,42
64,14816596;20,12;30,09;25;121;206,22;5,392819567;8,798929188;67,44
61,91993734;20,12;30,09;25;121;206,22;5,392819567;8,798929188;67,54
59,91082203;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,44
59,23431223;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,44
61,5954289;20,12;30,09;25;121;206,22;5,392819567;8,798929188;70,59
69,4140532;20,12;30,09;25;121;206,22;5,392819567;8,798929188;70,59
80,61258538;20,12;30,09;25;121;206,22;5,392819567;8,798929188;89,64
91,27442858;20,12;30,09;25;121;206,22;5,392819567;8,798929188;98,37
105,8398479;20,12;30,09;25;121;206,22;5,392819567;8,798929188;95,32
109,5954032;20,12;30,09;25;121;206,22;5,392819567;8,798929188;96,47
106,4827005;20,12;30,09;25;121;206,22;5,392819567;8,798929188;95,32
106,6750933;20,12;30,09;25;121;206,22;5,392819567;8,798929188;92,33
104,8501972;20,12;30,09;25;121;206,22;5,392819567;8,798929188;91,86
99,55325269;20,12;30,09;25;121;206,22;5,392819567;8,798929188;96,51
94,53595773;20,12;30,09;25;121;206,22;5,392819567;8,798929188;100,34
101,8922723;20,12;30,09;25;121;206,22;5,392819567;8,798929188;104,47
107,4607433;20,12;30,09;25;121;206,22;5,392819567;8,798929188;109,03
112,4940609;20,12;30,09;25;121;206,22;5,392819567;8,798929188;110,28
113,6815811;20,12;30,09;25;121;206,22;5,392819567;8,798929188;110,01
106,5011879;20,12;30,09;25;121;206,22;5,392819567;8,798929188;109,03
94,45729136;20,12;30,09;25;121;206,22;5,392819567;8,798929188;108,45
86,05200024;20,12;30,09;25;121;206,22;5,392819567;8,798929188;105,51
78,86693537;20,12;30,09;25;121;206,22;5,392819567;8,798929188;103,96
72,32334013;20,12;30,09;25;121;206,22;5,392819567;8,798929188;99,45
64,99338553;20,12;30,09;25;121;206,22;5,392819567;8,798929188;97,82
63,62469428;20,12;30,09;25;121;206,22;5,392819567;8,798929188;99,40
59,49831573;20,12;30,09;25;121;206,22;5,392819567;8,798929188;95,32
58,11428167;20,12;30,09;25;121;206,22;5,392819567;8,798929188;96,38
58,29703216;20,12;30,09;25;121;206,22;5,392819567;8,798929188;96,07
