"1010,4562262109368"
"1305,6967125633187"
"1504,2935995234327"
"1612,6188278767838"
"1630,6394767744855"
"1592,8116251591377"
"1542,2715403613176"
"1488,2438130446822"
"1444,6197755315945"
"1407,166553998817"
"1397,4044615171729"
"1373,3392160070644"
"1377,1384017796413"
"1357,3808352770982"
"1321,884040693506"
"1237,6241656291859"
"1152,415414581741"
"1063,719047202886"
"957,2025921899842"
"848,014358772013"
"559,7119622018565"
"574,6940578929218"
"582,9257508158395"
"611,3574016578607"
"739,6953447403664"
"951,0484230430685"
"1090,2643141990834"
"1155,132129618145"
"1164,3115736985192"
"1112,6343699403064"
"1069,2383088070521"
"1036,3675061079293"
"1009,4604380053718"
"982,4840726141133"
"974,0057275870463"
"949,6413478596685"
"956,7745340355757"
"949,9628508566234"
"921,2206534956051"
"892,1389947676855"
"848,2440823379436"
"781,8203355094345"
"687,1904153797382"
"613,9019929505738"
"793,7918057823953"
"809,8497449984363"
"826,451823144103"
"838,5979437833006"
"936,2842293447308"
"1129,870279404974"
"1310,6908224267563"
"1390,6904491391592"
"1380,7819376206262"
"1337,3080412660115"
"1338,8138954503343"
"1297,0302233537936"
"1239,5873763971624"
"1207,588577081719"
"1152,9852186249768"
"1052,737006120084"
"1082,3650654629907"
"1046,301777147366"
"984,0073776990841"
"968,6652744428452"
"966,8285911119608"
"918,7710599108684"
"814,7382324098465"
"722,1703751244168"
"670,3771803720906"
"692,1557478167063"
"693,2303728123375"
"775,0052555021448"
"889,6015805003399"
"1139,6971155232654"
"1056,9658390945506"
"1069,7217026823132"
"1074,4735271374684"
"1012,6230476093999"
"973,5930538003869"
"960,9315545752736"
"942,5072522448602"
"884,7129982459046"
"881,7034114267021"
"894,2390145573394"
"925,5341379943463"
"960,5952881601199"
"980,9509648798668"
"1001,7491505199548"
"965,4771742681323"
"976,1838688816174"
"866,1158922923178"
"803,2449074432309"
"781,6868230174882"
"799,9871441642997"
"819,6341135940602"
"858,8096497002919"
"1004,9768104355121"
"1298,6277448383435"
"1495,8734199399169"
"1603,1492071190235"
"1621,013723267271"
"1583,5770269724576"
"1533,4786470747317"
"1479,877156798943"
"1436,658415601218"
"1399,557517928211"
"1389,8644964714936"
"1365,7842829237427"
"1369,5100208167682"
"1349,7179723798374"
"1314,3152772960652"
"1230,69781677301"
"1146,2002168787153"
"1058,004030645948"
"951,9551252631016"
"843,389401981038"
"794,4757105861127"
"813,400113969717"
"833,4763085822035"
"873,2261698684047"
"1021,3515976834126"
"1319,7414827124157"
"1521,033159424308"
"1631,4590622920928"
"1649,7840773505163"
"1611,186660184351"
"1559,7662191724644"
"1504,89239031926"
"1460,4544412164432"
"1422,299625550246"
"1412,3948106395662"
"1388,3586051217703"
"1392,3077402395716"
"1372,6215604818365"
"1336,9332479395994"
"1251,39007058581"
"1164,7581211490915"
"1075,0756633613737"
"967,6329045095197"
"857,2078155308037"
"763,9736833492813"
"781,382440772581"
"800,4573317020956"
"838,7796119916432"
"982,0831080135295"
"1268,7384873330925"
"1460,7777980983697"
"1564,0740175037486"
"1581,386358118033"
"1545,4936041568412"
"1497,167651210128"
"1445,2858772067295"
"1403,6615351496953"
"1367,9243944968384"
"1358,4967042155217"
"1334,3296015436372"
"1337,670905457957"
"1317,657555451073"
"1282,565640785058"
"1201,430180512525"
"1119,741303795954"
"1033,6763775603358"
"929,7459655088951"
"824,1159265519022"
"988,3310295804795"
"995,075100085063"
"1008,6741286433339"
"1060,009591966094"
"1204,3414014455968"
"1574,8761370339416"
"1824,9066793157047"
"1943,3199522701111"
"1972,6549280978193"
"1951,7775912925267"
"1891,3411697322215"
"1851,7104666700743"
"1791,2554946785833"
"1712,364506830459"
"1716,5654194504016"
"1666,0476916444368"
"1637,686534997631"
"1620,9713463853288"
"1559,260516756586"
"1456,31020703281"
"1345,719928771769"
"1254,891370796258"
"1159,1244019276833"
"1030,0784038423942"
"993,3789001396162"
"1000,2047867593783"
"1013,8330897586825"
"1065,326608885325"
"1209,8043252684686"
"1581,5629145853286"
"1834,0882367279446"
"1954,427891743252"
"1983,9136547467451"
"1962,8580484905788"
"1901,9096205092396"
"1862,0722696381576"
"1800,9018624113817"
"1721,1592893727043"
"1725,4906101128777"
"1674,5792350701881"
"1645,6561186127988"
"1628,8553296247878"
"1566,6094917147823"
"1462,6154862477144"
"1350,9605024777388"
"1259,9013333058506"
"1164,1584623091182"
"1035,233049951445"
"883,2888579638584"
"901,728069361264"
"920,383000963556"
"932,3537575877053"
"1041,1088354422695"
"1252,6164291793573"
"1463,647995422325"
"1559,123135468914"
"1545,5848082923303"
"1493,5523385938143"
"1495,8410643713714"
"1447,5875243373457"
"1383,239306644708"
"1350,4158787030233"
"1289,8223839200969"
"1173,7913972722163"
"1207,9377687446686"
"1165,1355891068083"
"1092,3968729818591"
"1075,5251337953894"
"1075,5446575792691"
"1023,084002624232"
"906,0675757726647"
"805,5181945384611"
"1009,6983474896534"
"1027,2156218542445"
"1064,4927174460158"
"1125,6926058962595"
"1146,459088811329"
"1557,9588466473292"
"1426,0365236526432"
"1510,827245486415"
"1450,4736559029284"
"1410,617923480521"
"1352,6444731246424"
"1340,955726599238"
"1273,4630367778582"
"1257,0748625791061"
"1230,3784722994137"
"1290,575729156049"
"1298,3110951463516"
"1367,56310166929"
"1395,8697959829533"
"1366,9000467320168"
"1389,921967875759"
"1431,9607236210168"
"1266,1757992451007"
"1248,227233123751"
"1219,282323903695"
"1209,5406913684888"
"1230,677692888485"
"1276,6971864069756"
"1426,2406647987566"
"1881,1152253171322"
"2100,503550853995"
