Wasserkraft;PV_Freifeld_Erfurt;PV_Freifeld_Nordhausen;PV_Freifeld_Gera;PV_Freifeld_Hildburghausen;Wind_Erfurt;Wind_Nordhausen;Wind_Gera;Wind_Hildburghausen;PV_Aufdach_Erfurt;PV_Aufdach_Nordhausen;PV_Aufdach_Gera;PV_Aufdach_Hildburghausen
0,8;0;0;0;0;0,083366;0,086522;0,086522;0,12323;0;0;0;0
0,8;0;0;0;0;0,052153;0,083366;0,084386;0,08459;0;0;0;0
0,8;0;0;0;0;0,038689;0,052153;0,057253;0,063169;0;0;0;0
0,8;0;0;0;0;0,034439;0,038689;0,038689;0,038689;0;0;0;0
0,8;0;0;0;0;0,01461;0,038689;0,038689;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,033377;0,038334;0,026295;0;0;0;0
0,8;0;0;0;0;0,012131;0,013902;0,021338;0,012131;0;0;0;0
0,8;0;0;0;0;0,012131;0,012131;0,012131;0,012131;0;0;0;0
0,8;0;0;0;0;0,012131;0,012131;0,012131;0,012131;0;0;0;0
0,8;0;0;0;0;0,006929;0,012131;0,012131;0,006929;0;0;0;0
0,8;0;0;0;0;0,00098361;0,012131;0,012131;0,00098361;0;0;0;0
0,8;0;0;0;0;0,00098361;0,011636;0,012131;0,00098361;0;0;0;0
0,8;0;0;0;0;0,00098361;0,0037086;0,010744;0,00098361;0;0;0;0
0,8;0;0;0;0;0,00098361;0,00098361;0,0023709;0,00098361;0;0;0;0
0,8;0;0;0;0;0,00098361;0,00098361;0,00098361;0,00098361;0;0;0;0
0,8;0;0;0;0;0,00098361;0,00098361;0,00098361;0,00098361;0;0;0;0
0,8;0;0;0;0;0,00052459;0,00098361;0,00098361;0,00052459;0;0;0;0
0,8;0;0;0;0;0;0,0008612;0,00098361;0;0;0;0;0
0,8;0;0;0;0;0;0,0001224;0,00098361;0;0;0;0;0
0,8;0;0;0;0;0;0;0,0008612;0;0;0;0;0
0,8;0;0;0;0;0;0;0,0001224;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0,059948;0,0089473;0,097253;0,0025421;0,00052459;0;0;0,00052459;0,091106068;0,009480074;0,150801632;0,002770427
0,8;0,14292;0,018396;0,18324;0,0058719;0,00098361;0,00052459;0,00052459;0,00098361;0,216903158;0,019439416;0,283698158;0,006302135
0,8;0,21182;0,03572;0,19468;0,0092765;0,00098361;0,00098361;0,00098361;0,00098361;0,321386526;0,037727858;0,301323947;0,009932084
0,8;0,15986;0,06194;0,18758;0,011049;0,00098361;0,00098361;0,00098361;0,00098361;0,242513526;0,065408053;0,290305421;0,011816984
0,8;0,25147;0,069258;0,2192;0,014775;0,00098361;0,00098361;0,00098361;0,00098361;0,363813632;0,072501711;0,321492474;0,015572337
0,8;0,26353;0,052924;0,2775;0,018284;0,006929;0,006929;0,0048481;0,006929;0,350560579;0,054779605;0,373271842;0,018994437
0,8;0,27694;0,050502;0,28829;0,022412;0,012131;0,012131;0,011983;0,012131;0,3477;0,0517707;0,361800632;0,023104232
0,8;0,30223;0,051096;0,39053;0,026497;0,012131;0,012131;0,012131;0,012131;0,359209737;0,052057721;0,463529368;0,027188021
0,8;0,086545;0,042537;0,37249;0,029592;0,012131;0,012131;0,012131;0,012131;0,100361053;0,043192816;0,431514;0,0302682
0,8;0,13672;0,042271;0,25059;0,034391;0,012131;0,012131;0,012131;0,012131;0,157100684;0,042863416;0,288475421;0,035097474
0,8;0,48655;0,05009;0,37808;0,039983;0,012131;0,012131;0,012131;0,012131;0,554942684;0,050717005;0,432351947;0,040731947
0,8;0,48342;0,060996;0,22792;0,038132;0,012131;0,012131;0,012131;0,015436;0,547266316;0,061662332;0,259128;0,038790221
0,8;0,41833;0,054339;0,15339;0,038005;0,012131;0,012131;0,012131;0,035384;0,469924737;0,054890368;0,172896474;0,038640932
0,8;0,16122;0,060294;0,14915;0,038313;0,015436;0,018623;0,012131;0,038689;0,179282211;0,060910105;0,166462579;0,038958774
0,8;0,058535;0,043775;0,098415;0,034517;0,032079;0,036328;0,012131;0,038689;0,0640866;0,044225321;0,108153;0,035104216
0,8;0,035004;0,042178;0,09326;0,035257;0,015436;0,018623;0,012131;0,038689;0,037392679;0,042614921;0,100322526;0,035860295
0,8;0,057705;0,040334;0,072143;0,034717;0,012131;0,012131;0,012131;0,038689;0,060613453;0,040767584;0,076067321;0,035322853
0,8;0,08469;0,037803;0,10368;0,03212;0,012131;0,012131;0,012131;0,033377;0,088748258;0,038239295;0,109058368;0,032695358
0,8;0,15078;0,039124;0,17532;0,030856;0,012131;0,012131;0,012131;0,013902;0,157611158;0,039611795;0,183915;0,031423989
0,8;0,189;0,037401;0,10454;0,029174;0,012131;0,012131;0,012131;0,012131;0,197081368;0,037907005;0,109366579;0,029726905
0,8;0,15377;0,037032;0,053786;0,025827;0,010744;0,010744;0,006929;0,011983;0,160510263;0,037577605;0,056339921;0,026331774
0,8;0,096598;0,031104;0,12188;0,031056;0,0023709;0,0023709;0,00098361;0,0048481;0,101382;0,031607953;0,128225211;0,031685968
0,8;0,089659;0,023981;0,14368;0,02899;0,00098361;0,00098361;0,00098361;0,00098361;0,094603295;0,024413163;0,151909263;0,029599768
0,8;0,041773;0,012672;0,096255;0,020903;0,00098361;0,00098361;0,00098361;0,00098361;0,044400616;0,012928468;0,102431842;0,021360916
0,8;0,085765;0,0097119;0,1338;0,017377;0,006929;0,006929;0,0023709;0,006929;0,091473032;0,009923416;0,142913368;0,017802047
0,8;0,039429;0,0093477;0,021422;0,012011;0,012131;0,012131;0,010744;0,012131;0,042110226;0,009552889;0,022940495;0,012373689
0,8;0,016995;0,0040184;0,0084779;0,0067702;0,012131;0,012131;0,012131;0,012249;0,018187311;0,004108446;0,009127366;0,007047715
0,8;0,0024503;0,0012754;0,0052156;0,0029248;0,013902;0,017443;0,012131;0,027948;0,002635296;0,001307005;0,005658167;0,003124099
0,8;0,0024426;0;0,0011782;0,00037853;0,033377;0,036918;0,026295;0,040729;0,002636934;0;0,001292943;0,000418319
0,8;0;0;0;0;0,046033;0,039913;0,038689;0,07337;0;0;0;0
0,8;0;0;0;0;0,082238;0,071126;0,047869;0,1023;0;0;0;0
0,8;0;0;0;0;0,13625;0,1184;0,08153;0,17014;0;0;0;0
0,8;0;0;0;0;0,21778;0,18696;0,12323;0,26205;0;0;0;0
0,8;0;0;0;0;0,33071;0,26526;0,16657;0,38308;0;0;0;0
0,8;0;0;0;0;0,39344;0,36656;0,2427;0,52721;0;0;0;0
0,8;0;0;0;0;0,39344;0,39344;0,25902;0,56066;0;0;0;0
0,8;0;0;0;0;0,39344;0,39344;0,25902;0,48262;0;0;0;0
0,8;0;0;0;0;0,39344;0,33071;0,25902;0,39344;0;0;0;0
0,8;0;0;0;0;0,39285;0,25902;0,2495;0,39344;0;0;0;0
0,8;0;0;0;0;0,31338;0,25766;0,17336;0,36058;0;0;0;0
0,8;0;0;0;0;0,25448;0,1924;0,15383;0,26499;0;0;0;0
0,8;0;0;0;0;0,18197;0,14803;0,1023;0,21778;0;0;0;0
0,8;0;0;0;0;0,15705;0,093607;0,08459;0,1575;0;0;0;0
0,8;0;0;0;0;0,15705;0,08459;0,08459;0,15705;0;0;0;0
0,8;0;0;0;0;0,15705;0,08459;0,08459;0,15705;0;0;0;0
0,8;0;0;0;0;0,15705;0,08459;0,08459;0,15705;0;0;0;0
0,8;0;0;0;0;0,15705;0,085556;0,08459;0,15705;0;0;0;0
0,8;0;0;0;0;0,15705;0,13193;0,08459;0,15705;0;0;0;0
0,8;0;0;0;0;0,15705;0,15705;0,08459;0,21143;0;0;0;0
0,8;0;0;0;0;0,16974;0,16158;0,093607;0,25902;0;0;0;0
0,8;0;0;0;0;0,24633;0,23409;0,14803;0,25902;0;0;0;0
0,8;0;0;0;0;0,21143;0,21143;0,12323;0,25902;0;0;0;0
0,8;0;0;0;0;0,15705;0,15705;0,08459;0,25902;0;0;0;0
0,8;0;0;0;0;0,15705;0,15705;0,08459;0,23862;0;0;0;0
0,8;0;0;0;0;0,15705;0,15705;0,08459;0,17064;0;0;0;0
0,8;0;0;0;0;0,15705;0,15705;0,08459;0,23862;0;0;0;0
0,8;0;0;0;0;0,15705;0,15705;0,08459;0,25902;0;0;0;0
0,8;0;0;0;0;0,21143;0,15705;0,12323;0,25902;0;0;0;0
