HA4;Prozessgas;T24;Elektromobilitaet_PKW
0,201863;0,112091;0,212468;65068,49315
0,209991;0,112039;0,156525;65068,49315
0,221123;0,108994;0,150739;65068,49315
0,224712;0,105472;0,154829;65068,49315
0,22582;0,107333;0,15775;65068,49315
0,232419;0,111657;0,17002;65068,49315
0,237049;0,132961;0,203907;65068,49315
0,287545;0,15819;0,296804;65068,49315
0,401018;0,188254;0,29622;65068,49315
0,48963;0,196219;0,280445;65068,49315
0,496143;0,19929;0,285119;65068,49315
0,488392;0,200333;0,280445;65068,49315
0,46559;0,198921;0,271681;65068,49315
0,456615;0,196131;0,264085;65068,49315
0,424183;0,194348;0,261748;65068,49315
0,38569;0,192398;0,255906;65068,49315
0,391832;0,190863;0,255322;65068,49315
0,373623;0,179727;0,257659;65068,49315
0,34755;0,174787;0,267591;65068,49315
0,343054;0,162363;0,276355;65068,49315
0,318671;0,149436;0,27986;65068,49315
0,271291;0,139407;0,278108;65068,49315
0,223267;0,13359;0,269344;65068,49315
0,214137;0,124855;0,247142;65068,49315
0,216746;0,112091;0,219682;65068,49315
0,225473;0,112039;0,16184;65068,49315
0,244057;0,054798;0,137834;65068,49315
0,250485;0,054219;0,141574;65068,49315
0,256547;0,055029;0,144245;65068,49315
0,245269;0,055856;0,155464;65068,49315
0,262353;0,05698;0,18645;65068,49315
0,257327;0,059227;0,271395;65068,49315
0,38394;0,061609;0,27086;65068,49315
0,462107;0,06336;0,256436;65068,49315
0,442932;0,066114;0,26071;65068,49315
0,411223;0,070246;0,256436;65068,49315
0,42203;0,072175;0,248422;65068,49315
0,401545;0,07322;0,241477;65068,49315
0,374736;0,067167;0,23934;65068,49315
0,3763;0,058478;0,233998;65068,49315
0,351805;0,050816;0,233463;65068,49315
0,283905;0,046556;0,2356;65068,49315
0,294225;0,044352;0,244682;65068,49315
0,258561;0,042423;0,252696;65068,49315
0,211963;0,040495;0,255902;65068,49315
0,207071;0,038567;0,254299;65068,49315
0,222356;0,036703;0,246285;65068,49315
0,223049;0,035736;0,225984;65068,49315
0,192454;0,034197;0,200875;65068,49315
0,208847;0,036575;0,147985;65068,49315
0,239246;0,042854;0,131936;65068,49315
0,237401;0,044016;0,135516;65068,49315
0,237427;0,048015;0,138073;65068,49315
0,280132;0,048613;0,148811;65068,49315
0,29142;0,050609;0,178471;65068,49315
0,343064;0,051115;0,259781;65068,49315
0,328397;0,050777;0,259269;65068,49315
0,370544;0,050412;0,245462;65068,49315
0,34302;0,050412;0,249553;65068,49315
0,332948;0,050432;0,245462;65068,49315
0,321773;0,050963;0,237792;65068,49315
0,29717;0,050963;0,231144;65068,49315
0,270684;0,050963;0,229098;65068,49315
0,27204;0,046263;0,223984;65068,49315
0,245357;0,046338;0,223473;65068,49315
0,254821;0,046148;0,225518;65068,49315
0,251529;0,047495;0,234212;65068,49315
0,263941;0,055095;0,241883;65068,49315
0,259363;0,05785;0,244951;65068,49315
0,243241;0,059778;0,243417;65068,49315
0,227671;0,060648;0,235746;65068,49315
0,250111;0,062966;0,216314;65068,49315
0,250201;0,06517;0,192279;65068,49315
0,257192;0,070756;0,141652;65068,49315
0,181053;0,108994;0,124059;65068,49315
0,187636;0,105472;0,132542;65068,49315
0,195612;0,107333;0,134663;65068,49315
0,198504;0,111657;0,145796;65068,49315
0,212193;0,132961;0,179727;65068,49315
0,239233;0,15819;0,268265;65068,49315
0,333454;0,188254;0,268265;65068,49315
0,413804;0,196219;0,260843;65068,49315
0,428006;0,19929;0,257132;65068,49315
0,405983;0,200333;0,25183;65068,49315
0,381661;0,198921;0,244938;65068,49315
0,360039;0,196131;0,236455;65068,49315
0,333621;0,194348;0,234334;65068,49315
0,309555;0,192398;0,233804;65068,49315
0,304131;0,190863;0,234334;65068,49315
0,302703;0,179727;0,236985;65068,49315
0,298937;0,174787;0,246528;65068,49315
0,293382;0,162363;0,255011;65068,49315
0,281233;0,149436;0,260843;65068,49315
0,236881;0,139407;0,260313;65068,49315
0,192676;0,13359;0,254481;65068,49315
0,178514;0,124855;0,232744;65068,49315
0,176521;0,112091;0,200404;65068,49315
0,183071;0,112039;0,147387;65068,49315
0,176208;0,108994;0,122184;65068,49315
0,182615;0,105472;0,130538;65068,49315
0,190377;0,107333;0,132627;65068,49315
0,193192;0,111657;0,143592;65068,49315
0,206514;0,132961;0,17701;65068,49315
0,232831;0,15819;0,264209;65068,49315
0,324531;0,188254;0,264209;65068,49315
0,402731;0,196219;0,256899;65068,49315
0,416553;0,19929;0,253244;65068,49315
0,395119;0,200333;0,248023;65068,49315
