"1445,4883891473855"
"1293,7067226134332"
"1204,8013791892554"
"1188,066706350814"
"1116,1664667577809"
"1090,4598633650305"
"1104,9559467019303"
"1223,847389363714"
"1338,7049949235447"
"1527,1604245137796"
"1858,3328754412505"
"2020,1467708061068"
"2071,914209458928"
"2097,106320847396"
"2084,2203995643963"
"1971,767322327314"
"1722,2754205153365"
"1543,2922343606033"
"1528,3134433588598"
"1667,3165143366105"
"1769,2499085869413"
"1785,5922043895193"
"1631,5440554268894"
"1447,8175212186225"
"1352,175625117924"
"1237,655638171224"
"1191,6890415477806"
"1136,7885215674573"
"1079,4032088099252"
"1056,1784007524525"
"1048,1642273672512"
"1204,6490868185388"
"1214,913606410505"
"1244,4517389776356"
"1337,4385832339017"
"1478,4283409592585"
"1583,6885972469668"
"1663,2982452182546"
"1675,8690654631932"
"1596,8153845713673"
"1456,568464385899"
"1383,4790589447957"
"1359,789994623066"
"1471,4445251665575"
"1624,2158251287428"
"1728,1916494697607"
"1638,9327477437532"
"1507,1692824173097"
"1388,03117294591"
"1252,254785059319"
"1225,5317092028138"
"1181,0431661855491"
"1143,8972555007372"
"1131,9424957099582"
"1180,7853068147497"
"1382,5213095461281"
"1594,9435203303428"
"1785,330542525336"
"2092,888060162344"
"2225,5197721603477"
"2223,8581406636367"
"2264,0354334503295"
"2233,524284190382"
"2096,950785226032"
"1971,3002485689362"
"1985,6298334514331"
"2024,1614661251524"
"2112,2486880435063"
"2139,734739252696"
"2006,0581807396075"
"1782,9565734138164"
"1631,6924431640973"
"1510,1508310312688"
"1344,4795752847376"
"1226,7845652805736"
"1182,293732342328"
"1145,167370323839"
"1133,25896933917"
"1182,2367463458909"
"1384,5130067437467"
"1597,107800284903"
"1787,5052730915322"
"2095,125073221871"
"2227,7266313553832"
"2225,999834442719"
"2266,183569031357"
"2235,582539664313"
"2098,8786482388214"
"1973,211391253506"
"1987,5486770857256"
"2026,0163591349242"
"2114,1562447652973"
"2141,624514380217"
"2007,889210927296"
"1784,6578064902433"
"1633,354307464046"
"1511,719370853857"
"1345,7804484892322"
"1219,3778205561641"
"1174,9039719276448"
"1137,6690347094932"
"1125,4830762380425"
"1173,6453804747007"
"1372,6568453179211"
"1584,2899032038158"
"1774,6874834405194"
"2081,955334014941"
"2214,7412712209307"
"2213,4075950937113"
"2253,5427086822574"
"2223,4620066413486"
"2087,5032329053483"
"1961,9356093562374"
"1976,2201999224399"
"2015,0439898096938"
"2102,8639161381943"
"2130,433074284162"
"1997,0236868496322"
"1774,540243364825"
"1623,4831630228186"
"1502,3919930703914"
"1338,0771010654526"
"1176,3050578113218"
"1136,2238349921854"
"1098,9473291309596"
