"426,66391806744264"
"489,35111310438305"
"636,9630866975615"
"746,5766225494552"
"826,8576148209743"
"838,3475851622806"
"807,6982493614089"
"771,9836140410059"
"736,9118912371434"
"704,8931038718285"
"677,4368420728583"
"671,8443381439606"
"671,2851677144788"
"678,2482683966653"
"680,3145463071808"
"671,6758346058302"
"620,2803125614859"
"563,1944718866031"
"518,1735445068039"
"472,13879416023633"
"411,8602666630949"
"467,7521852809877"
"476,3668638848204"
"481,8197667666367"
"506,16014142941924"
"560,1462370372591"
"743,4330320936582"
"876,1428182985794"
"956,4678370311742"
"970,5212481457006"
"955,9539850776478"
"918,6675866947944"
"898,0991350833372"
"858,3435818843805"
"807,1848594935057"
"812,9743866917399"
"793,2691654610587"
"775,9963054989018"
"779,7696853899822"
"754,2962356615838"
"696,8105239531733"
"630,3392792288671"
"589,2513625901095"
"553,5824499677399"
"487,7738695717684"
"469,77394457853615"
"478,4164895018323"
"483,87346923189614"
"508,25768520366273"
"562,2122651355426"
"745,8229757750595"
"879,7538664686563"
"961,0678744410059"
"975,1804980787267"
"960,5414053189669"
"923,0299939529787"
"902,3833362225982"
"862,2837006211685"
"810,7254955923637"
"816,5827077910974"
"796,6756797071773"
"779,0983729286941"
"782,8044680657051"
"757,0604750528596"
"699,0698120434427"
"632,103533361244"
"590,9690077451437"
"555,3946356096665"
"489,8156807070851"
"502,3576091957183"
"518,1362166244337"
"517,9676237875126"
"526,6233775598483"
"562,7542530691743"
"728,2881907070775"
"908,2855935670264"
"901,4241224435614"
"915,4927515401134"
"888,0290263205318"
"856,8173899190458"
"859,2760688849313"
"825,6711548922053"
"817,1104727325419"
"786,0236515696388"
"744,3517335262619"
"692,9093148036818"
"699,1124578754291"
"658,8933570204699"
"664,0935846201173"
"683,4968191203552"
"669,7429578161455"
"630,7693152504039"
"524,776560702405"
"554,3533717553746"
"565,6248650398925"
"585,9019341342716"
"623,9792616553068"
"621,5607035174477"
"853,5382350580261"
"768,2780167617066"
"842,9671373937616"
"802,2864113452895"
"778,1782543564872"
"743,8854116522931"
"732,5749204089715"
"688,5114428281915"
"685,9152891782262"
"667,9782291384774"
"706,8165503355503"
"708,0587870592808"
"738,5028793519398"
"754,7632902061544"
"729,1646460337051"
"745,670529689879"
"777,3296221149981"
"664,1996251027934"
"669,6709482129282"
"560,606354739651"
"560,3440669675537"
"572,2061475375152"
"592,8102885835021"
"645,502377335232"
"853,674849846321"
"958,3094695883507"
"991,557733478247"
"1026,1587717766438"
"1015,8175002122591"
"991,7619458514166"
"989,1916458560595"
"945,280051030029"
"879,1322169385664"
"870,6013676675257"
"867,61575842239"
"829,635549279199"
"845,505799491796"
"835,4847698936239"
"797,7965531249495"
"731,4996560449474"
"719,4443957061923"
"674,5898476185702"
