Strompreis_2030;Erdgaspreis_2030;Oelpreis_2030;Biomassepreis_2030;Wasserstoffpreis_2030;Synthetische_Kraftstoffe_2030;Steinkohlepreis_2030;Braunkohlepreis_2030
0;20,12;30,09;25;121;206,22;5,392819567;8,798929188
21,65922923;20,12;30,09;25;121;206,22;5,392819567;8,798929188
29,10354617;20,12;30,09;25;121;206,22;5,392819567;8,798929188
41,12527837;20,12;30,09;25;121;206,22;5,392819567;8,798929188
45,0949392;20,12;30,09;25;121;206,22;5,392819567;8,798929188
75,74887844;20,12;30,09;25;121;206,22;5,392819567;8,798929188
100,6138675;20,12;30,09;25;121;206,22;5,392819567;8,798929188
101,6977012;20,12;30,09;25;121;206,22;5,392819567;8,798929188
98,23630348;20,12;30,09;25;121;206,22;5,392819567;8,798929188
97,16267788;20,12;30,09;25;121;206,22;5,392819567;8,798929188
93,90024576;20,12;30,09;25;121;206,22;5,392819567;8,798929188
88,72624002;20,12;30,09;25;121;206,22;5,392819567;8,798929188
85,26987103;20,12;30,09;25;121;206,22;5,392819567;8,798929188
94,64174442;20,12;30,09;25;121;206,22;5,392819567;8,798929188
100,7607222;20,12;30,09;25;121;206,22;5,392819567;8,798929188
98,31704867;20,12;30,09;25;121;206,22;5,392819567;8,798929188
92,31802398;20,12;30,09;25;121;206,22;5,392819567;8,798929188
98,25023227;20,12;30,09;25;121;206,22;5,392819567;8,798929188
89,19906072;20,12;30,09;25;121;206,22;5,392819567;8,798929188
82,86747813;20,12;30,09;25;121;206,22;5,392819567;8,798929188
77,69179995;20,12;30,09;25;121;206,22;5,392819567;8,798929188
70,91199875;20,12;30,09;25;121;206,22;5,392819567;8,798929188
62,40676204;20,12;30,09;25;121;206,22;5,392819567;8,798929188
60,08257802;20,12;30,09;25;121;206,22;5,392819567;8,798929188
56,56553379;20,12;30,09;25;121;206,22;5,392819567;8,798929188
51,1210978;20,12;30,09;25;121;206,22;5,392819567;8,798929188
54,17137186;20,12;30,09;25;121;206,22;5,392819567;8,798929188
56,91047051;20,12;30,09;25;121;206,22;5,392819567;8,798929188
59,96593307;20,12;30,09;25;121;206,22;5,392819567;8,798929188
73,56683616;20,12;30,09;25;121;206,22;5,392819567;8,798929188
92,70466761;20,12;30,09;25;121;206,22;5,392819567;8,798929188
92,67475516;20,12;30,09;25;121;206,22;5,392819567;8,798929188
84,80443839;20,12;30,09;25;121;206,22;5,392819567;8,798929188
89,90791982;20,12;30,09;25;121;206,22;5,392819567;8,798929188
91,55800004;20,12;30,09;25;121;206,22;5,392819567;8,798929188
86,54932081;20,12;30,09;25;121;206,22;5,392819567;8,798929188
85,95018938;20,12;30,09;25;121;206,22;5,392819567;8,798929188
93,45566756;20,12;30,09;25;121;206,22;5,392819567;8,798929188
100,1160586;20,12;30,09;25;121;206,22;5,392819567;8,798929188
101,4981898;20,12;30,09;25;121;206,22;5,392819567;8,798929188
88,27455017;20,12;30,09;25;121;206,22;5,392819567;8,798929188
85,65640827;20,12;30,09;25;121;206,22;5,392819567;8,798929188
82,96292076;20,12;30,09;25;121;206,22;5,392819567;8,798929188
75,99653062;20,12;30,09;25;121;206,22;5,392819567;8,798929188
59,31002759;20,12;30,09;25;121;206,22;5,392819567;8,798929188
60,07245988;20,12;30,09;25;121;206,22;5,392819567;8,798929188
55,00787447;20,12;30,09;25;121;206,22;5,392819567;8,798929188
55,26680307;20,12;30,09;25;121;206,22;5,392819567;8,798929188
56,06214943;20,12;30,09;25;121;206,22;5,392819567;8,798929188
55,95368723;20,12;30,09;25;121;206,22;5,392819567;8,798929188
58,1964196;20,12;30,09;25;121;206,22;5,392819567;8,798929188
65,5320273;20,12;30,09;25;121;206,22;5,392819567;8,798929188
76,60772456;20,12;30,09;25;121;206,22;5,392819567;8,798929188
86,66911763;20,12;30,09;25;121;206,22;5,392819567;8,798929188
101,8043741;20,12;30,09;25;121;206,22;5,392819567;8,798929188
107,7778128;20,12;30,09;25;121;206,22;5,392819567;8,798929188
107,2292919;20,12;30,09;25;121;206,22;5,392819567;8,798929188
108,0421919;20,12;30,09;25;121;206,22;5,392819567;8,798929188
106,7122891;20,12;30,09;25;121;206,22;5,392819567;8,798929188
100,6018201;20,12;30,09;25;121;206,22;5,392819567;8,798929188
94,70701987;20,12;30,09;25;121;206,22;5,392819567;8,798929188
96,41896359;20,12;30,09;25;121;206,22;5,392819567;8,798929188
99,60200211;20,12;30,09;25;121;206,22;5,392819567;8,798929188
103,8729232;20,12;30,09;25;121;206,22;5,392819567;8,798929188
105,7941853;20,12;30,09;25;121;206,22;5,392819567;8,798929188
98,92071008;20,12;30,09;25;121;206,22;5,392819567;8,798929188
86,80969347;20,12;30,09;25;121;206,22;5,392819567;8,798929188
79,21904138;20,12;30,09;25;121;206,22;5,392819567;8,798929188
72,8323993;20,12;30,09;25;121;206,22;5,392819567;8,798929188
65,73117429;20,12;30,09;25;121;206,22;5,392819567;8,798929188
61,94870271;20,12;30,09;25;121;206,22;5,392819567;8,798929188
59,93914397;20,12;30,09;25;121;206,22;5,392819567;8,798929188
53,86290383;20,12;30,09;25;121;206,22;5,392819567;8,798929188
44,23528824;20,12;30,09;25;121;206,22;5,392819567;8,798929188
35,86409645;20,12;30,09;25;121;206,22;5,392819567;8,798929188
35,45418502;20,12;30,09;25;121;206,22;5,392819567;8,798929188
37,31917029;20,12;30,09;25;121;206,22;5,392819567;8,798929188
40,75013048;20,12;30,09;25;121;206,22;5,392819567;8,798929188
70,8380141;20,12;30,09;25;121;206,22;5,392819567;8,798929188
90,03457166;20,12;30,09;25;121;206,22;5,392819567;8,798929188
100,6110812;20,12;30,09;25;121;206,22;5,392819567;8,798929188
103,880887;20,12;30,09;25;121;206,22;5,392819567;8,798929188
103,5097145;20,12;30,09;25;121;206,22;5,392819567;8,798929188
96,71936059;20,12;30,09;25;121;206,22;5,392819567;8,798929188
78,70305928;20,12;30,09;25;121;206,22;5,392819567;8,798929188
52,33760494;20,12;30,09;25;121;206,22;5,392819567;8,798929188
49,66831873;20,12;30,09;25;121;206,22;5,392819567;8,798929188
46,87652706;20,12;30,09;25;121;206,22;5,392819567;8,798929188
44,8028419;20,12;30,09;25;121;206,22;5,392819567;8,798929188
45,19674154;20,12;30,09;25;121;206,22;5,392819567;8,798929188
37,10486507;20,12;30,09;25;121;206,22;5,392819567;8,798929188
0;20,12;30,09;25;121;206,22;5,392819567;8,798929188
0;20,12;30,09;25;121;206,22;5,392819567;8,798929188
0;20,12;30,09;25;121;206,22;5,392819567;8,798929188
22,56895094;20,12;30,09;25;121;206,22;5,392819567;8,798929188
19,27505211;20,12;30,09;25;121;206,22;5,392819567;8,798929188
26,06100852;20,12;30,09;25;121;206,22;5,392819567;8,798929188
45,42776963;20,12;30,09;25;121;206,22;5,392819567;8,798929188
51,16586116;20,12;30,09;25;121;206,22;5,392819567;8,798929188
55,12302025;20,12;30,09;25;121;206,22;5,392819567;8,798929188
51,02601858;20,12;30,09;25;121;206,22;5,392819567;8,798929188
53,03951029;20,12;30,09;25;121;206,22;5,392819567;8,798929188
60,90341285;20,12;30,09;25;121;206,22;5,392819567;8,798929188
59,25106684;20,12;30,09;25;121;206,22;5,392819567;8,798929188
65,75531155;20,12;30,09;25;121;206,22;5,392819567;8,798929188
71,90646894;20,12;30,09;25;121;206,22;5,392819567;8,798929188
72,96731509;20,12;30,09;25;121;206,22;5,392819567;8,798929188
72,26508545;20,12;30,09;25;121;206,22;5,392819567;8,798929188
67,4003176;20,12;30,09;25;121;206,22;5,392819567;8,798929188
58,27182799;20,12;30,09;25;121;206,22;5,392819567;8,798929188
63,87355655;20,12;30,09;25;121;206,22;5,392819567;8,798929188
72,72264572;20,12;30,09;25;121;206,22;5,392819567;8,798929188
77,53346081;20,12;30,09;25;121;206,22;5,392819567;8,798929188
82,40686521;20,12;30,09;25;121;206,22;5,392819567;8,798929188
81,74143973;20,12;30,09;25;121;206,22;5,392819567;8,798929188
76,01539322;20,12;30,09;25;121;206,22;5,392819567;8,798929188
69,32679072;20,12;30,09;25;121;206,22;5,392819567;8,798929188
60,61282061;20,12;30,09;25;121;206,22;5,392819567;8,798929188
57,84645268;20,12;30,09;25;121;206,22;5,392819567;8,798929188
54,60173551;20,12;30,09;25;121;206,22;5,392819567;8,798929188
48,17753892;20,12;30,09;25;121;206,22;5,392819567;8,798929188
49,82913403;20,12;30,09;25;121;206,22;5,392819567;8,798929188
57,48541594;20,12;30,09;25;121;206,22;5,392819567;8,798929188
68,12456761;20,12;30,09;25;121;206,22;5,392819567;8,798929188
79,84152195;20,12;30,09;25;121;206,22;5,392819567;8,798929188
88,75223372;20,12;30,09;25;121;206,22;5,392819567;8,798929188
98,43101282;20,12;30,09;25;121;206,22;5,392819567;8,798929188
96,63220218;20,12;30,09;25;121;206,22;5,392819567;8,798929188
101,6654173;20,12;30,09;25;121;206,22;5,392819567;8,798929188
97,08633502;20,12;30,09;25;121;206,22;5,392819567;8,798929188
95,98710005;20,12;30,09;25;121;206,22;5,392819567;8,798929188
72,62952031;20,12;30,09;25;121;206,22;5,392819567;8,798929188
50,95811601;20,12;30,09;25;121;206,22;5,392819567;8,798929188
56,61397774;20,12;30,09;25;121;206,22;5,392819567;8,798929188
74,02218219;20,12;30,09;25;121;206,22;5,392819567;8,798929188
93,19687067;20,12;30,09;25;121;206,22;5,392819567;8,798929188
100,0438638;20,12;30,09;25;121;206,22;5,392819567;8,798929188
