"1491,3706511270411"
"1430,4107174230253"
"1322,8196349227974"
"1165,2830393120585"
"1026,1103040879848"
"1155,4362106176054"
"1182,260646980445"
"1207,5033500389768"
"1266,7571936082168"
"1483,1261786393934"
"1927,185937074709"
"2164,6873097705457"
"2277,507227846507"
"2294,8146316157754"
"2249,1986889192613"
"2185,944224065973"
"2115,8050432264895"
"2065,3910995117626"
"2023,3134092439439"
"2012,2376914454494"
"1979,9340898306457"
"1991,1941682698875"
"1969,4404687198698"
"1927,312892579367"
"1828,360439153725"
"1725,7094630408378"
"1597,2242282851564"
"1433,2142255475997"
"1252,5133346498064"
"1308,3262704692838"
"1315,3871670119825"
"1334,0851839233933"
"1402,7885964667635"
"1607,3659708520233"
"2101,4430286163565"
"2362,472893813331"
"2455,6807398822557"
"2492,431758857567"
"2468,690064671922"
"2400,796555900277"
"2351,1515879227604"
"2291,87172105206"
"2211,051209722951"
"2211,885752602707"
"2155,512684662957"
"2137,8654181319207"
"2118,849845512562"
"2051,8132928430714"
"1944,6525812400569"
"1826,4129578672807"
"1702,6891168801744"
"1561,7265712616884"
"1365,1630705928392"
"1349,124532145318"
"1357,052015173896"
"1376,2157816025888"
"1447,0910365585696"
"1656,2782268682165"
"2166,824679261912"
"2439,2620254146473"
"2539,5017486227216"
"2577,480970010172"
"2552,385877640887"
"2481,1132186447667"
"2429,6298712081852"
"2366,7831029958897"
"2281,358395768172"
"2282,742263985986"
"2224,814853887728"
"2205,741513538129"
"2187,3434197130778"
"2118,2695428264624"
"2006,1052295423494"
"1881,9354079893385"
"1754,5730396407987"
"1610,5148109427232"
"1407,7611011805407"
"1141,090615221481"
"1162,4173656555417"
"1184,1894281333364"
"1212,3177588532299"
"1356,900514709509"
"1673,8925954179667"
"1866,9029511008487"
"1934,5747925639034"
"1932,095377136878"
"1884,2456662148268"
"1877,2127403972718"
"1824,9110829474594"
"1755,8259766002552"
"1707,1710825572254"
"1641,7084146935026"
"1534,428425005406"
"1575,5735684707822"
"1545,994832027181"
"1482,4085770919764"
"1462,3405091920936"
"1448,3431990395984"
"1370,2995980235237"
"1226,2207687696769"
"1061,888305426257"
"1069,3386803684684"
"1084,1083927448647"
"1107,9662002562677"
"1212,995558251549"
"1347,2203998193654"
"1727,9192759161979"
"1703,2011773547379"
"1712,5526612987571"
"1687,248963527216"
"1657,249335208648"
"1614,122617460148"
"1553,1258344435828"
"1506,4948869212776"
"1472,6434679480874"
"1431,707307152056"
"1452,5837215899987"
"1484,9296743979778"
"1558,9504449348738"
"1573,4828788025302"
"1550,9164352125154"
"1502,52456185166"
"1471,4922489141954"
"1389,9902476442935"
"1231,7063947118315"
"1190,7410922792608"
"1219,4393208123727"
"1245,7394548950078"
"1306,920157038435"
"1529,6141405948038"
"1989,378169709163"
"2235,6344090614875"
"2354,8142927270046"
"2372,89020884062"
"2324,435141204201"
"2257,895601834354"
"2184,481130544722"
"2131,2967830734733"
"2086,905033035354"
"2075,402324057005"
"2043,3609394290943"
"2055,694630300854"
"2034,6902123995244"
"1992,3021664356042"
"1889,1488793185713"
"1781,523716888934"
"1648,481564577226"
"1479,4704403526277"
"1291,4800578824334"
"1176,6218457646512"
"1204,5804089834974"
"1230,446166272903"
"1290,887771132765"
"1511,1306307838495"
"1964,842903813511"
"2207,385983872261"
"2323,816274060186"
"2341,5410529784535"
"2294,2551877756523"
"2229,061829315192"
"2156,9754013810993"
"2104,956763382569"
"2061,5418770404017"
"2050,2244157039154"
"2018,0863041028022"
"2030,0309829945045"
"2008,7693138068257"
"1966,5284936689472"
"1865,153323185472"
"1759,598330892008"
"1628,3397035255712"
"1461,229304668348"
"1275,9665926166153"
"1210,8018787086414"
"1240,5136883530026"
"1267,456213598661"
"1329,6121386628392"
"1555,5775627846867"
"2023,3372077468111"
"2275,4202055939313"
"2399,038521024104"
"2417,7263812900796"
"2367,534206324104"
"2298,9955111287127"
"2223,640315657791"
"2168,6735590571457"
"2122,7517483369843"
"2110,955660451052"
"2079,0121180050846"
"2091,7931684833784"
"2071,052629955722"
"2028,3268081451083"
"1922,3937540529487"
"1811,6163091432072"
"1676,1499449670903"
"1504,7037721609142"
"1313,3293352611968"
"1396,6126712473003"
"1405,5961547210086"
"1425,3762002621402"
"1499,0225543980628"
"1714,5575945857452"
"2246,1349470889427"
"2529,3629903712"
"2635,363064111675"
"2674,7824160897617"
"2648,1264160326273"
"2573,1417962105324"
"2519,4746760470107"
"2453,1067923058827"
"2362,9661386227026"
"2364,8363555297983"
"2305,570297773774"
"2285,726320595272"
"2268,418440851824"
"2197,6186511872934"
"2080,5954582692984"
"1950,2885180669878"
"1818,1839420563192"
"1669,5888893497156"
"1457,5989871878605"
