;Electricity_2030;Electricity_brain_2030;Gas_2030;Oil_2030;Biomass_2030;Hydrogen_2030;Synthetic_fuel_2030;Hard_coal_2030;Brown_coal_2030;Electricity_brain_2040;Electricity_2040;Gas_2040;Oil_2040;Biomass_2040;Hydrogen_2040;Synthetic_fuel_2040;Electricity_brain_2050;Electricity_2050;Gas_2050;Oil_2050;Biomass_2050;Hydrogen_2050;Synthetic_fuel_2050;Hard_coal_2040;Brown_coal_2040;Hard_coal_2050;Brown_coal_2050;CO2_2030;CO2_2040;CO2_2050
33;81,39340147;97,17;20,12;30,09;25;121;206,22;5,392819567;8,798929188;97,17;99,3493226;20,34;29,03;25;95;157,22;97,17;94,08518679;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
34;86,92636139;94,15;20,12;30,09;25;121;206,22;5,392819567;8,798929188;94,15;105,2542844;20,34;29,03;25;95;157,22;94,15;98,5112157;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
35;90,30210212;91,89;20,12;30,09;25;121;206,22;5,392819567;8,798929188;91,89;108,4603314;20,34;29,03;25;95;157,22;91,89;100,3296574;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
36;91,47407716;89,63;20,12;30,09;25;121;206,22;5,392819567;8,798929188;89,63;109,9809654;20,34;29,03;25;95;157,22;89,63;101,8545324;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
37;87,73988291;98,62;20,12;30,09;25;121;206,22;5,392819567;8,798929188;98,62;106,5161827;20,34;29,03;25;95;157,22;98,62;99,80830029;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
38;80,99504433;104,41;20,12;30,09;25;121;206,22;5,392819567;8,798929188;104,41;97,89981934;20,34;29,03;25;95;157,22;104,41;90,03827878;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
39;78,99779833;107,34;20,12;30,09;25;121;206,22;5,392819567;8,798929188;107,34;96,64425124;20,34;29,03;25;95;157,22;107,34;89,32541545;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
40;78,45424821;110,05;20,12;30,09;25;121;206,22;5,392819567;8,798929188;110,05;95,92850051;20,34;29,03;25;95;157,22;110,05;88,12814921;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
41;83,35597921;111,59;20,12;30,09;25;121;206,22;5,392819567;8,798929188;111,59;101,4696372;20,34;29,03;25;95;157,22;111,59;93,56993778;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
42;90,02359827;109,04;20,12;30,09;25;121;206,22;5,392819567;8,798929188;109,04;108,4466026;20,34;29,03;25;95;157,22;109,04;99,8334775;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
43;94,69827764;106,51;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,51;113,2776575;20,34;29,03;25;95;157,22;106,51;104,0979919;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
44;89,20787175;104,41;20,12;30,09;25;121;206,22;5,392819567;8,798929188;104,41;106,8238827;20,34;29,03;25;95;157,22;104,41;98,591995;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
45;82,12235655;97,22;20,12;30,09;25;121;206,22;5,392819567;8,798929188;97,22;98,73115482;20,34;29,03;25;95;157,22;97,22;91,45902759;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
46;76,52503701;83,24;20,12;30,09;25;121;206,22;5,392819567;8,798929188;83,24;92,02504243;20,34;29,03;25;95;157,22;83,24;85,87251701;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
47;69,31812489;79,36;20,12;30,09;25;121;206,22;5,392819567;8,798929188;79,36;83,11368915;20,34;29,03;25;95;157,22;79,36;77,64851467;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
48;68,00706919;79,36;20,12;30,09;25;121;206,22;5,392819567;8,798929188;79,36;81,69071384;20,34;29,03;25;95;157,22;79,36;77,38504117;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
49;65,61890079;74,19;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,19;79,12493516;20,34;29,03;25;95;157,22;74,19;75,55767482;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
50;63,70976995;74,19;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,19;77,08102608;20,34;29,03;25;95;157,22;74,19;73,82573312;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
51;63,24662873;74,19;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,19;76,85506433;20,34;29,03;25;95;157,22;74,19;73,68603978;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
52;65,63674171;74,86;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,86;80,22303651;20,34;29,03;25;95;157,22;74,86;76,91329235;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
53;74,9337949;79,29;20,12;30,09;25;121;206,22;5,392819567;8,798929188;79,29;92,78096195;20,34;29,03;25;95;157,22;79,29;88,43563651;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
54;86,86135877;96,53;20,12;30,09;25;121;206,22;5,392819567;8,798929188;96,53;106,8690402;20,34;29,03;25;95;157,22;96,53;100,5959183;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
55;97,72855537;101,91;20,12;30,09;25;121;206,22;5,392819567;8,798929188;101,91;119,132842;20,34;29,03;25;95;157,22;101,91;111,3370209;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
56;112,5524884;90,67;20,12;30,09;25;121;206,22;5,392819567;8,798929188;90,67;135,4286534;20,34;29,03;25;95;157,22;90,67;126,1200258;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
57;107,0338583;75,21;20,12;30,09;25;121;206,22;5,392819567;8,798929188;75,21;125,8338221;20,34;29,03;25;95;157,22;75,21;116,565869;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
58;97,55940567;74,28;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,28;112,4271518;20,34;29,03;25;95;157,22;74,28;103,0979707;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
59;101,7823681;71,86;20,12;30,09;25;121;206,22;5,392819567;8,798929188;71,86;117,5398838;20,34;29,03;25;95;157,22;71,86;106,9260793;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
60;105,321248;70,12;20,12;30,09;25;121;206,22;5,392819567;8,798929188;70,12;122,52322;20,34;29,03;25;95;157,22;70,12;111,1751532;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
61;107,6638611;74,19;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,19;127,173818;20,34;29,03;25;95;157,22;74,19;115,6397232;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
62;101,6654642;78,4;20,12;30,09;25;121;206,22;5,392819567;8,798929188;78,4;120,4180341;20,34;29,03;25;95;157,22;78,4;109,0658045;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
63;107,7521423;85,63;20,12;30,09;25;121;206,22;5,392819567;8,798929188;85,63;128,3231608;20,34;29,03;25;95;157,22;85,63;115,1993432;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
64;114,0428479;87,33;20,12;30,09;25;121;206,22;5,392819567;8,798929188;87,33;136,6814383;20,34;29,03;25;95;157,22;87,33;122,6696932;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
65;119,9388192;86,53;20,12;30,09;25;121;206,22;5,392819567;8,798929188;86,53;145,7231116;20,34;29,03;25;95;157,22;86,53;133,7092453;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
66;120,9566137;87,33;20,12;30,09;25;121;206,22;5,392819567;8,798929188;87,33;147,2420498;20,34;29,03;25;95;157,22;87,33;136,0633607;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
67;112,1131007;83,29;20,12;30,09;25;121;206,22;5,392819567;8,798929188;83,29;135,4609744;20,34;29,03;25;95;157,22;83,29;123,7318524;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
68;99,25196549;76,73;20,12;30,09;25;121;206,22;5,392819567;8,798929188;76,73;120,1696168;20,34;29,03;25;95;157,22;76,73;110,8075554;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
69;91,13917716;72,68;20,12;30,09;25;121;206,22;5,392819567;8,798929188;72,68;111,5077194;20,34;29,03;25;95;157,22;72,68;104,9547222;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
70;84,05503972;69,93;20,12;30,09;25;121;206,22;5,392819567;8,798929188;69,93;103,0445141;20,34;29,03;25;95;157,22;69,93;98,27177631;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
71;75,69754691;68,39;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,39;92,60298699;20,34;29,03;25;95;157,22;68,39;89,56847127;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
72;70,57122614;70,03;20,12;30,09;25;121;206,22;5,392819567;8,798929188;70,03;87,43248472;20,34;29,03;25;95;157,22;70,03;85,93591715;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
73;67,96754844;68,4;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,4;84,49595109;20,34;29,03;25;95;157,22;68,4;83,7420265;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
74;66,47752125;69,42;20,12;30,09;25;121;206,22;5,392819567;8,798929188;69,42;83,6784165;20,34;29,03;25;95;157,22;69,42;84,30945208;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
75;66,51054277;69,37;20,12;30,09;25;121;206,22;5,392819567;8,798929188;69,37;85,07395143;20,34;29,03;25;95;157,22;69,37;87,33574503;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
76;70,36346088;69,37;20,12;30,09;25;121;206,22;5,392819567;8,798929188;69,37;92,80318891;20,34;29,03;25;95;157,22;69,37;98,59005187;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
77;78,71904328;74,19;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,19;101,7179559;20,34;29,03;25;95;157,22;74,19;102,31499;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
78;88,73232855;91,89;20,12;30,09;25;121;206,22;5,392819567;8,798929188;91,89;110,8758171;20,34;29,03;25;95;157,22;91,89;106,2082061;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
79;98,25294377;101,87;20,12;30,09;25;121;206,22;5,392819567;8,798929188;101,87;120,38623;20,34;29,03;25;95;157,22;101,87;113,2554269;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
80;113,1969339;98,34;20,12;30,09;25;121;206,22;5,392819567;8,798929188;98,34;136,8399279;20,34;29,03;25;95;157,22;98,34;128,2457854;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
