;Electricity_2045;CO2_2045;Oil_2045;Gas_2045;Biomass_2045;Hydrogen_2045;Synthetic_fuel_2045;Hard_coal_2045;Brown_coal_2045
164;130,5091;0,1515;26,2593;12,4362;35,6;100;190;10000000;10000000
165;130,5339;0,1515;26,2592;12,4362;35,6;100;190;10000000;10000000
166;126,5472;0,1515;26,2592;12,4362;35,6;100;190;10000000;10000000
167;111,3639;0,1515;26,2592;12,4362;35,6;100;190;10000000;10000000
168;111,3677;0,1515;26,2592;12,4362;35,6;100;190;10000000;10000000
169;106,1096;0,1515;26,2592;12,4362;35,6;100;190;10000000;10000000
170;106,1096;0,1515;26,2592;12,4362;35,6;100;190;10000000;10000000
171;96,0886;0,1515;26,2591;12,4363;35,6;100;190;10000000;10000000
172;88,9008;0,1515;26,2591;12,4363;35,6;100;190;10000000;10000000
173;86,4199;0,1515;26,2591;12,4363;35,6;100;190;10000000;10000000
174;86,6789;0,1515;26,2591;12,4363;35,6;100;190;10000000;10000000
175;86,9247;0,1515;26,2591;12,4363;35,6;100;190;10000000;10000000
176;86,6789;0,1515;26,2591;12,4363;35,6;100;190;10000000;10000000
177;85,4433;0,1515;26,259;12,4363;35,6;100;190;10000000;10000000
178;85,4433;0,1515;26,259;12,4363;35,6;100;190;10000000;10000000
179;85,6571;0,1515;26,259;12,4363;35,6;100;190;10000000;10000000
180;85,4433;0,1515;26,259;12,4363;35,6;100;190;10000000;10000000
181;85,4433;0,1515;26,259;12,4363;35,6;100;190;10000000;10000000
182;85,6571;0,1515;26,259;12,4363;35,6;100;190;10000000;10000000
183;87,1565;0,1515;26,2589;12,4363;35,6;100;190;10000000;10000000
184;129,1542;0,1515;26,2589;12,4363;35,6;100;190;10000000;10000000
185;130,5384;0,1515;26,2589;12,4363;35,6;100;190;10000000;10000000
186;129,1542;0,1515;26,2589;12,4363;35,6;100;190;10000000;10000000
187;130,5384;0,1515;26,2589;12,4363;35,6;100;190;10000000;10000000
188;115,2871;0,1515;26,2589;12,4363;35,6;100;190;10000000;10000000
189;123,9162;0,1515;26,2588;12,4363;35,6;100;190;10000000;10000000
190;118,3677;0,1515;26,2588;12,4363;35,6;100;190;10000000;10000000
191;108,1684;0,1515;26,2588;12,4363;35,6;100;190;10000000;10000000
192;109,3783;0,1515;26,2588;12,4364;35,6;100;190;10000000;10000000
193;117,9627;0,1515;26,2588;12,4364;35,6;100;190;10000000;10000000
194;125,0944;0,1515;26,2588;12,4364;35,6;100;190;10000000;10000000
195;125,0944;0,1515;26,2588;12,4364;35,6;100;190;10000000;10000000
196;130,5429;0,1515;26,2587;12,4364;35,6;100;190;10000000;10000000
197;134,8048;0,1515;26,2587;12,4364;35,6;100;190;10000000;10000000
198;142,4105;0,1515;26,2587;12,4364;35,6;100;190;10000000;10000000
199;142,4105;0,1515;26,2587;12,4364;35,6;100;190;10000000;10000000
200;141,7305;0,1515;26,2587;12,4364;35,6;100;190;10000000;10000000
