;Electricity_2020;CO2_2020;Oil_2020;Gas_2020;Electricity_2025;CO2_2025;Oil_2025;Gas_2025;Electricity_2030;CO2_2030;Oil_2030;Gas_2030;Electricity_2035;CO2_2035;Oil_2035;Gas_2035;Electricity_2040;CO2_2040;Oil_2040;Gas_2040;Electricity_2045;CO2_2045;Oil_2045;Gas_2045;Electricity_2050;CO2_2050;Oil_2050;Gas_2050;Biomass_2020;Biomass_2025;Biomass_2030;Biomass_2035;Biomass_2040;Biomass_2045;Biomass_2050;Hydrogen_2020;Hydrogen_2025;Hydrogen_2030;Hydrogen_2035;Hydrogen_2040;Hydrogen_2045;Hydrogen_2050;Synthetic_fuel_2020;Synthetic_fuel_2025;Synthetic_fuel_2030;Synthetic_fuel_2035;Synthetic_fuel_2040;Synthetic_fuel_2045;Synthetic_fuel_2050;Hard_coal_2020;Hard_coal_2025;Hard_coal_2030;Hard_coal_2035;Hard_coal_2040;Hard_coal_2045;Hard_coal_2050;Brown_coal_2020;Brown_coal_2025;Brown_coal_2030;Brown_coal_2035;Brown_coal_2040;Brown_coal_2045;Brown_coal_2050
844;113,254;0,058498;34,76264095;38,536;120,34;0,0766;35,15170586;35,04;111,0218;0,0868;28,9052;23,6015;128,158;0,1268;33,1572;25,5925;114,0304;0,141;31,6284;25,6458;132,8501;0,1512;30,3242;26,782;184,1444;0,1614;29,0749;27,9178;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
845;123,814;0,058498;34,76264095;38,536;129,14;0,0766;35,15170586;35,04;113,6625;0,0868;28,9052;23,6025;131,7594;0,1268;33,1573;25,5925;110,3456;0,141;31,6283;25,6458;119,4463;0,1512;30,3242;26,782;172,6619;0,1614;29,0749;27,9179;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
846;149,062;0,058498;34,76264095;38,536;146,99;0,0766;35,15170586;35,04;131,395;0,0868;28,9053;23,6034;156,4255;0,1268;33,1574;25,5925;110,3456;0,141;31,6283;25,6459;116,133;0,1512;30,3242;26,782;168,0209;0,1614;29,0749;27,9179;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
847;149,616;0,058498;34,76264095;38,536;147,15;0,0766;35,15170586;35,04;116,9974;0,0868;28,9054;23,6043;131,7594;0,1268;33,1575;25,5925;107,2895;0,141;31,6282;25,6459;112,1443;0,1512;30,3242;26,7821;165,8539;0,1614;29,0748;27,9179;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
848;143,094;0,058498;34,76264095;38,536;139,21;0,0766;35,15170586;35,04;111,0218;0,0868;28,9054;23,6052;128,158;0,1268;33,1576;25,5925;105,6819;0,141;31,6282;25,6459;111,7749;0,1512;30,3241;26,7821;125,2255;0,1614;29,0748;27,9179;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
849;129,726;0,058498;34,76264095;38,536;125,4;0,0766;35,15170586;35,04;104,6891;0,0868;28,9055;23,6061;123,166;0,1268;33,1577;25,5924;104,1673;0,141;31,6281;25,6459;109,8598;0,1512;30,3241;26,7821;123,3832;0,1614;29,0748;27,918;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
850;127,152;0,058498;34,76264095;38,536;122,72;0,0766;35,15170586;35,04;101,7964;0,0868;28,9056;23,607;121,7094;0,1268;33,1578;25,5924;103,6864;0,141;31,6281;25,646;109,8449;0,1512;30,3241;26,7822;124,3603;0,1614;29,0747;27,918;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
851;127,282;0,058498;34,76264095;38,536;122,72;0,0766;35,15170586;35,04;95,6657;0,0868;28,9056;23,608;114,1745;0,1268;33,1579;25,5924;104,0456;0,141;31,628;25,646;109,8598;0,1512;30,324;26,7822;123,3832;0,1614;29,0747;27,918;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
852;127,93;0,058498;34,76264095;38,536;123,26;0,0766;35,15170586;35,04;95,6657;0,0868;28,9057;23,6089;113,6917;0,1268;33,158;25,5924;104,1805;0,141;31,628;25,646;109,0968;0,1512;30,324;26,7822;120,3542;0,1614;29,0747;27,918;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
853;128,234;0,058498;34,76264095;38,536;123,48;0,0766;35,15170586;35,04;101,7964;0,0868;28,9058;23,6098;113,6606;0,1268;33,1581;25,5924;104,1673;0,141;31,6279;25,646;109,8598;0,1512;30,324;26,7822;122,5742;0,1614;29,0746;27,9181;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
854;131,398;0,058498;34,76264095;38,536;126,15;0,0766;35,15170586;35,04;95,6657;0,0868;28,9059;23,6107;114,1745;0,1268;33,1583;25,5923;104,5286;0,141;31,6279;25,6461;109,8598;0,1512;30,3239;26,7823;119,9204;0,1614;29,0746;27,9181;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
855;141,114;0,058498;34,76264095;38,536;134,35;0,0766;35,15170586;35,04;106,668;0,0868;28,9059;23,6116;113,6917;0,1268;33,1584;25,5923;104,6376;0,141;31,6278;25,6461;109,8598;0,1512;30,3239;26,7823;125,2255;0,1614;29,0746;27,9181;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
856;159,498;0,058498;34,76264095;38,536;150,21;0,0766;35,15170586;35,04;105,1307;0,0868;28,906;23,6125;121,4221;0,1268;33,1585;25,5923;105,218;0,141;31,6278;25,6461;109,8598;0,1513;30,3239;26,7823;123,2544;0,1614;29,0746;27,9182;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
857;163,428;0,058498;34,76264095;38,536;153,17;0,0766;35,15170586;35,04;106,668;0,0868;28,9061;23,6135;122,6536;0,1268;33,1586;25,5923;105,7726;0,141;31,6278;25,6461;110,8526;0,1513;30,3239;26,7823;123,2544;0,1614;29,0745;27,9182;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
858;151,444;0,058498;34,76264095;38,536;143,5;0,0766;35,15170586;35,04;104,6891;0,0868;28,9061;23,6144;121,7094;0,1268;33,1587;25,5923;105,8569;0,141;31,6277;25,6462;111,1405;0,1513;30,3238;26,7824;125,2255;0,1614;29,0745;27,9182;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
