;PV_rooftop_middle;PV_rooftop_north;PV_rooftop_swest;PV_rooftop_east;PV_openfield_middle;PV_openfield_north;PV_openfield_swest;PV_openfield_east;Solarthermal;Wind_east;Wind_swest;Wind_north;Wind_middle;Hydro_power
3785;0,198030079;0,196481803;0,040063516;0,095093542;0,20454;0,2036275;0,04054525;0,09533675;3,57E-06;0,14328;0,173055;0,3032075;0,3475025;0,71
3786;0,084243087;0,079555638;0,010511472;0,046644533;0,085589;0,08091975;0,010284925;0,046512;0;0,0525245;0,025936303;0,0586725;0,0881025;0,71
3787;0,027635167;0,02524172;0,00157053;0,020900406;0,02744575;0,0249115;0,00146102;0,020632525;0;0,013636;0,00080328;0,007300525;0,01275075;0,71
3788;0,000346114;0,000375388;0;0,000496026;0,00034005;0,000367098;0;0,00048365;0;0,05813675;0,012142025;0,02718025;0,0417105;0,71
3789;0;0;0;0;0;0;0;0;0;0,08459;0,038689;0,038689;0,083162;0,71
3790;0;0;0;0;0;0;0;0;0;0,08459;0,02850825;0,034705;0,040882;0,71
3791;0;0;0;0;0;0;0;0;0;0,08459;0,07183975;0,05016425;0,082295;0,71
3792;0;0;0;0;0;0;0;0;0;0,04135;0,015963428;0,03638725;0,06155075;0,71
3793;0;0;0;0;0;0;0;0;0;0,005256805;0,00018032;0,00478808;0,011645975;0,71
3794;0;0;0;0;0;0;0;0;0;0,00098361;0;0,000131148;0,00098361;0,71
3795;0;0;0;0;0;0;0;0;0;0,00098361;0;0;0,00098361;0,71
3796;0;0,004184451;0;0,002890714;0;0,00378502;0;0,00249189;0;0,00098361;0;0,000295083;0,00098361;0,71
3797;0,022918944;0,041643576;0,03476309;0,045441549;0,02252345;0,0408275;0,034242575;0,04475725;0;0,00469958;0,00036502;0,007808753;0,0143715;0,71
3798;0,05447308;0,140336921;0,107264728;0,127403155;0,05396775;0,141437;0,10689475;0,1283375;0;0,03160675;0,026656925;0,06746425;0,10407125;0,71
3799;0,097587158;0,231557605;0,097233679;0,267242605;0,09747225;0,2363775;0,097082;0,274275;2,91E-05;0,05475425;0,038689;0,084284;0,151735;0,71
3800;0,135022697;0,348906355;0,19842377;0,377256908;0,13543;0,36029;0,19921875;0,391565;0,00019881;0,038689;0,0223115;0,0389565;0,0651825;0,71
3801;0,191858645;0,359156763;0,343897934;0,486021513;0,1933175;0,3712475;0,3495675;0,50957;0,000350713;0,02673775;0,002915855;0,012131;0,0258525;0,71
