;PV_openfield_north;PV_openfield_east;PV_openfield_middle;PV_openfield_swest;PV_rooftop_north;PV_rooftop_east;PV_rooftop_middle;PV_rooftop_swest;Wind_north;Wind_east;Wind_middle;Wind_swest;PV_openfield_north_scaled;PV_openfield_east_scaled;PV_openfield_middle_scaled;PV_openfield_swest_scaled;PV_rooftop_north_scaled;PV_rooftop_east_scaled;PV_rooftop_middle_scaled;PV_rooftop_swest_scaled;Wind_north_scaled;Wind_east_scaled;Wind_middle_scaled;Wind_swest_scaled;Solarthermal;Hydro_power
1599;0,0185;0,0292;0,0251;0,0049;0,0169;0,0265;0,0228;0,0046;0,4768525;0,618419286;0,581120357;0,517420536;0,01543687;0,023487046;0,020216954;0,003976944;0,015342201;0,023212923;0,019993548;0,00406154;0,453108961;0,589275468;0,562965634;0,53071176;6,70E-05;0,92
1600;0;0;0;0;0;0;0;0;0,416300179;0,579653036;0,533219286;0,496868036;0;0;0;0;0;0;0;0;0,395571673;0,552336129;0,516561036;0,509631319;0;0,92
1601;0;0;0;0;0;0;0;0;0,457957321;0,510194107;0,512976607;0,500361964;0;0;0;0;0;0;0;0;0,435154615;0,486150543;0,496950756;0,513214997;0;0,92
1602;0;0;0;0;0;0;0;0;0,401626071;0,4637675;0,44867875;0,449943393;0;0;0;0;0;0;0;0;0,381628222;0,44191185;0,434661622;0,4615013;0;0,92
1603;0;0;0;0;0;0;0;0;0,388819643;0,457951429;0,431696786;0,466891964;0;0;0;0;0;0;0;0;0,369459454;0,436369869;0,41821019;0,478885238;0;0,92
1604;0;0;0;0;0;0;0;0;0,373123393;0,420809643;0,414538393;0,458685;0;0;0;0;0;0;0;0;0,354544755;0,400978438;0,401587841;0,470467457;0;0,92
1605;0;0;0;0;0;0;0;0;0,32138;0,397805179;0,401139821;0,416515714;0;0;0;0;0;0;0;0;0,30537778;0,379058089;0,388607853;0,427214949;0;0,92
1606;0;0;0;0;0;0;0;0;0,288678214;0,365423036;0,388845893;0,391745357;0;0;0;0;0;0;0;0;0,274304288;0,348201997;0,376697997;0,401808304;0;0,92
1607;0;0;0;0;0;0;0;0;0,319863036;0,39343875;0,41981625;0,378802321;0;0;0;0;0;0;0;0;0,303936349;0,374897434;0,406700813;0,388532795;0;0,92
1608;0;0;0;0;0;0;0;0;0,322211071;0,431253036;0,417201071;0,347944107;0;0;0;0;0;0;0;0;0,30616747;0,410929673;0,404167335;0,356881911;0;0,92
1609;0;0;0;0;0;0;0;0;0,313304821;0,476840357;0,404525893;0,324894107;0;0;0;0;0;0;0;0;0,297704682;0,454368632;0,39188814;0,333239815;0;0,92
