;Household_middle;Household_north;Household_east;Household_swest;HA4_middle;HA4_north;HA4_east;HA4_swest
61;451,8131741;521,0714107;651,9245625;693,9106078;0,1893085961157255;0,3085440045619237;0,28109257219112255;0,19914674723361814
62;473,3829297;527,5567759;652,4151589;700,1060852;0,18606562230646256;0,303258454162576;0,2762772818752147;0,19573523978636131
63;485,5187732;543,4031393;662,484586;717,0594772;0,1852548788541468;0,30193706656273905;0,27507345929623767;0,19488236292454708
64;483,7089051;554,2093966;667,4192199;730,852381;0,1828226484971996;0,29797290376322827;0,2714619915593068;0,19232373233910444
65;486,4664858;565,2055396;669,9586042;742,415267;0,17957967468793662;0,2926873533638806;0,2666467012433989;0,1889122248918476
66;493,7309564;579,2602127;680,5368496;759,5445648;0,1718776118909371;0,28013417116542966;0,2552103867431177;0,1808098947046126
67;501,3765412;593,8052806;691,9798336;777,3022083;0,14471770623835978;0,23586768657089247;0,2148823303473892;0,15223851983383657
68;509,329977;610,453587;701,053199;793,4711179;0,11796317231194033;0,19226189577627367;0,17515618524114918;0,1240935833939676
69;514,7005933;625,9158787;713,3788805;811,8922562;0,10904499433646717;0,17772663217806742;0,1619141368724025;0,1147119379140113
70;522,7571692;641,5955287;726,2306655;828,5954895;0,10782887915799354;0,17574455077831203;0,16010840300393703;0,11343262262128999
71;531,0430638;657,4503351;736,4398884;847,4469547;0,11188259641957225;0,18235148877749666;0,16612751589882188;0,11769700693036103
72;539,514127;670,0301695;746,614628;860,3068246;0,1117772433341383;0,19938871600065722;0,1732970228141956;0,1201382549915857
73;548,134717;685,7327227;756,7615365;874,7462122;0,11587164785187229;0,20225761838915593;0,17964489910775588;0,12453892367259617
74;556,876059;701,6055704;766,8859808;889,0201522;0,1207849332731531;0,20369206958340524;0,1872623506600282;0,1298197260898087
75;565,7149209;712,4915445;773,9255012;901,0654592;0,12242269508024671;0,20942987436040256;0,18980150117745231;0,13157999356221292
76;566,1380326;724,5855582;780,573799;912,752143;0,1310209445674881;0,21373322794315056;0,2031320413939289;0,14082139779233488
77;571,2484357;736,4796047;783,839768;924,1493413;0,14862688399374432;0,2589184405620045;0,2304279094562381;0,15974427312067987
78;576,2648201;746,5041568;789,5414324;935,3128489;0,20594854724202039;0,3614817009508319;0,319298177566082;0,22135363465482635
79;585,8520243;759,0161592;800,1388139;949,7449636;0,2554908419066018;0,4410937422316698;0,3961074807181613;0,27460172569505303
80;594,8567967;769,2565953;810,059591;961,5656292;0,26449853184561667;0,4468315470086672;0,41007280856399403;0,284283196793276
81;604,8139953;747,4440317;830,1665999;933,9989773;0,25057755648532104;0,43965929103742046;0,38849002916588904;0,26932092327784046
82;593,4306198;713,523102;822,1396554;896,0255672;0,2358377002214786;0,41957697431792984;0,36563767450907203;0,2534785160262028
83;564,0330399;670,4326088;794,7508147;847,3364626;0,2223261653129564;0,41168749274955846;0,34468968274032313;0,23895630937886825
84;546,1338959;642,83274;776,8490397;811,3496902;0,20594854724202039;0,3822812432674472;0,319298177566082;0,22135363465482635
85;551,3709481;633,2693116;780,6340674;799,9978077;0,19120869097817794;0,3471371890083385;0,29644582290926497;0,20551122740318872
86;567,6733354;640,9751278;801,9210969;811,8194467;0,18793316736399077;0,3528749937853359;0,2913675218744168;0,20199069245838036
87;573,4749689;656,4880302;805,9818992;830,7877878;0,18711428646044395;0,3363788050514685;0,2900979466157047;0,20111055872217823
88;554,900687;670,2193758;783,1318941;846,2394371;0,18465764374980356;0,3134275859434792;0,28628922083956854;0,19847015751357197
89;554,6451095;668,6278155;782,7380794;844,4480438;0,18138212013561636;0,3091242323607312;0,28121091980472035;0,19494962256876358
