;('Biogas_feedin_existing_n', 'Gas_n');('Biogas_feedin_new_n', 'Gas_n');('Gas_n', 'Gas_demand_total_n');('Gas_n', 'Gas_storage_n');('Gas_n', 'GuD_n');('Gas_n', 'Material_demand_Gas_n');('Gas_n', 'excess_b_gas_n');('Gas_storage_n', 'Gas_n');('Hydrogen_feedin_n', 'Gas_n');('Import_Gas_n', 'Gas_n');('Methanisation_n', 'Gas_n')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-04 03:00:00;231,28;0,0;408,39;0,0;120,95;0,22;0,0;0,0;0,0;298,28;0,0
2030-01-04 04:00:00;231,28;0,0;429,24;0,0;120,95;0,22;0,0;0,0;0,0;319,14;0,0
2030-01-04 05:00:00;231,28;0,0;461,71;0,0;120,95;0,22;0,0;0,0;0,0;351,6;0,0
2030-01-04 06:00:00;231,28;0,0;509,35;0,0;120,95;0,22;0,0;0,0;0,0;399,24;0,0
2030-01-04 07:00:00;231,28;0,0;537,32;0,0;120,95;0,22;0,0;0,0;0,0;427,21;0,0
2030-01-04 08:00:00;231,28;0,0;544,82;0,0;120,95;0,22;0,0;0,0;0,0;434,71;0,0
2030-01-04 09:00:00;231,28;0,0;535,32;0,0;120,95;0,22;0,0;0,0;0,0;425,21;0,0
2030-01-04 10:00:00;231,28;0,0;516,44;0,0;120,95;0,22;0,0;0,0;0,0;406,33;0,0
2030-01-04 11:00:00;231,28;0,0;495,59;0,0;120,95;0,22;0,0;0,0;0,0;385,48;0,0
2030-01-04 12:00:00;231,28;0,0;476,93;0,0;120,95;0,22;0,0;0,0;0,0;366,83;0,0
2030-01-04 13:00:00;231,28;0,0;464,09;0,0;120,95;0,22;0,0;0,0;0,0;353,98;0,0
2030-01-04 14:00:00;231,28;0,0;467,32;0,0;120,95;0,22;0,0;0,0;0,0;357,21;0,0
2030-01-04 15:00:00;231,28;0,0;462,01;0,0;120,95;0,22;0,0;0,0;0,0;351,9;0,0
2030-01-04 16:00:00;231,28;0,0;458,97;0,0;120,95;0,22;0,0;0,0;0,0;348,86;0,0
2030-01-04 17:00:00;231,28;0,0;448,59;0,0;120,95;0,22;0,0;0,0;0,0;338,49;0,0
2030-01-04 18:00:00;231,28;0,0;434,44;0,0;120,95;0,22;0,0;0,0;0,0;324,33;0,0
2030-01-04 19:00:00;231,28;0,0;418,25;0,0;120,95;0,22;0,0;0,0;0,0;308,14;0,0
2030-01-04 20:00:00;231,28;0,0;403,82;0,0;120,95;0,22;0,0;0,0;0,0;293,71;0,0
2030-01-04 21:00:00;231,28;0,0;394,85;0,0;120,95;0,22;0,0;0,0;0,0;284,75;0,0
2030-01-04 22:00:00;231,28;0,0;385,68;0,0;120,95;0,22;0,0;0,0;0,0;275,57;0,0
2030-01-04 23:00:00;231,28;0,0;385,99;0,0;120,95;0,22;0,0;0,0;0,0;275,89;0,0
2030-01-05 00:00:00;231,28;0,0;382,88;0,0;120,95;0,22;0,0;0,0;0,0;272,77;0,0
2030-01-05 01:00:00;231,28;0,0;377,11;0,0;120,95;0,22;0,0;0,0;0,0;267,01;0,0
2030-01-05 02:00:00;231,28;0,0;373,85;0,0;120,95;0,22;0,0;0,0;0,0;263,74;0,0
2030-01-05 03:00:00;231,28;0,0;375,06;0,0;120,95;0,22;0,0;0,0;0,0;264,95;0,0
2030-01-05 04:00:00;231,28;0,0;387,95;0,0;120,95;0,22;0,0;0,0;0,0;277,84;0,0
2030-01-05 05:00:00;231,28;0,0;412,53;0,0;120,95;0,22;0,0;0,0;0,0;302,42;0,0
2030-01-05 06:00:00;231,28;0,0;455,28;0,0;120,95;0,22;0,0;0,0;0,0;345,17;0,0
2030-01-05 07:00:00;231,28;0,0;476,38;0,0;120,95;0,22;0,0;0,0;0,0;366,27;0,0
2030-01-05 08:00:00;231,28;0,0;478,01;0,0;120,95;0,22;0,0;0,0;0,0;367,9;0,0
2030-01-05 09:00:00;231,28;0,0;470,56;0,0;120,95;0,22;0,0;0,0;0,0;360,45;0,0
2030-01-05 10:00:00;231,28;0,0;457,22;0,0;120,95;0,22;0,0;0,0;0,0;347,11;0,0
2030-01-05 11:00:00;231,28;0,0;441,93;0,0;120,95;0,22;0,0;0,0;0,0;331,82;0,0
2030-01-05 12:00:00;231,28;0,0;423,57;0,0;120,95;0,22;0,0;0,0;0,0;313,47;0,0
2030-01-05 13:00:00;231,28;0,0;406,03;0,0;120,95;0,22;0,0;0,0;0,0;295,92;0,0
2030-01-05 14:00:00;231,28;0,0;402,6;0,0;120,95;0,22;0,0;0,0;0,0;292,49;0,0
