;('Battery_e', 'Electricity_e');('Biogas_e', 'Electricity_e');('Biomasse_elec_e', 'Electricity_e');('East<->Middel', 'Electricity_e');('Electricity_e', 'Battery_e');('Electricity_e', 'East<->Middel');('Electricity_e', 'Electric boiler_e');('Electricity_e', 'Electricity_demand_total_e');('Electricity_e', 'Electrolysis_e');('Electricity_e', 'Export_Electricity_e');('Electricity_e', 'HS<->East');('Electricity_e', 'Heatpump_air_e');('Electricity_e', 'Heatpump_water_e');('Electricity_e', 'Pumped_hydro_storage_e');('Electricity_e', 'excess_b_el_e');('Fuelcell_e', 'Electricity_e');('GuD_e', 'Electricity_e');('HS<->East', 'Electricity_e');('Hydro power plant_e', 'Electricity_e');('PV_open_e', 'Electricity_e');('PV_rooftop_e', 'Electricity_e');('Pumped_hydro_storage_e', 'Electricity_e');('Wind_e', 'Electricity_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-02 13:00:00;0,0;0,0;0,0;0,0;158,96;0,0;0,0;428,47;214,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;2,63;0,0;0,0;700,06
2030-01-02 14:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;426,9;7,96;0,0;46,86;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;1,71;0,0;0,0;381,07
2030-01-02 15:00:00;0,0;0,0;0,0;0,0;39,17;0,0;0,0;434,23;214,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,52;0,0;0,0;588,15
2030-01-02 16:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;443,25;0,0;0,0;62,45;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;406,75
2030-01-02 17:00:00;0,0;0,0;0,0;0,0;0,0;42,1;0,0;444,92;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;388,07
2030-01-02 18:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;472,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;46,97;0,0;0,0;0,0;0,0;167,18
2030-01-02 19:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;554,05;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;226,92;68,87
2030-01-02 20:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;572,79;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;282,02;0,0;0,0;0,0;0,0;32,51
2030-01-02 21:00:00;95,59;0,0;0,0;0,0;0,0;0,0;0,0;534,46;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;327,29;0,0;0,0;0,0;0,0;12,63
2030-01-02 22:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;487,19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;386,58;0,0;0,0;0,0;0,0;1,66
2030-01-02 23:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;463,95;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;364,77;0,0;0,0;0,0;0,0;0,23
2030-01-03 00:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;416,94;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;317,99;0,0;0,0;0,0;0,0;0,0
2030-01-03 01:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;417,23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;477,59;0,0;0,0;0,0;0,0;0,0
