;('Biogas_e', 'District heating_e');('Biomasse_heat_e', 'District heating_e');('District heating_e', 'Heat storage_e');('District heating_e', 'Heat_demand_total_e');('District heating_e', 'excess_b_distheat_e');('Electric boiler_e', 'District heating_e');('GuD_e', 'District heating_e');('Heat storage_e', 'District heating_e');('Heatpump_air_e', 'District heating_e');('Heatpump_water_e', 'District heating_e');('ST_e', 'District heating_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-05 06:00:00;0,0;0,0;0,0;130,98;0,0;0,0;94,55;36,43;0,0;0,0;0,0
2030-01-05 07:00:00;0,0;0,0;0,0;132,79;0,0;0,0;94,55;38,23;0,0;0,0;0,0
2030-01-05 08:00:00;0,0;0,0;0,0;133,68;0,0;0,0;94,55;39,13;0,0;0,0;0,0
2030-01-05 09:00:00;0,0;0,0;0,0;130,93;0,0;0,0;94,55;36,38;0,0;0,0;0,0
2030-01-05 10:00:00;0,0;0,0;0,0;123,73;0,0;0,0;94,55;29,18;0,0;0,0;0,0
2030-01-05 11:00:00;0,0;0,0;0,0;121,81;0,0;0,0;94,55;27,26;0,0;0,0;0,0
2030-01-05 12:00:00;0,0;0,0;0,0;123,03;0,0;0,0;94,55;28,48;0,0;0,0;0,0
2030-01-05 13:00:00;0,0;0,0;0,0;124,05;0,0;0,0;94,55;29,5;0,0;0,0;0,0
2030-01-05 14:00:00;0,0;0,0;0,0;121,95;0,0;0,0;94,55;27,39;0,0;0,0;0,0
2030-01-05 15:00:00;0,0;0,0;0,0;123,53;0,0;0,0;94,55;28,98;0,0;0,0;0,0
2030-01-05 16:00:00;0,0;0,0;0,0;126,29;0,0;0,0;94,55;31,74;0,0;0,0;0,0
2030-01-05 17:00:00;0,0;0,0;0,0;127,57;0,0;0,0;94,55;33,02;0,0;0,0;0,0
2030-01-05 18:00:00;0,0;0,0;0,0;128,86;0,0;0,0;94,55;34,31;0,0;0,0;0,0
2030-01-05 19:00:00;0,0;0,0;0,0;130,17;0,0;0,0;94,55;35,61;0,0;0,0;0,0
2030-01-05 20:00:00;0,0;0,0;0,0;131,48;0,0;0,0;94,55;36,92;0,0;0,0;0,0
2030-01-05 21:00:00;0,0;0,0;0,0;132,8;0,0;0,0;94,55;38,24;0,0;0,0;0,0
2030-01-05 22:00:00;0,0;0,0;0,0;134,12;0,0;0,0;94,55;39,57;0,0;0,0;0,0
2030-01-05 23:00:00;0,0;0,0;0,0;135,45;0,0;0,0;94,55;40,9;0,0;0,0;0,0
2030-01-06 00:00:00;0,0;0,0;0,0;135,96;0,0;0,0;94,55;41,41;0,0;0,0;0,0
2030-01-06 01:00:00;0,0;0,0;0,0;135,13;0,0;0,0;94,55;40,58;0,0;0,0;0,0
2030-01-06 02:00:00;0,0;0,0;0,0;134,9;0,0;0,0;94,55;40,35;0,0;0,0;0,0
2030-01-06 03:00:00;0,0;0,0;0,0;134,17;0,0;0,0;94,55;39,62;0,0;0,0;0,0
2030-01-06 04:00:00;0,0;0,0;0,0;133,74;0,0;0,0;94,55;39,18;0,0;0,0;0,0
2030-01-06 05:00:00;0,0;0,0;0,0;133,25;0,0;0,0;94,55;38,7;0,0;0,0;0,0
2030-01-06 06:00:00;0,0;0,0;0,0;132,73;0,0;0,0;94,55;38,18;0,0;0,0;0,0
2030-01-06 07:00:00;0,0;0,0;0,0;132,18;0,0;0,0;94,55;37,63;0,0;0,0;0,0
2030-01-06 08:00:00;0,0;0,0;0,0;130,79;0,0;0,0;94,55;36,23;0,0;0,0;0,0
2030-01-06 09:00:00;0,0;0,0;0,0;124,62;0,0;0,0;94,55;30,07;0,0;0,0;0,0
