;('Biogas_s', 'District heating_s');('Biomasse_heat_s', 'District heating_s');('District heating_s', 'Heat storage_s');('District heating_s', 'Heat_demand_total_s');('District heating_s', 'excess_b_distheat_s');('Electric boiler_s', 'District heating_s');('GuD_s', 'District heating_s');('Heat storage_s', 'District heating_s');('Heatpump_air_s', 'District heating_s');('Heatpump_water_s', 'District heating_s');('ST_s', 'District heating_s')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-04 23:00:00;0,0;0,0;0,0;96,22;0,0;0,0;64,2;32,01;0,0;0,0;0,0
2030-01-05 00:00:00;0,0;0,0;0,0;95,04;0,0;0,0;64,2;30,84;0,0;0,0;0,0
2030-01-05 01:00:00;0,0;0,0;0,0;93,47;0,0;0,0;64,2;29,27;0,0;0,0;0,0
2030-01-05 02:00:00;0,0;0,0;0,0;91,76;0,0;0,0;64,2;27,56;0,0;0,0;0,0
2030-01-05 03:00:00;0,0;0,0;0,0;90,65;0,0;0,0;64,2;26,45;0,0;0,0;0,0
2030-01-05 04:00:00;0,0;0,0;0,0;89,29;0,0;0,0;64,2;25,09;0,0;0,0;0,0
2030-01-05 05:00:00;0,0;0,0;0,0;88,13;0,0;0,0;64,2;23,93;0,0;0,0;0,0
2030-01-05 06:00:00;0,0;0,0;0,0;86,98;0,0;0,0;64,2;22,78;0,0;0,0;0,0
2030-01-05 07:00:00;0,0;0,0;0,0;85,82;0,0;0,0;64,2;21,62;0,0;0,0;0,0
2030-01-05 08:00:00;0,0;0,0;0,0;84,9;0,0;0,0;64,2;20,7;0,0;0,0;0,0
2030-01-05 09:00:00;0,0;0,0;0,0;83,05;0,0;0,0;64,2;18,85;0,0;0,0;0,0
2030-01-05 10:00:00;0,0;0,0;0,0;80,15;0,0;0,0;64,2;15,95;0,0;0,0;0,0
2030-01-05 11:00:00;0,0;0,0;0,0;75,88;0,0;0,0;64,2;11,68;0,0;0,0;0,0
2030-01-05 12:00:00;0,0;0,0;0,0;72,5;0,0;0,0;64,2;8,3;0,0;0,0;0,0
2030-01-05 13:00:00;0,0;0,0;0,0;69,23;0,0;0,0;64,2;5,02;0,0;0,0;0,0
2030-01-05 14:00:00;0,0;0,0;0,0;67,87;0,0;0,0;64,2;3,67;0,0;0,0;0,0
2030-01-05 15:00:00;0,0;0,0;0,0;67,35;0,0;0,0;64,2;3,15;0,0;0,0;0,0
2030-01-05 16:00:00;0,0;0,0;0,0;68,83;0,0;0,0;64,2;4,63;0,0;0,0;0,0
2030-01-05 17:00:00;0,0;0,0;0,0;67,81;0,0;0,0;64,2;3,61;0,0;0,0;0,0
2030-01-05 18:00:00;0,0;0,0;0,0;67,0;0,0;0,0;64,2;2,8;0,0;0,0;0,0
2030-01-05 19:00:00;0,0;0,0;0,0;66,44;0,0;0,0;64,2;2,24;0,0;0,0;0,0
2030-01-05 20:00:00;0,0;0,0;0,0;65,67;0,0;0,0;64,2;1,47;0,0;0,0;0,0
2030-01-05 21:00:00;0,0;0,0;0,0;64,91;0,0;0,0;64,2;0,71;0,0;0,0;0,0
2030-01-05 22:00:00;0,0;0,0;0,06;64,14;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-05 23:00:00;0,0;0,0;0,6;63,6;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 00:00:00;0,0;0,0;0,38;63,82;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 01:00:00;0,0;0,0;0,0;64,38;0,0;0,0;64,2;0,18;0,0;0,0;0,0
2030-01-06 02:00:00;0,0;0,0;0,0;64,82;0,0;0,0;64,2;0,61;0,0;0,0;0,0
2030-01-06 03:00:00;0,0;0,0;0,0;65,32;0,0;0,0;64,2;1,12;0,0;0,0;0,0
2030-01-06 04:00:00;0,0;0,0;0,0;65,63;0,0;0,0;64,2;1,43;0,0;0,0;0,0
2030-01-06 05:00:00;0,0;0,0;0,0;65,96;0,0;0,0;64,2;1,76;0,0;0,0;0,0
2030-01-06 06:00:00;0,0;0,0;0,0;66,3;0,0;0,0;64,2;2,1;0,0;0,0;0,0
2030-01-06 07:00:00;0,0;0,0;0,0;66,41;0,0;0,0;64,2;2,21;0,0;0,0;0,0
2030-01-06 08:00:00;0,0;0,0;0,0;66,02;0,0;0,0;64,2;1,82;0,0;0,0;0,0
2030-01-06 09:00:00;0,0;0,0;3,52;60,68;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 10:00:00;0,0;0,0;8,91;55,29;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 11:00:00;0,0;0,0;14,36;49,85;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 12:00:00;0,0;0,0;18,57;45,63;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 13:00:00;0,0;0,0;21,42;42,78;0,0;0,0;64,2;0,0;0,0;0,0;0,0
