;('Biogas_feedin_existing_e', 'Gas_e');('Biogas_feedin_new_e', 'Gas_e');('Gas_e', 'Gas_demand_total_e');('Gas_e', 'Gas_storage_e');('Gas_e', 'GuD_e');('Gas_e', 'Material_demand_Gas_e');('Gas_e', 'excess_b_gas_e');('Gas_storage_e', 'Gas_e');('Hydrogen_feedin_e', 'Gas_e');('Import_Gas_e', 'Gas_e');('Methanisation_e', 'Gas_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-04 06:00:00;419,76;0,0;701,25;0,0;219,89;0,37;0,0;0,0;0,0;501,76;0,0
2030-01-04 07:00:00;419,76;0,0;749,66;0,0;219,89;0,37;0,0;0,0;0,0;550,16;0,0
2030-01-04 08:00:00;419,76;0,0;763,77;0,0;219,89;0,37;0,0;0,0;0,0;564,27;0,0
2030-01-04 09:00:00;419,76;0,0;763,71;0,0;219,89;0,37;0,0;0,0;0,0;564,21;0,0
2030-01-04 10:00:00;419,76;0,0;748,55;0,0;219,89;0,37;0,0;0,0;0,0;549,06;0,0
2030-01-04 11:00:00;419,76;0,0;724,64;0,0;219,89;0,37;0,0;0,0;0,0;525,14;0,0
2030-01-04 12:00:00;419,76;0,0;703,89;0,0;219,89;0,37;0,0;504,39;0,0;0,0;0,0
2030-01-04 13:00:00;419,76;0,0;692,83;0,0;219,89;0,37;0,0;0,0;0,0;493,34;0,0
2030-01-04 14:00:00;419,76;0,0;697,26;0,0;219,89;0,37;0,0;0,0;0,0;497,76;0,0
2030-01-04 15:00:00;419,76;0,0;684,13;0,0;219,89;0,37;0,0;0,0;0,0;484,63;0,0
2030-01-04 16:00:00;419,76;0,0;666,88;0,0;219,89;0,37;0,0;0,0;0,0;467,39;0,0
2030-01-04 17:00:00;419,76;0,0;648,63;0,0;219,89;0,37;0,0;0,0;0,0;449,13;0,0
2030-01-04 18:00:00;419,76;0,0;628,88;0,0;219,89;0,37;0,0;0,0;0,0;429,39;0,0
2030-01-04 19:00:00;419,76;0,0;599,75;0,0;219,89;0,37;0,0;0,0;0,0;400,25;0,0
2030-01-04 20:00:00;419,76;0,0;576,58;0,0;219,89;0,37;0,0;377,09;0,0;0,0;0,0
2030-01-04 21:00:00;419,76;0,0;562,28;0,0;219,89;0,37;0,0;0,0;0,0;362,79;0,0
2030-01-04 22:00:00;419,76;0,0;548,37;0,0;219,89;0,37;0,0;0,0;0,0;348,88;0,0
2030-01-04 23:00:00;419,76;0,0;554,49;0,0;219,89;0,37;0,0;0,0;0,0;355,0;0,0
2030-01-05 00:00:00;419,76;0,0;573,03;0,0;219,89;0,37;0,0;0,0;0,0;373,54;0,0
2030-01-05 01:00:00;419,76;0,0;580,29;0,0;219,89;0,37;0,0;0,0;0,0;380,8;0,0
2030-01-05 02:00:00;419,76;0,0;594,5;0,0;219,89;0,37;0,0;0,0;0,0;395,0;0,0
2030-01-05 03:00:00;419,76;0,0;610,68;0,0;219,89;0,37;0,0;0,0;0,0;411,18;0,0
2030-01-05 04:00:00;419,76;0,0;647,89;0,0;219,89;0,37;0,0;0,0;0,0;448,39;0,0
2030-01-05 05:00:00;419,76;0,0;708,85;0,0;219,89;0,37;0,0;0,0;0,0;509,36;0,0
2030-01-05 06:00:00;419,76;0,0;801,05;0,0;219,89;0,37;0,0;0,0;0,0;601,56;0,0
2030-01-05 07:00:00;419,76;0,0;853,15;0,0;219,89;0,37;0,0;0,0;0,0;653,65;0,0
2030-01-05 08:00:00;419,76;0,0;862,39;0,0;219,89;0,37;0,0;0,0;0,0;662,9;0,0
2030-01-05 09:00:00;419,76;0,0;852,13;0,0;219,89;0,37;0,0;0,0;0,0;652,64;0,0
2030-01-05 10:00:00;419,76;0,0;819,41;0,0;219,89;0,37;0,0;619,92;0,0;0,0;0,0
2030-01-05 11:00:00;419,76;0,0;806,46;0,0;219,89;0,37;0,0;0,0;0,0;606,96;0,0
2030-01-05 12:00:00;419,76;0,0;794,38;0,0;219,89;0,37;0,0;0,0;0,0;594,89;0,0
2030-01-05 13:00:00;419,76;0,0;778,86;0,0;219,89;0,37;0,0;0,0;0,0;579,37;0,0
2030-01-05 14:00:00;419,76;0,0;773,18;0,0;219,89;0,37;0,0;0,0;0,0;573,69;0,0
2030-01-05 15:00:00;419,76;0,0;756,19;0,0;219,89;0,37;0,0;0,0;0,0;556,7;0,0
2030-01-05 16:00:00;419,76;0,0;747,69;0,0;219,89;0,37;0,0;0,0;0,0;548,2;0,0
2030-01-05 17:00:00;419,76;0,0;733,73;0,0;219,89;0,37;0,0;0,0;0,0;534,23;0,0
2030-01-05 18:00:00;419,76;0,0;710,94;0,0;219,89;0,37;0,0;0,0;0,0;511,44;0,0
2030-01-05 19:00:00;419,76;0,0;682,68;0,0;219,89;0,37;0,0;0,0;0,0;483,19;0,0
2030-01-05 20:00:00;419,76;0,0;659,17;0,0;219,89;0,37;0,0;0,0;0,0;459,67;0,0
2030-01-05 21:00:00;419,76;0,0;648,39;0,0;219,89;0,37;0,0;448,89;0,0;0,0;0,0
2030-01-05 22:00:00;419,76;0,0;637,08;0,0;219,89;0,37;0,0;0,0;0,0;437,59;0,0
2030-01-05 23:00:00;419,76;0,0;644,64;0,0;219,89;0,37;0,0;0,0;0,0;445,15;0,0
2030-01-06 00:00:00;419,76;0,0;642,46;0,0;219,89;0,37;0,0;0,0;0,0;442,96;0,0
2030-01-06 01:00:00;419,76;0,0;636,81;0,0;219,89;0,37;0,0;0,0;0,0;437,32;0,0
2030-01-06 02:00:00;419,76;0,0;639,16;0,0;219,89;0,37;0,0;0,0;0,0;439,66;0,0
2030-01-06 03:00:00;419,76;0,0;645,16;0,0;219,89;0,37;0,0;0,0;0,0;445,66;0,0
2030-01-06 04:00:00;419,76;0,0;673,03;0,0;219,89;0,37;0,0;0,0;0,0;473,54;0,0
2030-01-06 05:00:00;419,76;0,0;724,89;0,0;219,89;0,37;0,0;0,0;0,0;525,39;0,0
2030-01-06 06:00:00;419,76;0,0;809,62;0,0;219,89;0,37;0,0;0,0;0,0;610,12;0,0
2030-01-06 07:00:00;419,76;0,0;855,33;0,0;219,89;0,37;0,0;0,0;0,0;655,83;0,0
2030-01-06 08:00:00;419,76;0,0;857,71;0,0;219,89;0,37;0,0;0,0;0,0;658,22;0,0
2030-01-06 09:00:00;419,76;0,0;837,09;0,0;219,89;0,37;0,0;0,0;0,0;637,6;0,0
2030-01-06 10:00:00;419,76;0,0;824,49;0,0;219,89;0,37;0,0;0,0;0,0;625,0;0,0
2030-01-06 11:00:00;419,76;0,0;802,73;0,0;219,89;0,37;0,0;0,0;0,0;603,24;0,0
2030-01-06 12:00:00;419,76;0,0;763,62;0,0;219,89;0,37;0,0;564,12;0,0;0,0;0,0
2030-01-06 13:00:00;419,76;0,0;732,33;0,0;219,89;0,37;0,0;0,0;0,0;532,83;0,0
2030-01-06 14:00:00;419,76;0,0;721,61;0,0;219,89;0,37;0,0;0,0;0,0;522,11;0,0
2030-01-06 15:00:00;419,76;0,0;698,29;0,0;219,89;0,37;0,0;0,0;0,0;498,8;0,0
2030-01-06 16:00:00;419,76;0,0;689,16;0,0;219,89;0,37;0,0;0,0;0,0;489,67;0,0
2030-01-06 17:00:00;419,76;0,0;672,88;0,0;219,89;0,37;0,0;0,0;0,0;473,39;0,0
2030-01-06 18:00:00;419,76;0,0;648,06;0,0;219,89;0,37;0,0;0,0;0,0;448,57;0,0
2030-01-06 19:00:00;419,76;0,0;617,94;0,0;219,89;0,37;0,0;0,0;0,0;418,44;0,0
2030-01-06 20:00:00;419,76;0,0;591,59;0,0;219,89;0,37;0,0;0,0;0,0;392,1;0,0
2030-01-06 21:00:00;419,76;0,0;579,62;0,0;219,89;0,37;0,0;380,13;0,0;0,0;0,0
2030-01-06 22:00:00;419,76;0,0;567,44;0,0;219,89;0,37;0,0;0,0;0,0;367,94;0,0
2030-01-06 23:00:00;419,76;0,0;574,34;0,0;219,89;0,37;0,0;0,0;0,0;374,84;0,0
2030-01-07 00:00:00;419,76;0,0;574,23;0,0;219,89;0,37;0,0;0,0;0,0;374,73;0,0
2030-01-07 01:00:00;419,76;0,0;577,55;0,0;219,89;0,37;0,0;0,0;0,0;378,05;0,0
2030-01-07 02:00:00;419,76;0,0;588,63;0,0;219,89;0,37;0,0;0,0;0,0;389,14;0,0
2030-01-07 03:00:00;419,76;0,0;601,52;0,0;219,89;0,37;0,0;0,0;0,0;402,02;0,0
2030-01-07 04:00:00;419,76;0,0;635,28;0,0;219,89;0,37;0,0;0,0;0,0;435,79;0,0
2030-01-07 05:00:00;419,76;0,0;693,95;0,0;219,89;0,37;0,0;0,0;0,0;494,45;0,0
2030-01-07 06:00:00;419,76;0,0;782,69;0,0;219,89;0,37;0,0;0,0;0,0;583,19;0,0
2030-01-07 07:00:00;419,76;0,0;835,73;0,0;219,89;0,37;0,0;0,0;0,0;636,23;0,0
2030-01-07 08:00:00;419,76;0,0;845,87;0,0;219,89;0,37;0,0;0,0;0,0;646,37;0,0
2030-01-07 09:00:00;419,76;0,0;835,76;0,0;219,89;0,37;0,0;0,0;0,0;636,26;0,0
2030-01-07 10:00:00;419,76;0,0;808,01;0,0;219,89;0,37;0,0;0,0;0,0;608,51;0,0
2030-01-07 11:00:00;419,76;0,0;779,11;0,0;219,89;0,37;0,0;0,0;0,0;579,61;0,0
2030-01-07 12:00:00;419,76;0,0;740,65;0,0;219,89;0,37;0,0;541,15;0,0;0,0;0,0
2030-01-07 13:00:00;419,76;0,0;711,17;0,0;219,89;0,37;0,0;0,0;0,0;511,67;0,0
2030-01-07 14:00:00;419,76;0,0;711,91;0,0;219,89;0,37;0,0;0,0;0,0;512,41;0,0
2030-01-07 15:00:00;419,76;0,0;691,8;0,0;219,89;0,37;0,0;0,0;0,0;492,3;0,0
2030-01-07 16:00:00;419,76;0,0;676,36;0,0;219,89;0,37;0,0;0,0;0,0;476,87;0,0
2030-01-07 17:00:00;419,76;0,0;661,56;0,0;219,89;0,37;0,0;0,0;0,0;462,07;0,0
2030-01-07 18:00:00;419,76;0,0;641,55;0,0;219,89;0,37;0,0;0,0;0,0;442,06;0,0
2030-01-07 19:00:00;419,76;0,0;615,46;0,0;219,89;0,37;0,0;0,0;0,0;415,96;0,0
2030-01-07 20:00:00;419,76;0,0;595,71;0,0;219,89;0,37;0,0;0,0;0,0;396,21;0,0
2030-01-07 21:00:00;419,76;0,0;587,91;0,0;219,89;0,37;0,0;388,42;0,0;0,0;0,0
2030-01-07 22:00:00;419,76;0,0;579,8;0,0;219,89;0,37;0,0;0,0;0,0;380,31;0,0
2030-01-07 23:00:00;419,76;0,0;591,97;0,0;219,89;0,37;0,0;0,0;0,0;392,48;0,0
2030-01-08 00:00:00;419,76;0,0;547,29;0,0;219,89;0,37;0,0;0,0;0,0;347,79;0,0
2030-01-08 01:00:00;419,76;0,0;558,59;0,0;219,89;0,37;0,0;0,0;0,0;359,09;0,0
2030-01-08 02:00:00;419,76;0,0;569,06;0,0;219,89;0,37;0,0;0,0;0,0;369,57;0,0
2030-01-08 03:00:00;419,76;0,0;570,43;0,0;219,89;0,37;0,0;0,0;0,0;370,93;0,0
2030-01-08 04:00:00;419,76;0,0;585,99;0,0;219,89;0,37;0,0;0,0;0,0;386,5;0,0
2030-01-08 05:00:00;419,76;0,0;590,89;0,0;219,89;0,37;0,0;0,0;0,0;391,39;0,0
2030-01-08 06:00:00;419,76;0,0;658,57;0,0;219,89;0,37;0,0;0,0;0,0;459,07;0,0
2030-01-08 07:00:00;419,76;0,0;702,79;0,0;219,89;0,37;0,0;0,0;0,0;503,29;0,0
2030-01-08 08:00:00;419,76;0,0;703,43;0,0;219,89;0,37;0,0;0,0;0,0;503,93;0,0
2030-01-08 09:00:00;419,76;0,0;703,27;0,0;219,89;0,37;0,0;0,0;0,0;503,78;0,0
2030-01-08 10:00:00;419,76;0,0;712,04;0,0;219,89;0,37;0,0;512,54;0,0;0,0;0,0
2030-01-08 11:00:00;419,76;0,0;696,04;0,0;219,89;0,37;0,0;0,0;0,0;496,54;0,0
2030-01-08 12:00:00;419,76;0,0;672,22;0,0;219,89;0,37;0,0;0,0;0,0;472,73;0,0
2030-01-08 13:00:00;419,76;0,0;665,84;0,0;219,89;0,37;0,0;0,0;0,0;466,34;0,0
2030-01-08 14:00:00;419,76;0,0;654,7;0,0;219,89;0,37;0,0;0,0;0,0;455,21;0,0
2030-01-08 15:00:00;419,76;0,0;620,11;0,0;219,89;0,37;0,0;0,0;0,0;420,61;0,0
2030-01-08 16:00:00;419,76;0,0;612,28;0,0;219,89;0,37;0,0;0,0;0,0;412,78;0,0
2030-01-08 17:00:00;419,76;0,0;593,57;0,0;219,89;0,37;0,0;0,0;0,0;394,07;0,0
2030-01-08 18:00:00;419,76;0,0;573,19;0,0;219,89;0,37;0,0;0,0;0,0;373,69;0,0
2030-01-08 19:00:00;419,76;0,0;575,0;0,0;219,89;0,37;0,0;0,0;0,0;375,51;0,0
2030-01-08 20:00:00;419,76;0,0;580,82;0,0;219,89;0,37;0,0;381,33;0,0;0,0;0,0
2030-01-08 21:00:00;419,76;0,0;584,55;0,0;219,89;0,37;0,0;0,0;0,0;385,05;0,0
2030-01-08 22:00:00;419,76;0,0;572,06;0,0;219,89;0,37;0,0;0,0;0,0;372,56;0,0
2030-01-08 23:00:00;419,76;0,0;587,5;0,0;219,89;0,37;0,0;0,0;0,0;388,01;0,0
2030-01-09 00:00:00;419,76;0,0;620,27;0,0;219,89;0,37;0,0;0,0;0,0;420,78;0,0
