;('Import_Oil_n', 'Oil_fuel_n');('Import_Synthetic_fuel_n', 'Oil_fuel_n');('Oil_fuel_n', 'Material_demand_Oil_n');('Oil_fuel_n', 'Mobility_demand_total_n');('Oil_fuel_n', 'Oil_demand_total_n');('Oil_fuel_n', 'excess_b_oil_fuel_n');('PtL_n', 'Oil_fuel_n')
;flow;flow;flow;flow;flow;flow;flow
2030-01-05 02:00:00;344,46;0,0;15,8;265,84;62,82;0,0;0,0
2030-01-05 03:00:00;343,66;0,0;15,8;265,84;62,01;0,0;0,0
2030-01-05 04:00:00;342,85;0,0;15,8;265,84;61,2;0,0;0,0
2030-01-05 05:00:00;341,86;0,0;15,8;265,84;60,22;0,0;0,0
2030-01-05 06:00:00;341,19;0,0;15,8;265,84;59,55;0,0;0,0
2030-01-05 07:00:00;340,38;0,0;15,8;265,84;58,74;0,0;0,0
2030-01-05 08:00:00;339,9;0,0;15,8;265,84;58,26;0,0;0,0
2030-01-05 09:00:00;338,27;0,0;15,8;265,84;56,63;0,0;0,0
2030-01-05 10:00:00;336,35;0,0;15,8;265,84;54,71;0,0;0,0
2030-01-05 11:00:00;333,47;0,0;15,8;265,84;51,83;0,0;0,0
2030-01-05 12:00:00;330,91;0,0;15,8;265,84;49,27;0,0;0,0
2030-01-05 13:00:00;328,92;0,0;15,8;265,84;47,28;0,0;0,0
2030-01-05 14:00:00;328,0;0,0;15,8;265,84;46,35;0,0;0,0
2030-01-05 15:00:00;327,85;0,0;15,8;265,84;46,2;0,0;0,0
2030-01-05 16:00:00;328,6;0,0;15,8;265,84;46,96;0,0;0,0
2030-01-05 17:00:00;328,04;0,0;15,8;265,84;46,4;0,0;0,0
2030-01-05 18:00:00;327,48;0,0;15,8;265,84;45,84;0,0;0,0
2030-01-05 19:00:00;326,92;0,0;15,8;265,84;45,28;0,0;0,0
2030-01-05 20:00:00;326,36;0,0;15,8;265,84;44,72;0,0;0,0
2030-01-05 21:00:00;325,81;0,0;15,8;265,84;44,16;0,0;0,0
2030-01-05 22:00:00;325,25;0,0;15,8;265,84;43,61;0,0;0,0
2030-01-05 23:00:00;324,69;0,0;15,8;265,84;43,05;0,0;0,0
2030-01-06 00:00:00;324,82;0,0;15,8;265,84;43,18;0,0;0,0
2030-01-06 01:00:00;325,2;0,0;15,8;265,84;43,56;0,0;0,0
