;('Biogas_m', 'District heating_m');('Biomasse_heat_m', 'District heating_m');('District heating_m', 'Heat storage_m');('District heating_m', 'Heat_demand_total_m');('District heating_m', 'excess_b_distheat_m');('Electric boiler_m', 'District heating_m');('GuD_m', 'District heating_m');('Heat storage_m', 'District heating_m');('Heatpump_air_m', 'District heating_m');('Heatpump_water_m', 'District heating_m');('ST_m', 'District heating_m')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-04 04:00:00;0,0;0,0;21,14;72,11;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 05:00:00;0,0;0,0;20,49;72,76;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 06:00:00;0,0;0,0;19,85;73,4;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 07:00:00;0,0;0,0;18,63;74,62;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 08:00:00;0,0;0,0;17,48;75,77;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 09:00:00;0,0;0,0;16,22;77,04;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 10:00:00;0,0;0,0;17,67;75,59;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 11:00:00;0,0;0,0;21,41;71,84;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 12:00:00;0,0;0,0;23,69;69,56;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 13:00:00;0,0;0,0;23,02;70,23;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 14:00:00;0,0;0,0;20,95;72,31;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 15:00:00;0,0;0,0;20,21;73,05;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 16:00:00;0,0;0,0;22,57;70,68;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 17:00:00;0,0;0,0;22,61;70,65;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 18:00:00;0,0;0,0;21,99;71,26;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 19:00:00;0,0;0,0;21,27;71,99;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 20:00:00;0,0;0,0;20,46;72,8;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 21:00:00;0,0;0,0;19,58;73,68;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 22:00:00;0,0;0,0;18,28;74,98;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-04 23:00:00;0,0;0,0;17,61;75,64;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 00:00:00;0,0;0,0;16,24;77,02;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 01:00:00;0,0;0,0;15,87;77,39;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 02:00:00;0,0;0,0;14,85;78,4;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 03:00:00;0,0;0,0;14,16;79,09;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 04:00:00;0,0;0,0;13,49;79,76;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 05:00:00;0,0;0,0;13,2;80,05;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 06:00:00;0,0;0,0;12,61;80,65;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 07:00:00;0,0;0,0;12,37;80,88;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 08:00:00;0,0;0,0;12,54;80,71;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 09:00:00;0,0;0,0;15,76;77,49;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 10:00:00;0,0;0,0;18,56;74,69;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 11:00:00;0,0;0,0;20,91;72,34;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 12:00:00;0,0;0,0;22,66;70,59;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 13:00:00;0,0;0,0;23,7;69,56;0,0;0,0;93,25;0,0;0,0;0,0;0,0
