,"(('Biogaseinspeisung_Bestandsanlagen', 'Gas'), 'flow')","(('Biogaseinspeisung_Neuanlagen', 'Gas'), 'flow')","(('Erdgasspeicher', 'Gas'), 'flow')","(('Gas', 'Erdgasspeicher'), 'flow')","(('Gas', 'GuD'), 'flow')","(('Gas', 'Last_Gas_ges'), 'flow')","(('Gas', 'Materialbedarf_Gas'), 'flow')","(('Gas', 'excess_b_gas2'), 'flow')","(('Import_Gas', 'Gas'), 'flow')","(('Methanisierung', 'Gas'), 'flow')","(('Wasserstoffeinspeisung', 'Gas'), 'flow')"
2030-01-03 06:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2529,3629903712","3,170979198376459","0,0","3107,836434739098","0,0","0,0"
2030-01-03 07:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2635,363064111675","3,170979198376459","0,0","3213,8365084795732","0,0","0,0"
2030-01-03 08:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2674,7824160897617","3,170979198376459","0,0","3253,2558604576598","0,0","0,0"
2030-01-03 09:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2648,1264160326273","3,170979198376459","0,0","3226,5998604005254","0,0","0,0"
2030-01-03 10:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2573,1417962105324","3,170979198376459","0,0","3151,6152405784305","0,0","0,0"
2030-01-03 11:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2519,4746760470107","3,170979198376459","0,0","3097,9481204149088","0,0","0,0"
2030-01-03 12:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2453,1067923058827","3,170979198376459","0,0","3031,5802366737807","0,0","0,0"
2030-01-03 13:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2362,9661386227026","3,170979198376459","0,0","2941,4395829906007","0,0","0,0"
2030-01-03 14:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2364,8363555297983","3,170979198376459","0,0","2943,3097998976964","0,0","0,0"
2030-01-03 15:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2305,570297773774","3,170979198376459","0,0","2884,043742141672","0,0","0,0"
2030-01-03 16:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2285,726320595272","3,170979198376459","0,0","2864,1997649631703","0,0","0,0"
2030-01-03 17:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2268,418440851824","3,170979198376459","0,0","2846,891885219722","0,0","0,0"
2030-01-03 18:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2197,6186511872934","3,170979198376459","0,0","2776,092095555191","0,0","0,0"
2030-01-03 19:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2080,5954582692984","3,170979198376459","0,0","2659,0689026371965","0,0","0,0"
2030-01-03 20:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1950,2885180669878","3,170979198376459","0,0","2528,761962434886","0,0","0,0"
2030-01-03 21:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1818,1839420563192","3,170979198376459","0,0","2396,6573864242173","0,0","0,0"
2030-01-03 22:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1669,5888893497156","3,170979198376459","0,0","2248,062333717614","0,0","0,0"
2030-01-03 23:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1457,5989871878605","3,170979198376459","0,0","2036,0724315557586","0,0","0,0"
2030-01-04 00:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1569,1853073904153","3,170979198376459","0,0","2147,6587517583134","0,0","0,0"
2030-01-04 01:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1552,0510653194397","3,170979198376459","0,0","2130,5245096873377","0,0","0,0"
2030-01-04 02:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1570,3240374822735","3,170979198376459","0,0","2148,7974818501716","0,0","0,0"
2030-01-04 03:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1628,0298659360592","3,170979198376459","0,0","2206,5033103039573","0,0","0,0"
2030-01-04 04:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1839,6120226027258","3,170979198376459","0,0","2418,085466970624","0,0","0,0"
2030-01-04 05:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2460,5031170081293","3,170979198376459","0,0","3038,9765613760273","0,0","0,0"
2030-01-04 06:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2676,2392726725475","3,170979198376459","0,0","3254,7127170404456","0,0","0,0"
2030-01-04 07:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2665,4899017835073","3,170979198376459","0,0","3243,963346151405","0,0","0,0"
2030-01-04 08:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2718,510423363448","3,170979198376459","0,0","3296,9838677313455","0,0","0,0"
2030-01-04 09:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2691,0374026742656","3,170979198376459","0,0","3269,5108470421637","0,0","0,0"
2030-01-04 10:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2621,324561469938","3,170979198376459","0,0","3199,798005837836","0,0","0,0"
2030-01-04 11:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2625,5799213161317","3,170979198376459","0,0","3204,05336568403","0,0","0,0"
2030-01-04 12:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2548,584150600257","3,170979198376459","0,0","3127,057594968155","0,0","0,0"
2030-01-04 13:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2444,845115745681","3,170979198376459","0,0","3023,318560113579","0,0","0,0"
2030-01-04 14:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2425,6511531200786","3,170979198376459","0,0","3004,1245974879766","0,0","0,0"
2030-01-04 15:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2399,3099101988623","3,170979198376459","0,0","2977,78335456676","0,0","0,0"
2030-01-04 16:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2342,068261525711","3,170979198376459","0,0","2920,541705893609","0,0","0,0"
2030-01-04 17:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2351,314310899703","3,170979198376459","0,0","2929,787755267601","0,0","0,0"
2030-01-04 18:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2290,0539625063147","3,170979198376459","0,0","2868,527406874213","0,0","0,0"
2030-01-04 19:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2220,383070250494","3,170979198376459","0,0","2798,856514618392","0,0","0,0"
2030-01-04 20:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2101,129010503813","3,170979198376459","0,0","2679,6024548717105","0,0","0,0"
