MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Straße;Hausnummer;Gemarkung;Flurstück;Gemeindeschlüssel;Koordinate: Breitengrad (WGS84);Koordinate: Längengrad (WGS84);Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Name des Windparks;Nabenhöhe der Windenergieanlage;Rotordurchmesser der Windenergieanlage;Hersteller der Windenergieanlage;Typenbezeichnung;Hauptbrennstoff der Einheit;Nutzbare Speicherkapazität in kWh;Technologie der Stromerzeugung;Lage der Einheit;Letzte Aktualisierung;Datum der endgültigen Stilllegung;Datum der geplanten Inbetriebnahme;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Volleinspeisung oder Teileinspeisung;MaStR-Nr. der Genehmigung;Name des Anschluss-Netzbetreibers;MaStR-Nr. des Anschluss-Netzbetreibers;Netzbetreiberprüfung;Spannungsebene;MaStR-Nr. der Lokation;MaStR-Nr. der EEG-Anlage;EEG-Anlagenschlüssel;Inbetriebnahmedatum der EEG-Anlage;Installierte Leistung der EEG-Anlage;Zuschlagnummer (EEG/KWK-Ausschreibung);MaStR-Nr. der KWK-Anlage;Inbetriebnahmedatum der KWK-Anlage;Elektrische KWK-Leistung;Thermische Nutzleistung in kW
SEE993269585381;Balkonkraftwerk Schmiedehof 121 Westhausen;In Betrieb;Solare Strahlungsenergie;0,6;0,6;23.05.2022;10.07.2022;Thüringen;37308;Bodenrode-Westhausen;;;;;16061012;;;2;West;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);10.07.2022;;;natürliche Person (ABR993172398825);ABR993172398825;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL952424706375;EEG987041172210;;23.05.2022;0,6;;;;;
SEE959323969603;Balkonkraftwerk Hauswand;In Betrieb;Solare Strahlungsenergie;0,68;0,6;21.06.2022;18.07.2022;Thüringen;7570;Weida;;;;;16076079;;;2;Süd-West;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);18.07.2022;;;natürliche Person (ABR983007330472);ABR983007330472;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL967586735668;EEG966294307372;;21.06.2022;0,6;;;;;
SEE929450475797;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;04.07.2022;13.07.2022;Thüringen;37359;Großbartloff;;;;;16061041;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);13.07.2022;;;natürliche Person (ABR960409645946);ABR960409645946;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL934101309949;EEG941777744073;;04.07.2022;0,6;;;;;
SEE989972607960;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,31;0,31;01.06.2022;14.07.2022;Thüringen;99096;Erfurt;;;;;16051000;;;1;Nord-Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);16.08.2022;;;natürliche Person (ABR936222278098);ABR936222278098;Teileinspeisung (einschließlich Eigenverbrauch);;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL972114848116;EEG956283500037;;01.06.2022;0,31;;;;;
SEE986361033065;Balkonkraftwerk 600W;In Betrieb;Solare Strahlungsenergie;0,7;0,6;17.07.2022;17.07.2022;Thüringen;99610;Sömmerda;;;;;16068051;;;2;Süd-Ost;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);17.07.2022;;;natürliche Person (ABR931350825015);ABR931350825015;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL940050541729;EEG926168656388;;17.07.2022;0,7;;;;;
SEE905028519919;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,8;0,6;04.08.2022;04.08.2022;Thüringen;7646;Schlöben;;;;;16074085;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);04.08.2022;;;natürliche Person (ABR921162618776);ABR921162618776;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL930828266398;EEG904010228563;;04.08.2022;0,8;;;;;
SEE990805023574;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,74;0,6;12.07.2022;16.07.2022;Thüringen;99423;Weimar;;;;;16055000;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);12.01.2023;;;natürliche Person (ABR983792833325);ABR983792833325;Teileinspeisung (einschließlich Eigenverbrauch);;ENWG Energienetze Weimar GmbH & Co. KG (SNB963792700889);SNB963792700889;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL917244895630;EEG976386719044;E4182101CS01511880000000000000001;12.07.2022;0,74;;;;;
SEE964709701739;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,66;0,6;16.07.2022;17.07.2022;Thüringen;7343;Wurzbach;;;;;16075133;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);17.07.2022;;;natürliche Person (ABR935075816921);ABR935075816921;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL925119051906;EEG983857982012;;16.07.2022;0,66;;;;;
SEE987734638863;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;10.10.2022;14.10.2022;Thüringen;99099;Erfurt;;;;Flur 41;16051000;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);14.10.2022;;;natürliche Person (ABR929766144264);ABR929766144264;Volleinspeisung;;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL949264175768;EEG937554449378;;10.10.2022;0,6;;;;;
SEE949057836043;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,606;0,6;16.07.2022;19.07.2022;Thüringen;96524;Föritztal;;;;;16072024;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);19.07.2022;;;natürliche Person (ABR947389982322);ABR947389982322;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL921475719771;EEG972638554968;;16.07.2022;0,606;;;;;
SEE905131249840;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,79;0,6;13.07.2022;19.07.2022;Thüringen;36456;Barchfeld-Immelborn;;;;;16063004;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);19.07.2022;;;natürliche Person (ABR960218034672);ABR960218034672;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL936899408514;EEG972337811027;;13.07.2022;0,79;;;;;
SEE920355051246;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;06.11.2021;19.07.2022;Thüringen;98630;Römhild;;;;;16069062;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);19.07.2022;;;natürliche Person (ABR937741308372);ABR937741308372;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL922126427731;EEG972520867916;;06.11.2021;0,6;;;;;
SEE942629822611;Balkonkraftwerk S1;In Betrieb;Solare Strahlungsenergie;0,74;0,6;18.07.2022;20.07.2022;Thüringen;99310;Arnstadt;;;;;16070004;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);02.08.2022;;;natürliche Person (ABR913950670929);ABR913950670929;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL929187617484;EEG963276002089;;18.07.2022;0,74;;;;;
SEE965822280149;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,79;0,6;28.07.2022;22.07.2022;Thüringen;99310;Arnstadt;;;;;16070004;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);09.02.2023;;;natürliche Person (ABR965718824549);ABR965718824549;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Arnstadt Netz GmbH & Co. KG (SNB985993443181);SNB985993443181;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL990233755825;EEG996925675778;E41718012960510100000000000000000;28.07.2022;0,79;;;;;
SEE945949726881;Balkonkraftwerk Priwatt;In Betrieb;Solare Strahlungsenergie;0,72;0,6;21.07.2022;22.07.2022;Thüringen;99310;Arnstadt;;;;;16070004;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);06.01.2023;;;natürliche Person (ABR913240125009);ABR913240125009;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Arnstadt Netz GmbH & Co. KG (SNB985993443181);SNB985993443181;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL977181643756;EEG934780870082;E41718012962110130000000000000000;21.07.2022;0,72;;;;;
SEE993629480806;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,68;0,6;29.06.2022;24.07.2022;Thüringen;4610;Meuselwitz;;;;;16077032;;;2;Süd-Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);20.01.2023;;;natürliche Person (ABR999810964674);ABR999810964674;Teileinspeisung (einschließlich Eigenverbrauch);;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);SNB916269213931;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL932222635527;EEG956297211080;E41081010000000000000000000462238;29.06.2022;0,68;;;;;
SEE997364283623;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;25.07.2022;25.07.2022;Thüringen;7586;Bad Köstritz;;;;;16076003;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);25.07.2022;;;natürliche Person (ABR952525263203);ABR952525263203;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL956058868164;EEG911613812839;;25.07.2022;0,6;;;;;
SEE903280793924;Balkonkraftwerk Jens;In Betrieb;Solare Strahlungsenergie;0,64;0,6;24.08.2022;25.08.2022;Thüringen;98701;Großbreitenbach;;;;;16070058;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);03.10.2022;;;natürliche Person (ABR904840987357);ABR904840987357;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL972542315006;EEG916472982389;;24.08.2022;0,64;;;;;
SEE926020644119;Balkonkraftwerk 1;In Planung;Solare Strahlungsenergie;1,6;1,5;;26.07.2022;Thüringen;99338;Plaue;;;;;16070043;;;4;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);26.07.2022;;01.08.2022;natürliche Person (ABR944668256662);ABR944668256662;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;;Niederspannung (= Hausanschluss/Haushaltsstrom);;;;;;;;;;
SEE971175986508;Balkonkraftwerk 2;In Planung;Solare Strahlungsenergie;1,6;1,5;;26.07.2022;Thüringen;99338;Plaue;;;;;16070043;;;4;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);26.07.2022;;01.08.2022;natürliche Person (ABR944668256662);ABR944668256662;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;;Niederspannung (= Hausanschluss/Haushaltsstrom);;;;;;;;;;
SEE988804767698;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;22.07.2022;28.07.2022;Thüringen;98587;Steinbach-Hallenberg;;;;;16066069;;;2;Ost-West;;;;;;;;;Bauliche Anlagen (Sonstige);28.07.2022;;;natürliche Person (ABR929904610866);ABR929904610866;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL913527998418;EEG990220942719;;22.07.2022;0,6;;;;;
SEE971376793974;Balkonkraftwerk 1;In Betrieb;Solare Strahlungsenergie;0,8;0,6;25.07.2022;28.07.2022;Thüringen;96523;Steinach;;;;;16072019;;;2;Süd-West;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);28.07.2022;;;natürliche Person (ABR969010128640);ABR969010128640;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL924579500603;EEG983098873469;;25.07.2022;0,8;;;;;
SEE922396769579;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,78;0,6;12.07.2022;31.07.2022;Thüringen;99867;Gotha;;;;;16067029;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);11.08.2022;;;natürliche Person (ABR935515701916);ABR935515701916;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Gotha Netz GmbH (SNB961316124487);SNB961316124487;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL955141113853;EEG961700896815;;12.07.2022;0,78;;;;;
SEE976541941648;Balkonkraftwerk Garten Eisenacher Straße;In Betrieb;Solare Strahlungsenergie;0,74;0,6;01.07.2022;01.08.2022;Thüringen;99947;Bad Langensalza;;;;;16064003;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);22.09.2022;;;natürliche Person (ABR981709669630);ABR981709669630;Teileinspeisung (einschließlich Eigenverbrauch);;NETZE Bad Langensalza GmbH (SNB939517994215);SNB939517994215;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL967867999857;EEG953286904282;E41872012310000000000010733400317;01.07.2022;0,74;;;;;
SEE956707786320;Balkonkraftwerk Halle;In Betrieb;Solare Strahlungsenergie;0,6;0,6;29.06.2021;01.08.2022;Thüringen;96528;Frankenblick;;;;;16072023;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);01.08.2022;;;Zimmermann Transportbeton GmbH;ABR915227521859;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL992093059587;EEG947035898298;;29.06.2021;0,6;;;;;
SEE916708340570;Balkonkraftwerk;In Planung;Solare Strahlungsenergie;1,5;1,5;;01.08.2022;Thüringen;7927;Hirschberg;;;;;16075046;;;4;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);01.08.2022;;02.08.2022;natürliche Person (ABR954874631504);ABR954874631504;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;;Niederspannung (= Hausanschluss/Haushaltsstrom);;;;;;;;;;
SEE981334281672;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;1,2;1;01.08.2022;03.08.2022;Thüringen;37345;Am Ohmberg;;;;;16061116;;;3;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);03.08.2022;;;natürliche Person (ABR925389063227);ABR925389063227;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL996630565128;EEG904875054628;;01.08.2022;1,2;;;;;
SEE962344987488;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,3;0,3;05.08.2022;05.08.2022;Thüringen;99084;Erfurt;;;;;16051000;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);05.08.2022;;;natürliche Person (ABR905995960271);ABR905995960271;Volleinspeisung;;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL966143293221;EEG921571407480;;05.08.2022;0,3;;;;;
SEE916924455263;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,75;0,6;15.08.2022;21.08.2022;Thüringen;99092;Erfurt;;;;;16051000;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);21.08.2022;;;natürliche Person (ABR984482383106);ABR984482383106;Teileinspeisung (einschließlich Eigenverbrauch);;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL983408409869;EEG947984178595;;15.08.2022;0,75;;;;;
SEE928868574177;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,4;0,36;05.08.2022;06.08.2022;Thüringen;98553;Schleusingen;;;;;16069043;;;1;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);06.08.2022;;;natürliche Person (ABR995061347907);ABR995061347907;;;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL968377197078;EEG927510161154;;05.08.2022;0,4;;;;;
SEE927525633882;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;1,54;0,6;09.08.2022;09.08.2022;Thüringen;4626;Schmölln;;;;;16077043;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);16.02.2023;;;natürliche Person (ABR951885594804);ABR951885594804;Teileinspeisung (einschließlich Eigenverbrauch);;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);SNB916269213931;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL992500345685;EEG978256133417;E41081010000000000000000000473788;09.08.2022;1,54;;;;;
SEE964691684942;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,75;0,6;21.07.2022;07.08.2022;Thüringen;99099;Erfurt;;;;;16051000;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);07.08.2022;;;natürliche Person (ABR973924063140);ABR973924063140;Teileinspeisung (einschließlich Eigenverbrauch);;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL970193156023;EEG980023576549;;21.07.2022;0,6;;;;;
SEE953575285290;Balkonkraftwerk Danz;In Betrieb;Solare Strahlungsenergie;0,78;0,6;01.08.2022;07.08.2022;Thüringen;36448;Bad Liebenstein;;;;;16063099;;;2;Süd-Ost;;;;;;;;;Freifläche;03.10.2022;;;natürliche Person (ABR961821055368);ABR961821055368;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL954297065443;EEG985848577221;;01.08.2022;0,78;;;;;
SEE962762673192;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;08.08.2022;08.08.2022;Thüringen;99425;Weimar;;;;;16055000;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);19.01.2023;;;natürliche Person (ABR964508524980);ABR964508524980;Teileinspeisung (einschließlich Eigenverbrauch);;ENWG Energienetze Weimar GmbH & Co. KG (SNB963792700889);SNB963792700889;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL955370135558;EEG998995175295;E4182101CS01473016000000000000001;08.08.2022;0,6;;;;;
SEE912309489472;Balkonkraftwerke;In Betrieb;Solare Strahlungsenergie;0,76;0,6;13.09.2022;16.09.2022;Thüringen;98630;Römhild;;;;;16069062;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);16.09.2022;;;natürliche Person (ABR944191131788);ABR944191131788;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL928154979440;EEG908731067487;;13.09.2022;0,76;;;;;
SEE971805886222;Privat Balkonkraftwerk;In Planung;Solare Strahlungsenergie;0,6;0,6;;09.08.2022;Thüringen;99734;Nordhausen;;;;;16062041;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);09.08.2022;;15.09.2022;natürliche Person (ABR941557141597);ABR941557141597;Teileinspeisung (einschließlich Eigenverbrauch);;Nordhausen Netz GmbH (SNB959176447266);SNB959176447266;;Niederspannung (= Hausanschluss/Haushaltsstrom);;;;;;;;;;
SEE951751780485;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,74;0,6;09.08.2022;10.08.2022;Thüringen;7570;Wünschendorf;;;;;16076084;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);25.09.2022;;;natürliche Person (ABR918683607723);ABR918683607723;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL993713725554;EEG987915328729;;09.08.2022;0,6;;;;;
SEE955789663475;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;30.08.2022;30.08.2022;Thüringen;98634;Wasungen;;;;;16066086;;;4;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);30.08.2022;;;natürliche Person (ABR983173847125);ABR983173847125;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL973667216186;EEG961317359147;;30.08.2022;0,6;;;;;
SEE936585186399;Balkonkraftwerk Dach;In Betrieb;Solare Strahlungsenergie;1,6;0,6;19.09.2022;13.08.2022;Thüringen;99817;Eisenach;;;;;16056000;;;4;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);29.11.2022;;;natürliche Person (ABR968716770023);ABR968716770023;Teileinspeisung (einschließlich Eigenverbrauch);;EVB Netze GmbH (SNB989700422711);SNB989700422711;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL924255040690;EEG962822766666;;19.09.2022;1,6;;;;;
SEE986234902047;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,74;0,6;01.08.2022;14.08.2022;Thüringen;99880;Mechterstädt;;;;;16067088;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);14.08.2022;;;natürliche Person (ABR947174885333);ABR947174885333;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL937664849143;EEG979824255982;;01.08.2022;0,74;;;;;
SEE962958707939;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;1,005;0,6;13.08.2022;14.08.2022;Thüringen;7366;Rosenthal;;;;;16075136;;;3;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);14.08.2022;;;natürliche Person (ABR979986068734);ABR979986068734;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL953885417510;EEG936413403995;;13.08.2022;1,005;;;;;
SEE969458812460;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,3;25.07.2022;10.09.2022;Thüringen;99880;Hörselgau;;;;;16067088;;;2;Süd-West;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);10.09.2022;;;natürliche Person (ABR919511847168);ABR919511847168;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL922334321982;EEG921571120013;;25.07.2022;0,6;;;;;
SEE924746764111;Balkonkraftwerk 400 W;In Betrieb;Solare Strahlungsenergie;0,4;0,4;14.08.2022;14.08.2022;Thüringen;99610;Sömmerda;;;;;16068051;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);14.08.2022;;;natürliche Person (ABR999686667785);ABR999686667785;Teileinspeisung (einschließlich Eigenverbrauch);;Sömmerdaer Energieversorgung GmbH (SNB932006596143);SNB932006596143;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL944856856704;EEG992585079055;;14.08.2022;0,4;;;;;
SEE971245149253;Balkonkraftwerk 600 W, Minisolar, Klimaworld Halbzellen Solar Modul mit Wielandstecker;In Betrieb;Solare Strahlungsenergie;0,6;0,6;01.08.2022;15.08.2022;Thüringen;98547;Christes;;;;;16066015;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);15.08.2022;;;natürliche Person (ABR941078414293);ABR941078414293;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Meiningen GmbH (SNB925883927308);SNB925883927308;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL971179927583;EEG915294598716;;01.08.2022;0,6;;;;;
SEE965453214766;Weineck Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;14.08.2022;15.08.2022;Thüringen;6578;Oldisleben;;;;;16065088;;;2;West;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);15.08.2022;;;natürliche Person (ABR968255427747);ABR968255427747;Teileinspeisung (einschließlich Eigenverbrauch);;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);SNB916269213931;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL993611712946;EEG915705143900;;14.08.2022;0,6;;;;;
