MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Straße;Hausnummer;Gemarkung;Flurstück;Gemeindeschlüssel;Koordinate: Breitengrad (WGS84);Koordinate: Längengrad (WGS84);Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Name des Windparks;Nabenhöhe der Windenergieanlage;Rotordurchmesser der Windenergieanlage;Hersteller der Windenergieanlage;Typenbezeichnung;Hauptbrennstoff der Einheit;Nutzbare Speicherkapazität in kWh;Technologie der Stromerzeugung;Lage der Einheit;Letzte Aktualisierung;Datum der endgültigen Stilllegung;Datum der geplanten Inbetriebnahme;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Volleinspeisung oder Teileinspeisung;MaStR-Nr. der Genehmigung;Name des Anschluss-Netzbetreibers;MaStR-Nr. des Anschluss-Netzbetreibers;Netzbetreiberprüfung;Spannungsebene;MaStR-Nr. der Lokation;MaStR-Nr. der EEG-Anlage;EEG-Anlagenschlüssel;Inbetriebnahmedatum der EEG-Anlage;Installierte Leistung der EEG-Anlage;Zuschlagnummer (EEG/KWK-Ausschreibung);MaStR-Nr. der KWK-Anlage;Inbetriebnahmedatum der KWK-Anlage;Elektrische KWK-Leistung;Thermische Nutzleistung in kW
SEE934423638741;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,8;0,6;29.06.2023;30.06.2023;Thüringen;7646;Stadtroda;;;;;16074094;;;2;Süd-Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);30.06.2023;;;natürliche Person (ABR924979616249);ABR924979616249;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Stadtroda GmbH (SNB976240506834);SNB976240506834;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL949535473449;EEG962193078238;;29.06.2023;0,8;;;;;
SEE992548915703;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;28.04.2023;06.06.2023;Thüringen;98617;Meiningen;;;;;16066042;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);31.08.2023;;;natürliche Person (ABR974335908754);ABR974335908754;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL975685174899;EEG905858790922;;28.04.2023;0,6;;;;;
SEE958743456878;Balkonkraftwerk Oppershausen;In Betrieb;Solare Strahlungsenergie;0,8;0,8;11.07.2023;15.07.2023;Thüringen;99986;Oppershausen;;;;;16064053;;;2;West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);15.07.2023;;;natürliche Person (ABR940396779558);ABR940396779558;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL999125203482;EEG960025945963;;11.07.2023;0,8;;;;;
SEE916583225467;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,8;0,6;01.06.2023;07.06.2023;Thüringen;99099;Erfurt;;;;;16051000;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);07.06.2023;;;natürliche Person (ABR902382800608);ABR902382800608;Teileinspeisung (einschließlich Eigenverbrauch);;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL976897701279;EEG978176172664;;01.06.2023;0,6;;;;;
SEE920952699124;Anker Balkonkraftwerk;In Planung;Solare Strahlungsenergie;0,88;0,6;;07.06.2023;Thüringen;99448;Kranichfeld;;;;;16071046;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);07.06.2023;;09.06.2023;natürliche Person (ABR929914898483);ABR929914898483;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;;Niederspannung (= Hausanschluss/Haushaltsstrom);;;;;;;;;;
SEE960496920162;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,77;0,77;03.04.2023;07.06.2023;Thüringen;7389;Wilhelmsdorf;;;;;16075125;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);07.06.2023;;;natürliche Person (ABR980272639354);ABR980272639354;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL901141159919;EEG912783201539;;03.04.2023;0,77;;;;;
SEE920390034044;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;07.06.2023;07.06.2023;Thüringen;37339;Leinefelde-Worbis;;;;;16061115;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);07.06.2023;;;natürliche Person (ABR913925804120);ABR913925804120;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL968364677101;EEG996051015394;;07.06.2023;0,6;;;;;
SEE968930884063;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,82;0,6;01.07.2023;01.07.2023;Thüringen;96515;Sonneberg;;;;;16072018;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);01.07.2023;;;natürliche Person (ABR953178721133);ABR953178721133;Teileinspeisung (einschließlich Eigenverbrauch);;Licht- und Kraftwerke Sonneberg GmbH (SNB919657321775);SNB919657321775;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL988922051563;EEG911411622357;;01.07.2023;0,82;;;;;
SEE907833864888;Mein Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;1,245;0,6;02.09.2023;04.09.2023;Thüringen;37327;Wingerode;;;;6 43/0;16061107;;;3;Nord-Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);04.09.2023;;;natürliche Person (ABR974253718770);ABR974253718770;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL920164174730;EEG923868814001;;02.09.2023;1,245;;;;;
SEE900975972657;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;09.04.2023;08.06.2023;Thüringen;99820;Hörselberg-Hainich;;;;;16063098;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);08.06.2023;;;natürliche Person (ABR991078250896);ABR991078250896;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL904441421724;EEG968225024471;;09.04.2023;0,6;;;;;
