,"(('Import_Oel', 'Oel_Kraftstoffe'), 'flow')","(('Import_Synt', 'Oel_Kraftstoffe'), 'flow')","(('Oel_Kraftstoffe', 'Last_Oel_ges'), 'flow')","(('Oel_Kraftstoffe', 'Last_Verkehr_ges'), 'flow')","(('Oel_Kraftstoffe', 'Materialbedarf_Oel'), 'flow')","(('Oel_Kraftstoffe', 'excess_b_oel_kraftstoffe'), 'flow')","(('PtL', 'Oel_Kraftstoffe'), 'flow')"
2030-01-06 12:00:00,"1713,4737180895472","0,0","613,3369523780345","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 13:00:00,"1690,6163259364","0,0","590,4795602248873","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 14:00:00,"1685,9786093685586","0,0","585,8418436570461","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 15:00:00,"1685,3640866532744","0,0","585,2273209417618","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 16:00:00,"1691,8673881453822","0,0","591,7306224338696","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 17:00:00,"1693,9401321117773","0,0","593,8033664002645","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 18:00:00,"1686,875392829729","0,0","586,7386271182164","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 19:00:00,"1643,8994429114996","0,0","543,7626771999869","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 20:00:00,"1595,8550709766394","0,0","495,7183052651267","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 21:00:00,"1556,1639235434504","0,0","456,02715783193776","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 22:00:00,"1514,4686528314521","0,0","414,33188711993955","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 23:00:00,"1459,4534088015323","0,0","359,3166430900195","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 00:00:00,"1339,9056195882777","0,0","239,76885387676504","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 01:00:00,"1356,4559880114714","0,0","256,3192222999588","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 02:00:00,"1363,1770510981405","0,0","263,04028538662783","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 03:00:00,"1374,9937195472905","0,0","274,85695383577774","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 04:00:00,"1428,52986027593","0,0","328,3930945644173","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 05:00:00,"1533,0954390610266","0,0","432,9586733495138","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 06:00:00,"1597,6774649140132","0,0","497,5406992025005","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 07:00:00,"1646,9276886674838","0,0","546,7909229559712","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 08:00:00,"1652,3981320834498","0,0","552,261366371937","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 09:00:00,"1607,176877423831","0,0","507,04011171231843","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 10:00:00,"1572,8032494795832","0,0","472,66648376807063","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 11:00:00,"1551,4255321926037","0,0","451,28876648109093","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 12:00:00,"1531,466839780679","0,0","431,3300740691663","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 13:00:00,"1511,5501132002078","0,0","411,4133474886951","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 14:00:00,"1506,500412348196","0,0","406,36364663668337","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 15:00:00,"1504,8355479781255","0,0","404,69878226661285","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 16:00:00,"1516,6836652010484","0,0","416,5468994895357","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 17:00:00,"1531,7112615990657","0,0","431,57449588755287","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 18:00:00,"1527,1627134719718","0,0","427,0259477604591","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 19:00:00,"1517,674251655427","0,0","417,53748594391425","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 20:00:00,"1489,20732967554","0,0","389,0705639640273","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 21:00:00,"1455,9876241407176","0,0","355,85085842920495","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 22:00:00,"1412,088280045935","0,0","311,95151433442254","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-07 23:00:00,"1368,958651364708","0,0","268,8218856531953","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 00:00:00,"1262,4730784506148","0,0","162,33631273910225","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 01:00:00,"1279,032104239028","0,0","178,89533852751543","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 02:00:00,"1268,2725468473257","0,0","168,13578113581303","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 03:00:00,"1278,8443212340057","0,0","178,7075555224931","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 04:00:00,"1313,6646276132813","0,0","213,52786190176866","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 05:00:00,"1374,2845711426","0,0","274,14780543108736","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 06:00:00,"1406,082925520575","0,0","305,94615980906224","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 07:00:00,"1429,4998594692013","0,0","329,3630937576885","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 08:00:00,"1436,2642634331737","0,0","336,12749772166103","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 09:00:00,"1419,7596198499512","0,0","319,62285413843847","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 10:00:00,"1393,716676369169","0,0","293,57991065765617","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 11:00:00,"1375,6056135154506","0,0","275,4688478039378","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 12:00:00,"1369,0850129864914","0,0","268,9482472749786","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 13:00:00,"1349,956384170547","0,0","249,81961845903413","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 14:00:00,"1343,2811834499469","0,0","243,14441773843413","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 15:00:00,"1344,2612640248637","0,0","244,12449831335107","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 16:00:00,"1349,5859260827572","0,0","249,44916037124446","970,1266185780778","130,0101471334348","0,0","0,0"
