,"(('Biogas', 'Fernwaerme'), 'flow')","(('Biomasse_Waerme', 'Fernwaerme'), 'flow')","(('Elektrodenheizkessel', 'Fernwaerme'), 'flow')","(('Fernwaerme', 'Last_Fernwaerme_ges'), 'flow')","(('Fernwaerme', 'Waermespeicher'), 'flow')","(('Fernwaerme', 'excess_b_fern'), 'flow')","(('GuD', 'Fernwaerme'), 'flow')","(('ST', 'Fernwaerme'), 'flow')","(('Waermepumpe_Abwaerme', 'Fernwaerme'), 'flow')","(('Waermepumpe_Fluss', 'Fernwaerme'), 'flow')","(('Waermespeicher', 'Fernwaerme'), 'flow')"
2030-01-04 05:00:00,"155,77810388127853","0,0","0,0","947,7230081188918","7299,844829700063","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 06:00:00,"155,77810388127853","0,0","0,0","1038,2072785998967","7209,360559219058","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 07:00:00,"155,77810388127853","0,0","0,0","1044,8683030882405","7202,699534730715","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 08:00:00,"155,77810388127853","0,0","0,0","1071,9400367881394","7175,627801030815","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 09:00:00,"155,77810388127853","0,0","0,0","1059,8501152037306","7187,717722615224","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 10:00:00,"155,77810388127853","0,0","0,0","1031,3982558435907","7216,169581975364","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 11:00:00,"155,77810388127853","0,0","0,0","1032,6142235773414","7214,953614241614","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 12:00:00,"155,77810388127853","0,0","0,0","994,7529447178586","7252,8148931010965","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 13:00:00,"155,77810388127853","0,0","0,0","940,9599615128457","7306,60787630611","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 14:00:00,"155,77810388127853","0,0","0,0","932,8067263989335","7314,761111420022","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 15:00:00,"155,77810388127853","0,0","0,0","928,0242987142284","7319,543539104727","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 16:00:00,"155,77810388127853","0,0","0,0","899,1243007424182","7348,443537076537","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 17:00:00,"155,77810388127853","0,0","0,0","912,0318068393801","7335,536030979575","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 18:00:00,"155,77810388127853","0,0","0,0","895,2568193711704","7352,311018447785","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 19:00:00,"155,77810388127853","0,0","0,0","864,6822753887182","7382,885562430237","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 20:00:00,"155,77810388127853","0,0","0,0","807,7437617953917","7439,824076023563","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 21:00:00,"155,77810388127853","0,0","0,0","784,101991379069","7463,465846439886","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 22:00:00,"155,77810388127853","0,0","0,0","736,4197811518403","7511,148056667114","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 23:00:00,"155,77810388127853","0,0","0,0","623,1281489051255","7624,43968891383","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 00:00:00,"155,77810388127853","0,0","0,0","623,263631128684","7624,304206690271","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 01:00:00,"155,77810388127853","0,0","0,0","619,5185425145818","7628,049295304373","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 02:00:00,"155,77810388127853","0,0","0,0","629,0519840532398","7618,515853765715","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 03:00:00,"155,77810388127853","0,0","0,0","652,6136466170387","7594,954191201916","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 04:00:00,"155,77810388127853","0,0","0,0","727,4677007575694","7520,100137061386","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 05:00:00,"155,77810388127853","0,0","0,0","982,7999389435645","7264,7678988753905","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 06:00:00,"155,77810388127853","0,0","0,0","1077,5936894815807","7169,974148337375","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 07:00:00,"155,77810388127853","0,0","0,0","1085,7098120498329","7161,858025769122","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 08:00:00,"155,77810388127853","0,0","0,0","1114,2656820889083","7133,302155730046","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 09:00:00,"155,77810388127853","0,0","0,0","1101,731345320833","7145,8364924981215","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 10:00:00,"155,77810388127853","0,0","0,0","1072,274487441593","7175,293350377362","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 11:00:00,"155,77810388127853","0,0","0,0","1073,3883189105322","7174,179518908422","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 12:00:00,"155,77810388127853","0,0","0,0","1033,6397840121863","7213,928053806769","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 13:00:00,"155,77810388127853","0,0","0,0","976,9879559179949","7270,57988190096","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 14:00:00,"155,77810388127853","0,0","0,0","968,4784394294506","7279,089398389504","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 15:00:00,"155,77810388127853","0,0","0,0","963,6554783098231","7283,912359509131","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 16:00:00,"155,77810388127853","0,0","0,0","933,136238782134","7314,43159903682","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 17:00:00,"155,77810388127853","0,0","0,0","946,8243881078373","7300,743449711117","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 18:00:00,"155,77810388127853","0,0","0,0","929,7364760677729","7317,831361751182","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 19:00:00,"155,77810388127853","0,0","0,0","897,5963123461544","7349,971525472801","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 20:00:00,"155,77810388127853","0,0","0,0","837,8299858827029","7409,737851936252","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 21:00:00,"155,77810388127853","0,0","0,0","813,7752677742294","7433,792570044726","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 22:00:00,"155,77810388127853","0,0","0,0","764,2756167298172","7483,2922210891375","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-05 23:00:00,"155,77810388127853","0,0","0,0","646,8424177409042","7600,725420078051","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 00:00:00,"155,77810388127853","0,0","0,0","388,04847712333174","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7677,135061318241"
2030-01-06 01:00:00,"155,77810388127853","0,0","0,0","402,15802537256116","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7691,24460956747"
2030-01-06 02:00:00,"155,77810388127853","0,0","0,0","412,2824072043785","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7701,368991399288"
2030-01-06 03:00:00,"155,77810388127853","0,0","0,0","433,4341676789343","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7722,520751873843"
2030-01-06 04:00:00,"155,77810388127853","0,0","0,0","507,51234840747816","7740,055489411477","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 05:00:00,"155,77810388127853","0,0","0,0","671,7106424304841","7575,857195388471","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 06:00:00,"155,77810388127853","0,0","0,0","761,8036478898439","7485,764189929111","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 07:00:00,"155,77810388127853","0,0","0,0","814,7606466738109","7432,807191145144","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 08:00:00,"155,77810388127853","0,0","0,0","821,9650079668345","7425,6028298521205","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 09:00:00,"155,77810388127853","0,0","0,0","799,457139156598","7448,110698662357","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 10:00:00,"155,77810388127853","0,0","0,0","771,1922642528166","7476,375573566138","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 11:00:00,"155,77810388127853","0,0","0,0","741,5610007403252","7506,006837078629","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 12:00:00,"155,77810388127853","0,0","0,0","718,2985746382853","7529,269263180669","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 13:00:00,"155,77810388127853","0,0","0,0","698,8527420288619","7548,715095790093","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 14:00:00,"155,77810388127853","0,0","0,0","694,5669769659922","7553,000860852962","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 15:00:00,"155,77810388127853","0,0","0,0","688,9155711154854","7558,65226670347","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 16:00:00,"155,77810388127853","0,0","0,0","696,0573146612448","7551,51052315771","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 17:00:00,"155,77810388127853","0,0","0,0","694,7706426465559","7552,797195172399","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 18:00:00,"155,77810388127853","0,0","0,0","684,6175337866949","7562,95030403226","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 19:00:00,"155,77810388127853","0,0","0,0","644,5648480502934","7603,002989768662","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 20:00:00,"155,77810388127853","0,0","0,0","600,2568806152049","7647,31095720375","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 21:00:00,"155,77810388127853","0,0","0,0","552,6452895256828","7694,9225482932725","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 22:00:00,"155,77810388127853","0,0","0,0","495,63650182380604","7751,931335995148","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-06 23:00:00,"155,77810388127853","0,0","0,0","424,93891517519614","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7714,0254993701055"
2030-01-07 00:00:00,"155,77810388127853","0,0","0,0","300,8633183625333","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7589,949902557442"
2030-01-07 01:00:00,"155,77810388127853","0,0","0,0","316,5499736705338","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7605,636557865443"
2030-01-07 02:00:00,"155,77810388127853","0,0","0,0","320,59427198040987","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7609,680856175319"
2030-01-07 03:00:00,"155,77810388127853","0,0","0,0","337,361127727794","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7626,447711922703"
2030-01-07 04:00:00,"155,77810388127853","0,0","0,0","410,8701609031614","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7699,95674509807"
2030-01-07 05:00:00,"155,77810388127853","0,0","0,0","543,5844377809767","7703,983400037978","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 06:00:00,"155,77810388127853","0,0","0,0","614,7174596414104","7632,850378177544","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 07:00:00,"155,77810388127853","0,0","0,0","654,8206018759661","7592,7472359429885","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 08:00:00,"155,77810388127853","0,0","0,0","658,1612435492677","7589,406594269687","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 09:00:00,"155,77810388127853","0,0","0,0","617,3381408597338","7630,229696959221","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 10:00:00,"155,77810388127853","0,0","0,0","585,7666406475403","7661,801197171415","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 11:00:00,"155,77810388127853","0,0","0,0","563,8521382826336","7683,715699536321","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 12:00:00,"155,77810388127853","0,0","0,0","545,3553572106812","7702,212480608274","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 13:00:00,"155,77810388127853","0,0","0,0","527,0076599169704","7720,560177901984","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 14:00:00,"155,77810388127853","0,0","0,0","522,3377215134054","7725,230116305549","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 15:00:00,"155,77810388127853","0,0","0,0","516,843013443164","7730,724824375791","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 16:00:00,"155,77810388127853","0,0","0,0","528,2018459676814","7719,365991851273","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 17:00:00,"155,77810388127853","0,0","0,0","537,6806931042202","7709,887144714735","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 18:00:00,"155,77810388127853","0,0","0,0","530,9962960027692","7716,571541816185","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 19:00:00,"155,77810388127853","0,0","0,0","520,6195371377296","7726,948300681225","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-07 20:00:00,"155,77810388127853","0,0","0,0","493,8999717252692","7753,667866093686","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
