,demand,capex,pv_flh,wind_flh,co2,import_electricity_price,import_price,RES
37,1.2,1.0666666666666667,1.2,0.9333333333333333,1.1333333333333333,1.1,0.8,24904.911567129944
38,1.2,1.0666666666666667,1.2,1.2,1.1333333333333333,1.1,0.8,20904.674163180658
39,1.2,1.0666666666666667,0.9333333333333333,1.2,1.1333333333333333,1.1,0.8,21987.47164920916
40,1.2,1.2,1.0666666666666667,1.2,0.9666666666666668,0.7,0.9333333333333333,21706.70903431481
41,1.2,1.2,1.0666666666666667,1.2,0.9666666666666668,0.7,1.2,22126.860338648003
42,1.0,1.2,1.0666666666666667,1.2,0.9666666666666668,0.7,1.2,18231.561352489083
43,1.0,1.2,1.0666666666666667,1.2,1.3,0.7,1.2,18231.561352489083
44,1.0,1.2,1.0666666666666667,0.9333333333333333,1.3,0.7,1.2,20511.209824062345
45,1.0,1.2,0.8,0.9333333333333333,1.3,0.7,1.2,20421.954931068845
46,1.0,0.9333333333333333,0.8,0.9333333333333333,1.3,0.7,1.2,23068.256280443926
47,1.0,0.9333333333333333,0.8,0.9333333333333333,1.3,1.1,1.2,23672.354248079148
48,0.9,1.2,0.9333333333333333,0.8,0.8,0.7,0.9333333333333333,20070.953509114766
49,0.9,0.9333333333333333,0.9333333333333333,0.8,0.8,0.7,0.9333333333333333,21020.194170538045
50,0.9,0.9333333333333333,0.9333333333333333,0.8,0.8,0.7,1.2,22962.5013545265
51,1.1,0.9333333333333333,0.9333333333333333,0.8,0.8,0.7,1.2,28104.0
52,1.1,0.9333333333333333,0.9333333333333333,0.8,1.1333333333333333,0.7,1.2,28104.0
53,1.1,0.9333333333333333,0.9333333333333333,0.8,1.1333333333333333,1.1,1.2,28739.246171461866
54,1.1,0.9333333333333333,0.9333333333333333,1.0666666666666667,1.1333333333333333,1.1,1.2,24454.85552072426
55,1.1,0.9333333333333333,1.2,1.0666666666666667,1.1333333333333333,1.1,1.2,23997.667464428272
56,0.9,1.0666666666666667,1.2,1.2,1.1333333333333333,0.7,1.0666666666666667,15988.324576770356
57,0.9,0.8,1.2,1.2,1.1333333333333333,0.7,1.0666666666666667,16596.652400851217
58,1.1,0.8,1.2,1.2,1.1333333333333333,0.7,1.0666666666666667,21658.09774141074
59,1.1,0.8,1.2,1.2,1.1333333333333333,0.7,0.8,21052.845648717077
60,1.1,0.8,1.2,1.2,0.8,0.7,0.8,21052.845648717077
61,1.1,0.8,1.2,1.2,0.8,1.1,0.8,20948.753422611095
62,1.1,0.8,0.9333333333333333,1.2,0.8,1.1,0.8,21007.75965667508
63,1.1,0.8,0.9333333333333333,0.9333333333333333,0.8,1.1,0.8,26031.061639386207
64,1.0,0.8,1.0666666666666667,1.2,1.3,0.7,0.8,19096.70202584027
65,1.0,0.8,0.8,1.2,1.3,0.7,0.8,18852.82910501906
66,1.0,0.8,0.8,0.9333333333333333,1.3,0.7,0.8,23716.984896748658
67,1.0,1.0666666666666667,0.8,0.9333333333333333,1.3,0.7,0.8,21778.914125600204
68,1.0,1.0666666666666667,0.8,0.9333333333333333,1.3,0.7,1.0666666666666667,22018.56002805173
69,1.2,1.0666666666666667,0.8,0.9333333333333333,1.3,0.7,1.0666666666666667,28104.0
70,1.2,1.0666666666666667,0.8,0.9333333333333333,1.3,1.1,1.0666666666666667,28104.0
71,1.2,1.0666666666666667,0.8,0.9333333333333333,0.9666666666666668,1.1,1.0666666666666667,28104.0
72,1.0,0.9333333333333333,1.2,0.8,0.8,1.1,1.0666666666666667,22870.765542320227
73,1.0,0.9333333333333333,0.9333333333333333,0.8,0.8,1.1,1.0666666666666667,25556.820165039695
74,1.0,1.2,0.9333333333333333,0.8,0.8,1.1,1.0666666666666667,24303.398735685034
75,1.0,1.2,0.9333333333333333,0.8,0.8,1.1,0.8,22604.520335559962
76,1.0,1.2,0.9333333333333333,0.8,0.8,0.7,0.8,22071.097167055414
77,1.0,1.2,0.9333333333333333,1.0666666666666667,0.8,0.7,0.8,18038.677258039264
78,1.2,1.2,0.9333333333333333,1.0666666666666667,0.8,0.7,0.8,23735.782770495513
79,1.2,1.2,0.9333333333333333,1.0666666666666667,1.1333333333333333,0.7,0.8,23735.782770495513
80,1.2,1.2,1.2,0.8,0.9666666666666668,1.3,0.9333333333333333,27030.716235912063
81,1.2,1.2,1.2,0.8,1.3,1.3,0.9333333333333333,27030.716235912063
82,1.2,1.2,1.2,0.8,1.3,1.3,1.2,28104.0
83,1.2,1.2,1.2,1.0666666666666667,1.3,1.3,1.2,24364.72085139344
84,1.0,1.2,1.2,1.0666666666666667,1.3,1.3,1.2,20541.307847630276
85,1.0,1.2,1.2,1.0666666666666667,1.3,0.9,1.2,20068.23489331294
86,1.0,1.2,0.9333333333333333,1.0666666666666667,1.3,0.9,1.2,19431.040000534256
87,1.0,0.9333333333333333,0.9333333333333333,1.0666666666666667,1.3,0.9,1.2,22656.318101603014
88,0.9,0.8,1.0666666666666667,1.0666666666666667,1.3,0.7,1.0666666666666667,18349.216343526532
89,0.9,0.8,1.0666666666666667,1.0666666666666667,1.3,0.7,0.8,17947.374873830147
90,0.9,0.8,1.0666666666666667,1.0666666666666667,1.3,1.1,0.8,18173.84535661912
91,0.9,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.3,1.1,0.8,15756.992350439255
92,1.1,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.3,1.1,0.8,20760.51114421613
93,1.1,1.0666666666666667,1.0666666666666667,1.0666666666666667,0.9666666666666668,1.1,0.8,20760.51114421613
94,1.1,1.0666666666666667,0.8,1.0666666666666667,0.9666666666666668,1.1,0.8,21486.95352259653
95,1.1,1.0666666666666667,0.8,0.8,0.9666666666666668,1.1,0.8,28104.0
96,1.2,1.2,1.0666666666666667,0.9333333333333333,0.9666666666666668,0.9,0.9333333333333333,26859.3957073741
97,1.2,1.2,1.0666666666666667,1.2,0.9666666666666668,0.9,0.9333333333333333,22046.09178981581
98,1.2,1.2,1.0666666666666667,1.2,1.3,0.9,0.9333333333333333,22046.09178981581
99,1.2,1.2,0.8,1.2,1.3,0.9,0.9333333333333333,23388.397731066885
100,1.2,1.2,0.8,1.2,1.3,0.9,1.2,24797.10055769776
101,1.2,0.9333333333333333,0.8,1.2,1.3,0.9,1.2,26034.963076011183
102,1.0,0.9333333333333333,0.8,1.2,1.3,0.9,1.2,20743.73155242257
103,1.0,0.9333333333333333,0.8,1.2,1.3,1.3,1.2,21121.303705053742
104,0.9,0.9333333333333333,1.2,0.9333333333333333,0.8,1.3,1.2,20041.17454176573
105,0.9,0.9333333333333333,1.2,0.9333333333333333,0.8,1.3,0.9333333333333333,18711.44932921417
106,0.9,0.9333333333333333,1.2,1.2,0.8,1.3,0.9333333333333333,16549.376165013302
107,0.9,0.9333333333333333,1.2,1.2,1.1333333333333333,1.3,0.9333333333333333,16549.376165013302
108,0.9,1.2,1.2,1.2,1.1333333333333333,1.3,0.9333333333333333,15335.338829272721
109,0.9,1.2,0.9333333333333333,1.2,1.1333333333333333,1.3,0.9333333333333333,15274.264101841063
110,1.1,1.2,0.9333333333333333,1.2,1.1333333333333333,1.3,0.9333333333333333,18763.13660774396
111,1.1,1.2,0.9333333333333333,1.2,1.1333333333333333,0.9,0.9333333333333333,19147.154020565453
112,1.0,0.8,1.0666666666666667,0.8,1.3,1.3,0.8,23282.34581119485
113,1.2,0.8,1.0666666666666667,0.8,1.3,1.3,0.8,28425.666371623032
114,1.2,0.8,1.0666666666666667,0.8,1.3,0.9,0.8,29544.921247054266
115,1.2,0.8,1.0666666666666667,0.8,0.9666666666666668,0.9,0.8,29544.921247054266
116,1.2,1.0666666666666667,1.0666666666666667,0.8,0.9666666666666668,0.9,0.8,28104.0
117,1.2,1.0666666666666667,1.0666666666666667,1.0666666666666667,0.9666666666666668,0.9,0.8,24494.42506187313
118,1.2,1.0666666666666667,0.8,1.0666666666666667,0.9666666666666668,0.9,0.8,26939.93682787389
119,1.2,1.0666666666666667,0.8,1.0666666666666667,0.9666666666666668,0.9,1.0666666666666667,28104.0
120,1.0,0.8,0.9333333333333333,0.8,0.9666666666666668,1.3,1.2,26489.4700405761
121,1.2,0.8,0.9333333333333333,0.8,0.9666666666666668,1.3,1.2,33774.0
122,1.2,1.0666666666666667,0.9333333333333333,0.8,0.9666666666666668,1.3,1.2,31512.287336806934
123,1.2,1.0666666666666667,0.9333333333333333,0.8,1.3,1.3,1.2,31512.287336806934
124,1.2,1.0666666666666667,1.2,0.8,1.3,1.3,1.2,28104.0
125,1.2,1.0666666666666667,1.2,0.8,1.3,1.3,0.9333333333333333,28104.0
126,1.2,1.0666666666666667,1.2,1.0666666666666667,1.3,1.3,0.9333333333333333,23651.52094417734
127,1.2,1.0666666666666667,1.2,1.0666666666666667,1.3,0.9,0.9333333333333333,24008.062847156914
128,0.9,1.0666666666666667,0.9333333333333333,0.8,1.1333333333333333,1.1,1.2,20948.924447115372
129,0.9,1.0666666666666667,0.9333333333333333,0.8,0.8,1.1,1.2,20948.924447115372
130,0.9,1.0666666666666667,0.9333333333333333,0.8,0.8,1.1,0.9333333333333333,20888.339258097407
131,0.9,1.0666666666666667,0.9333333333333333,0.8,0.8,0.7,0.9333333333333333,20589.673314074535
132,0.9,1.0666666666666667,1.2,0.8,0.8,0.7,0.9333333333333333,19487.470174776725
133,0.9,0.8,1.2,0.8,0.8,0.7,0.9333333333333333,20649.74231660066
134,1.1,0.8,1.2,0.8,0.8,0.7,0.9333333333333333,26133.644242707735
135,1.1,0.8,1.2,1.0666666666666667,0.8,0.7,0.9333333333333333,23054.34894596977
136,0.9,1.0666666666666667,1.2,1.0666666666666667,1.3,1.3,1.2,18131.8080443872
137,0.9,0.8,1.2,1.0666666666666667,1.3,1.3,1.2,18428.420734105086
138,1.1,0.8,1.2,1.0666666666666667,1.3,1.3,1.2,24966.08110659814
139,1.1,0.8,0.9333333333333333,1.0666666666666667,1.3,1.3,1.2,26950.955477697626
140,1.1,0.8,0.9333333333333333,0.8,1.3,1.3,1.2,29194.81386482043
141,1.1,0.8,0.9333333333333333,0.8,1.3,1.3,0.9333333333333333,28104.0
142,1.1,0.8,0.9333333333333333,0.8,1.3,0.9,0.9333333333333333,28505.388180733597
143,1.1,0.8,0.9333333333333333,0.8,0.9666666666666668,0.9,0.9333333333333333,28505.388180733597
144,1.0,0.8,0.9333333333333333,0.9333333333333333,1.1333333333333333,0.7,0.9333333333333333,22348.28694707118
145,1.2,0.8,0.9333333333333333,0.9333333333333333,1.1333333333333333,0.7,0.9333333333333333,29017.91118533333
146,1.2,1.0666666666666667,0.9333333333333333,0.9333333333333333,1.1333333333333333,0.7,0.9333333333333333,28104.0
147,1.2,1.0666666666666667,0.9333333333333333,0.9333333333333333,1.1333333333333333,0.7,1.2,28104.0
148,1.2,1.0666666666666667,0.9333333333333333,0.9333333333333333,1.1333333333333333,1.1,1.2,28775.31916843841
149,1.2,1.0666666666666667,1.2,0.9333333333333333,1.1333333333333333,1.1,1.2,26543.14967101575
150,1.2,1.0666666666666667,1.2,0.9333333333333333,0.8,1.1,1.2,26543.14967101575
151,1.2,1.0666666666666667,1.2,1.2,0.8,1.1,1.2,23947.100990787865
152,1.0,0.8,0.8,0.9333333333333333,0.8,0.9,1.2,25662.62805263548
153,1.0,0.8,0.8,0.9333333333333333,0.8,0.9,0.9333333333333333,23998.79019780597
154,1.0,0.8,0.8,0.9333333333333333,1.1333333333333333,0.9,0.9333333333333333,23998.79019780597
155,1.0,0.8,1.0666666666666667,0.9333333333333333,1.1333333333333333,0.9,0.9333333333333333,22385.828126748216
156,1.0,0.8,1.0666666666666667,0.9333333333333333,1.1333333333333333,1.3,0.9333333333333333,22901.02690407747
157,1.0,1.0666666666666667,1.0666666666666667,0.9333333333333333,1.1333333333333333,1.3,0.9333333333333333,20514.28462075706
158,1.0,1.0666666666666667,1.0666666666666667,1.2,1.1333333333333333,1.3,0.9333333333333333,17835.389125102913
159,1.2,1.0666666666666667,1.0666666666666667,1.2,1.1333333333333333,1.3,0.9333333333333333,22221.534149084
160,1.0,0.8,0.8,1.2,0.8,0.9,1.2,21155.07171081857
161,1.2,0.8,0.8,1.2,0.8,0.9,1.2,28104.0
162,1.2,0.8,1.0666666666666667,1.2,0.8,0.9,1.2,26429.352072864323
163,1.2,0.8,1.0666666666666667,1.2,1.1333333333333333,0.9,1.2,26429.352072864323
164,1.2,1.0666666666666667,1.0666666666666667,1.2,1.1333333333333333,0.9,1.2,23709.512961197805
165,1.2,1.0666666666666667,1.0666666666666667,1.2,1.1333333333333333,1.3,1.2,23664.167580460344
166,1.2,1.0666666666666667,1.0666666666666667,1.2,1.1333333333333333,1.3,0.9333333333333333,22221.534149084
167,1.2,1.0666666666666667,1.0666666666666667,0.9333333333333333,1.1333333333333333,1.3,0.9333333333333333,27287.821524089275
168,1.0,0.9333333333333333,1.2,1.2,0.9666666666666668,0.7,0.8,18045.218429197135
169,1.0,0.9333333333333333,1.2,0.9333333333333333,0.9666666666666668,0.7,0.8,20313.22982847344
170,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9666666666666668,0.7,0.8,21844.551137596904
171,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.3,0.7,0.8,21844.551137596904
172,1.2,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.3,0.7,0.8,28104.0
173,1.2,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.3,0.7,1.0666666666666667,28104.0
174,1.2,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.3,1.1,1.0666666666666667,28798.068656309857
175,1.2,1.2,0.9333333333333333,0.9333333333333333,1.3,1.1,1.0666666666666667,28104.0
176,0.9,0.8,1.0666666666666667,0.8,1.1333333333333333,1.1,1.2,23698.254525913362
177,0.9,0.8,1.0666666666666667,1.0666666666666667,1.1333333333333333,1.1,1.2,18712.104766268545
178,0.9,0.8,0.8,1.0666666666666667,1.1333333333333333,1.1,1.2,19973.298407233026
179,0.9,0.8,0.8,1.0666666666666667,0.8,1.1,1.2,19973.298407233026
180,1.1,0.8,0.8,1.0666666666666667,0.8,1.1,1.2,26624.72241468556
181,1.1,0.8,0.8,1.0666666666666667,0.8,1.1,0.9333333333333333,25938.825627056933
182,1.1,0.8,0.8,1.0666666666666667,0.8,0.7,0.9333333333333333,25068.15179104823
183,1.1,1.0666666666666667,0.8,1.0666666666666667,0.8,0.7,0.9333333333333333,23255.48400768948
184,1.1,1.2,0.9333333333333333,0.9333333333333333,1.1333333333333333,1.1,0.8,22594.430513157626
185,1.1,1.2,1.2,0.9333333333333333,1.1333333333333333,1.1,0.8,21438.028807586405
186,1.1,0.9333333333333333,1.2,0.9333333333333333,1.1333333333333333,1.1,0.8,22844.746417697777
187,1.1,0.9333333333333333,1.2,0.9333333333333333,1.1333333333333333,0.7,0.8,23260.429772338044
188,1.1,0.9333333333333333,1.2,1.2,1.1333333333333333,0.7,0.8,19952.909641421174
189,1.1,0.9333333333333333,1.2,1.2,1.1333333333333333,0.7,1.0666666666666667,21229.21129209043
190,1.1,0.9333333333333333,1.2,1.2,0.8,0.7,1.0666666666666667,21229.21129209043
191,0.9,0.9333333333333333,1.2,1.2,0.8,0.7,1.0666666666666667,16176.628736871317
192,1.0,0.9333333333333333,0.8,1.0666666666666667,0.9666666666666668,1.1,1.2,22232.052014648514
193,1.0,0.9333333333333333,1.0666666666666667,1.0666666666666667,0.9666666666666668,1.1,1.2,21748.11465510135
194,1.0,0.9333333333333333,1.0666666666666667,1.0666666666666667,0.9666666666666668,1.1,0.9333333333333333,20556.191741261493
195,1.0,0.9333333333333333,1.0666666666666667,0.8,0.9666666666666668,1.1,0.9333333333333333,23893.22495360228
196,1.0,0.9333333333333333,1.0666666666666667,0.8,1.3,1.1,0.9333333333333333,23893.22495360228
197,1.0,0.9333333333333333,1.0666666666666667,0.8,1.3,0.7,0.9333333333333333,23589.543266131666
198,1.0,1.2,1.0666666666666667,0.8,1.3,0.7,0.9333333333333333,22591.18324045942
199,1.2,1.2,1.0666666666666667,0.8,1.3,0.7,0.9333333333333333,28104.0
200,1.1,1.0666666666666667,1.0666666666666667,1.2,1.3,0.7,0.8,18610.090138439115
201,0.9,1.0666666666666667,1.0666666666666667,1.2,1.3,0.7,0.8,14356.133401704119
202,0.9,1.0666666666666667,0.8,1.2,1.3,0.7,0.8,14690.43830234524
203,0.9,1.0666666666666667,0.8,1.2,1.3,0.7,1.0666666666666667,16403.18006821102
204,0.9,0.8,0.8,1.2,1.3,0.7,1.0666666666666667,17197.084943222115
205,0.9,0.8,0.8,1.2,0.9666666666666668,0.7,1.0666666666666667,17197.084943222115
206,0.9,0.8,0.8,0.9333333333333333,0.9666666666666668,0.7,1.0666666666666667,22225.882826171714
207,0.9,0.8,0.8,0.9333333333333333,0.9666666666666668,1.1,1.0666666666666667,22159.665742705005
208,1.0,1.2,0.9333333333333333,0.9333333333333333,0.8,1.3,0.9333333333333333,20382.064871246355
209,1.0,1.2,0.9333333333333333,0.9333333333333333,0.8,0.9,0.9333333333333333,20953.52456931593
210,1.0,1.2,0.9333333333333333,0.9333333333333333,1.1333333333333333,0.9,0.9333333333333333,20953.52456931593
211,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.1333333333333333,0.9,0.9333333333333333,22041.321188718575
212,1.0,0.9333333333333333,1.2,0.9333333333333333,1.1333333333333333,0.9,0.9333333333333333,20822.4867987997
213,1.2,0.9333333333333333,1.2,0.9333333333333333,1.1333333333333333,0.9,0.9333333333333333,26644.05789486617
214,1.2,0.9333333333333333,1.2,1.2,1.1333333333333333,0.9,0.9333333333333333,22501.662299849624
215,1.2,0.9333333333333333,1.2,1.2,1.1333333333333333,0.9,1.2,24752.208749488665
216,0.9,1.2,1.2,0.8,1.3,1.3,0.8,18929.209682671757
217,0.9,1.2,1.2,0.8,1.3,0.9,0.8,18910.2267219748
218,0.9,1.2,1.2,1.0666666666666667,1.3,0.9,0.8,15566.633452746903
219,0.9,1.2,1.2,1.0666666666666667,0.9666666666666668,0.9,0.8,15566.633452746903
220,0.9,0.9333333333333333,1.2,1.0666666666666667,0.9666666666666668,0.9,0.8,17036.506805508412
