,"(('BioHolz', 'BioTransformer'), 'flow')","(('BioHolz', 'Biomasse_Strom'), 'flow')","(('BioHolz', 'Biomasse_Waerme'), 'flow')","(('Import_Holz', 'BioHolz'), 'flow')"
2030-01-05 13:00:00,"1850,1736390331798","0,0","0,0","1850,1736390331798"
2030-01-05 14:00:00,"1833,3312202922134","0,0","0,0","1833,3312202922134"
2030-01-05 15:00:00,"1808,7264939884903","0,0","0,0","1808,7264939884903"
2030-01-05 16:00:00,"1744,6880691888705","0,0","0,0","1744,6880691888705"
2030-01-05 17:00:00,"1749,6023285829915","0,0","0,0","1749,6023285829915"
2030-01-05 18:00:00,"1704,6128948515411","0,0","0,0","1704,6128948515411"
2030-01-05 19:00:00,"1630,975131250389","0,0","0,0","1630,975131250389"
2030-01-05 20:00:00,"1516,6072591480297","0,0","0,0","1516,6072591480297"
2030-01-05 21:00:00,"1469,4603354856163","0,0","0,0","1469,4603354856163"
2030-01-05 22:00:00,"1368,3682669431323","0,0","0,0","1368,3682669431323"
2030-01-05 23:00:00,"1181,4159768218433","0,0","0,0","1181,4159768218433"
2030-01-06 00:00:00,"742,8159908873412","0,0","0,0","742,8159908873412"
2030-01-06 01:00:00,"761,5333847207215","0,0","0,0","761,5333847207215"
2030-01-06 02:00:00,"781,465995341279","0,0","0,0","781,465995341279"
2030-01-06 03:00:00,"821,0244149008238","0,0","0,0","821,0244149008238"
2030-01-06 04:00:00,"968,4998085929259","0,0","0,0","968,4998085929259"
2030-01-06 05:00:00,"1265,320155390728","0,0","0,0","1265,320155390728"
2030-01-06 06:00:00,"1465,265200623261","0,0","0,0","1465,265200623261"
2030-01-06 07:00:00,"1574,6422930268895","0,0","0,0","1574,6422930268895"
2030-01-06 08:00:00,"1592,8151250049523","0,0","0,0","1592,8151250049523"
2030-01-06 09:00:00,"1554,6024906141956","0,0","0,0","1554,6024906141956"
2030-01-06 10:00:00,"1503,6198048333094","0,0","0,0","1503,6198048333094"
2030-01-06 11:00:00,"1449,170686227892","0,0","0,0","1449,170686227892"
2030-01-06 12:00:00,"1405,1404563164701","0,0","0,0","1405,1404563164701"
