;;Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);;;;;
;;Base Scenario;PV_partial;No Hydro;No Battery;No BtL;No partial import;No Biogas;No Electric Boiler;No Flex tech (B, H2_sto, Sea_Sto);No heat storage;No PtL;No partial wind
Import_Oil;Oil_fuel;0;0;0;0;0;0;0;0;0;0;0;0
Import_Synthetic_fuel;Oil_fuel;0;0;0;0;490;253,4;0;0;0;0;0;0
Import_Wood;BioWood;1476,115558;1341,598159;1476,115558;1476,115558;1089,437243;1998,873093;1529,646891;1608,016967;1744,116198;1696,224572;1311,609386;1439,811678
Import_brown_coal;Solidfuel;0;0;0;0;0;0;0;0;0;0;0;0
Import_solid_fuel;Biomass;691;688,3;691;691;426,7;563,2;589,6;694,5;709,3;716,3;443,2;660
Li-Ion_Battery;None;0;0;0;0;0;372,4592459;0;0;0;0;0;0
Li-Ion_Battery;ElectricityIn;0;0;0;0;0;372,4592459;0;0;0;0;0;0
Methanisation;Gas;189,255829;185,1794226;189,255829;189,255829;0;109,3639399;334,3174625;498,2964701;1113,633968;401,3892446;522,1979878;418,1929779
Natrium_Battery;None;0;0;0;0;0;5228,437117;0;0;0;0;0;1071,985816
Natrium_Battery;ElectricityIn;0;0;0;0;0;1307,109279;0;0;0;0;0;267,9964539
Netzverluste;ElectricityOut;0;0;0;0;0;0;0;0;0;0;0;0
PV_open_east;ElectricityIn;4740;0;4740;4740;4740;3107,547067;4740;3661,569818;4740;4740;4740;4740
PV_open_middle;ElectricityIn;263,7593329;0;263,7593329;263,7593329;1663,891954;853,2198491;15,08394123;0;1340,558071;180,6922807;530,7747169;5920
PV_open_north;ElectricityIn;1673,665288;4070;1673,665288;1673,665288;2197,324959;4070;2176,885015;1765,575283;1751,24777;2070,467971;1349,614999;1205,608989
PV_open_swest;ElectricityIn;2680;0;2680;2680;2680;2680;2680;2680;2680;2680;2680;2680
PV_rooftop_east;ElectricityIn;0;1680;0;0;0;0;0;0;0;0;0;0
PV_rooftop_middle;ElectricityIn;0;1033,910022;0;0;0;0;0;0;0;0;0;0
PV_rooftop_north;ElectricityIn;0;0;0;0;0;0;0;0;0;0;0;0
PV_rooftop_swest;ElectricityIn;0;1260;0;0;0;0;0;0;0;0;0;0
Preheater- Electric boiler;District heating;307,8041873;368,8969574;307,8041873;307,8041873;310,9062996;501,00973;277,295363;0;0;0;352,8806479;311,959663
Preheater- WP;District heating;0;0;0;0;0;0;0;0;0;0;0;0
PtL;Oil_fuel;327,3696835;275,8091612;327,3696835;327,3696835;490,0073727;413,8518193;353,787543;490,0073727;490,0073727;362,2630507;0;319,2448931
Pumped_hydro_storage;None;0;0;0;0;0;38640;0;0;0;0;0;0
Pumped_hydro_storage;Pumped-Hydro;0;0;0;0;0;0;0;0;0;0;0;0
Pumped_hydro_storage_bestand;None;2376;2376;2376;2376;2376;2376;2376;2376;2376;2376;2376;2376
Pumped_hydro_storage_bestand;ElectricityIn;297;297;297;297;297;297;297;297;297;297;297;297
Pumped_hydro_technology;Electricity_Hös;0;0;0;0;0;1196,658059;0;0;0;0;0;0
Pumped_hydro_technology;Pumped-Hydro;0;0;0;0;0;312,5266889;0;0;0;0;0;0
Red-OX_Battery;None;0;0;0;0;0;0;0;0;0;0;0;0
Red-OX_Battery;ElectricityIn;0;0;0;0;0;0;0;0;0;0;0;0
ST;District heating;0;0;0;0;0;0;0;0;0;0;0;0
UW;Environmental heat;0;0;0;0;0;0;0;0;0;0;0;0
Umgebungsluft;Umgebungsluftbus;0;0;0;0;0;0;0;0;0;0;0;0
Wind_east;ElectricityIn;2432;2432;2432;2432;2432;2432;2432;2432;2432;2432;2432;0
Wind_middle;ElectricityIn;2411;2411;2411;2411;2411;2411;2411;2411;2411;2411;2411;2411
Wind_north;ElectricityIn;3321;3321;3321;3321;3321;3217,562027;3321;3123,177692;3321;3321;3321;3321
Wind_swest;ElectricityIn;2530;2530;2530;2530;2530;2530;2530;2530;2530;2530;2530;2530
