,"(('BioTransformer', 'Festbrennstoffe'), 'flow')","(('Festbrennstoffe', 'Last_Biomasse_ges'), 'flow')","(('Import_Braunkohle', 'Festbrennstoffe'), 'flow')","(('Import_Steinkohle', 'Festbrennstoffe'), 'flow')"
2030-01-06 10:00:00,"1503,6198048333115","1551,033467005247","0,0","47,4136621719356"
2030-01-06 11:00:00,"1449,1706862278938","1496,5843483998294","0,0","47,4136621719356"
2030-01-06 12:00:00,"1405,1404563164722","1452,5541184884078","0,0","47,4136621719356"
2030-01-06 13:00:00,"1367,3349109239246","1414,7485730958601","0,0","47,4136621719356"
2030-01-06 14:00:00,"1357,500693831232","1404,9143560031675","0,0","47,4136621719356"
2030-01-06 15:00:00,"1333,449520275794","1380,8631824477295","0,0","47,4136621719356"
2030-01-06 16:00:00,"1337,323680720983","1384,7373428929186","0,0","47,4136621719356"
2030-01-06 17:00:00,"1317,60301902886","1365,0166812007956","0,0","47,4136621719356"
2030-01-06 18:00:00,"1282,0097020694154","1329,423364241351","0,0","47,4136621719356"
2030-01-06 19:00:00,"1197,10741246383","1244,5210746357657","0,0","47,4136621719356"
2030-01-06 20:00:00,"1111,1875102632346","1158,6011724351702","0,0","47,4136621719356"
2030-01-06 21:00:00,"1021,9964382004457","1069,4101003723813","0,0","47,4136621719356"
2030-01-06 22:00:00,"915,0163832265819","962,4300453985174","0,0","47,4136621719356"
2030-01-06 23:00:00,"805,2065357556753","852,6201979276109","0,0","47,4136621719356"
2030-01-07 00:00:00,"594,2766651752929","641,6903273472285","0,0","47,4136621719356"
2030-01-07 01:00:00,"615,6475786009181","663,0612407728537","0,0","47,4136621719356"
2030-01-07 02:00:00,"626,9596667801567","674,3733289520923","0,0","47,4136621719356"
2030-01-07 03:00:00,"659,0565637936999","706,4702259656354","0,0","47,4136621719356"
2030-01-07 04:00:00,"804,4862331343405","851,8998953062761","0,0","47,4136621719356"
2030-01-07 05:00:00,"1050,903908376434","1098,3175705483695","0,0","47,4136621719356"
2030-01-07 06:00:00,"1214,0290178363173","1261,4426800082529","0,0","47,4136621719356"
2030-01-07 07:00:00,"1299,4424394307805","1346,856101602716","0,0","47,4136621719356"
2030-01-07 08:00:00,"1311,150386585973","1358,5640487579085","0,0","47,4136621719356"
2030-01-07 09:00:00,"1241,4925465678632","1288,9062087397988","0,0","47,4136621719356"
2030-01-07 10:00:00,"1184,4857114238462","1231,8993735957818","0,0","47,4136621719356"
2030-01-07 11:00:00,"1143,5340410987676","1190,9477032707032","0,0","47,4136621719356"
2030-01-07 12:00:00,"1108,7385726292923","1156,152234801228","0,0","47,4136621719356"
2030-01-07 13:00:00,"1073,8681923286474","1121,281854500583","0,0","47,4136621719356"
2030-01-07 14:00:00,"1063,371023422404","1110,7846855943396","0,0","47,4136621719356"
2030-01-07 15:00:00,"1038,8714322524054","1086,285094424341","0,0","47,4136621719356"
2030-01-07 16:00:00,"1050,5080739900477","1097,9217361619833","0,0","47,4136621719356"
2030-01-07 17:00:00,"1050,1968916959615","1097,6105538678971","0,0","47,4136621719356"
2030-01-07 18:00:00,"1019,8792668361746","1067,2929290081101","0,0","47,4136621719356"
2030-01-07 19:00:00,"987,1687798665914","1034,582442038527","0,0","47,4136621719356"
2030-01-07 20:00:00,"932,0227510208936","979,4364131928291","0,0","47,4136621719356"
2030-01-07 21:00:00,"854,1829027960233","901,5965649679589","0,0","47,4136621719356"
2030-01-07 22:00:00,"745,1498943976692","792,5635565696048","0,0","47,4136621719356"
2030-01-07 23:00:00,"657,9051033600284","705,318765531964","0,0","47,4136621719356"
2030-01-08 00:00:00,"346,4833316511189","393,89699382305446","0,0","47,4136621719356"
2030-01-08 01:00:00,"372,86894285085475","420,28260502279034","0,0","47,4136621719356"
2030-01-08 02:00:00,"357,2272407502016","404,6409029221372","0,0","47,4136621719356"
2030-01-08 03:00:00,"378,1956168651504","425,60927903708597","0,0","47,4136621719356"
2030-01-08 04:00:00,"445,73249318972614","493,1461553616617","0,0","47,4136621719356"
2030-01-08 05:00:00,"566,0599263181851","613,4735884901207","0,0","47,4136621719356"
2030-01-08 06:00:00,"619,4830037897656","666,8966659617012","0,0","47,4136621719356"
2030-01-08 07:00:00,"654,7287077506062","702,1423699225418","0,0","47,4136621719356"
